time,IPSL-CM6A-LR,MRI-ESM2-0,GFDL-ESM4,UKESM1-0-LL
2000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0
2001.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0
2002.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0
2003.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0
2004.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0
2005.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0
2006.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0
2007.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0
2008.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0
2009.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0
2010.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0
2011.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0
2012.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0
2013.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0
2014.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0
2015.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0
2016.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0
2017.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0
2018.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0
2019.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0
2020.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0
2021.0,257853360000.0,253385420000.0,256482530000.0,251609450000.0
2022.0,251266500000.0,247705880000.0,252066680000.0,245216400000.0
2023.0,249216580000.0,243865830000.0,250568200000.0,242403300000.0
2024.0,247387160000.0,243897710000.0,251149830000.0,236626080000.0
2025.0,240224700000.0,239893090000.0,248037100000.0,229491620000.0
2026.0,238163230000.0,235430350000.0,242721340000.0,222392760000.0
2027.0,238906110000.0,231606680000.0,237820330000.0,215754230000.0
2028.0,238974030000.0,226623980000.0,235878530000.0,209628560000.0
2029.0,237883240000.0,220596390000.0,230279710000.0,203594900000.0
2030.0,237114160000.0,213098860000.0,225509980000.0,197210490000.0
2031.0,236770150000.0,208729820000.0,225258850000.0,191840580000.0
2032.0,235837540000.0,204016040000.0,222208030000.0,187396400000.0
2033.0,238702950000.0,202432280000.0,218199100000.0,185707840000.0
2034.0,237646380000.0,198642100000.0,213050930000.0,182917700000.0
