time,MPI-ESM1-2-HR,CESM2-WACCM,IITM-ESM,CANESM5,CNRM-CM6-1,TAIESM1,IPSL-CM6A-LR,MIROC6,EC-EARTH3,MRI-ESM2-0,KACE-1-0-G,UKESM1-0-LL,GFDL-ESM4,CNRM-ESM2-1
2000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0
2001.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0
2002.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0
2003.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0
2004.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0
2005.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0
2006.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0
2007.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0
2008.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0
2009.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0
2010.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0
2011.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0
2012.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0
2013.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0
2014.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0
2015.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0
2016.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0
2017.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0
2018.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0
2019.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0
2020.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0
2021.0,260093180000.0,257066880000.0,257397210000.0,254151570000.0,257103820000.0,256103280000.0,258932740000.0,253235310000.0,255973600000.0,257645510000.0,252813180000.0,256022460000.0,255915050000.0,256862620000.0
2022.0,255950550000.0,259724620000.0,259637640000.0,250632040000.0,251866140000.0,256631590000.0,259623500000.0,250959300000.0,245746900000.0,252466610000.0,246846880000.0,248155010000.0,254818290000.0,255745030000.0
2023.0,254194970000.0,254814190000.0,259593080000.0,243406290000.0,252021880000.0,252132980000.0,261365200000.0,249599930000.0,241203430000.0,248887600000.0,236009440000.0,234136400000.0,252214790000.0,250830140000.0
2024.0,250834600000.0,251471180000.0,259059380000.0,237851400000.0,248129080000.0,246240690000.0,262006850000.0,249688150000.0,231803600000.0,248440320000.0,230604230000.0,225984760000.0,251987000000.0,246059900000.0
2025.0,246649830000.0,246377510000.0,255653950000.0,234889760000.0,244824690000.0,238238900000.0,257199200000.0,249431670000.0,229935920000.0,245499840000.0,228001740000.0,220787250000.0,249983650000.0,247999280000.0
2026.0,241456970000.0,243784730000.0,256477540000.0,232477310000.0,243654920000.0,235029230000.0,254291670000.0,250062850000.0,223203480000.0,241935250000.0,228018470000.0,215065850000.0,247558160000.0,244184800000.0
2027.0,239526800000.0,241485510000.0,258608700000.0,229542080000.0,239131000000.0,232801240000.0,250824210000.0,251343860000.0,218668840000.0,237213710000.0,224265810000.0,205752530000.0,242976440000.0,243733090000.0
2028.0,233599350000.0,239212500000.0,257657930000.0,226381370000.0,239919500000.0,224591500000.0,250254020000.0,251068760000.0,212147750000.0,229835960000.0,217801460000.0,200901940000.0,240967680000.0,240061760000.0
2029.0,231295710000.0,236580030000.0,257842410000.0,220897800000.0,239312030000.0,220841360000.0,247626830000.0,251323100000.0,203649630000.0,223848480000.0,210454170000.0,192082920000.0,237342240000.0,239408410000.0
2030.0,228032050000.0,231612380000.0,256535920000.0,216514640000.0,236861820000.0,216753100000.0,247238520000.0,250986580000.0,195796320000.0,222020040000.0,202893620000.0,188901640000.0,231430180000.0,238030100000.0
2031.0,226130760000.0,225857040000.0,253826380000.0,211749830000.0,237771570000.0,212352020000.0,242038160000.0,252493190000.0,191592150000.0,221378480000.0,196817670000.0,185781290000.0,230836400000.0,236297440000.0
2032.0,222371000000.0,221379870000.0,251536340000.0,205248720000.0,231921030000.0,205072600000.0,237071190000.0,251849440000.0,188375240000.0,218504360000.0,191891820000.0,178982980000.0,225666660000.0,236862280000.0
2033.0,218437060000.0,218935510000.0,250117590000.0,200973240000.0,231630000000.0,198005650000.0,235049190000.0,248257280000.0,181012400000.0,214071560000.0,189809030000.0,172416100000.0,223919140000.0,234563800000.0
2034.0,218979900000.0,217835570000.0,248620680000.0,195017060000.0,236526570000.0,193195540000.0,230157860000.0,249158250000.0,176472560000.0,208671200000.0,182255140000.0,169839590000.0,223179820000.0,228397710000.0
2035.0,217769720000.0,213287270000.0,247294970000.0,188524610000.0,232028060000.0,184812910000.0,225475480000.0,245599620000.0,169856190000.0,201320190000.0,174775900000.0,163856450000.0,218797110000.0,229785760000.0
