time,IPSL-CM6A-LR,TAIESM1,IITM-ESM,CESM2-WACCM,MPI-ESM1-2-HR,GFDL-ESM4,UKESM1-0-LL,KACE-1-0-G,MRI-ESM2-0
2000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0
2001.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0
2002.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0
2003.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0
2004.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0
2005.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0
2006.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0
2007.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0
2008.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0
2009.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0
2010.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0
2011.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0
2012.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0
2013.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0
2014.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0
2015.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0
2016.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0
2017.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0
2018.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0
2019.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0
2020.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0
2021.0,258583840000.0,250826460000.0,260485450000.0,260286250000.0,258189670000.0,257102730000.0,255494700000.0,255708140000.0,254902120000.0
2022.0,255859540000.0,242569250000.0,260728210000.0,257370470000.0,257763180000.0,253761730000.0,250823820000.0,250386800000.0,248551700000.0
2023.0,257972910000.0,238584840000.0,255439630000.0,253733680000.0,252573000000.0,248706090000.0,245750200000.0,246170850000.0,245967730000.0
2024.0,253617200000.0,236359660000.0,256089800000.0,253478370000.0,248771410000.0,243358190000.0,235840450000.0,243115880000.0,241526500000.0
2025.0,248836000000.0,235193900000.0,251447510000.0,248135010000.0,247193760000.0,241276060000.0,228618680000.0,239776830000.0,235944900000.0
2026.0,245319020000.0,229834390000.0,246541420000.0,241144200000.0,247756370000.0,237788460000.0,225175200000.0,234262430000.0,231228440000.0
2027.0,241706340000.0,224462230000.0,242808730000.0,236646800000.0,247667340000.0,232393830000.0,220940270000.0,231437730000.0,223922930000.0
2028.0,236083970000.0,222940500000.0,239889320000.0,234322170000.0,246418520000.0,229060800000.0,218815760000.0,226514930000.0,220634730000.0
2029.0,230928100000.0,217907990000.0,237077790000.0,231147230000.0,244264000000.0,225648980000.0,213010480000.0,220798570000.0,215705440000.0
2030.0,227388800000.0,215581310000.0,235774700000.0,225514230000.0,242262790000.0,222841650000.0,208156490000.0,214055340000.0,209965090000.0
2031.0,221870390000.0,210559060000.0,232667070000.0,222516410000.0,237860390000.0,220738720000.0,200097610000.0,204695040000.0,208499260000.0
2032.0,214012360000.0,209036600000.0,231810000000.0,223704960000.0,234901390000.0,216204030000.0,193386870000.0,193433850000.0,205415660000.0
2033.0,209401170000.0,204110330000.0,231932610000.0,220955300000.0,237338150000.0,213380400000.0,187284240000.0,187921870000.0,202309750000.0
2034.0,204346160000.0,200757310000.0,227807410000.0,220457660000.0,237023020000.0,207801880000.0,179840340000.0,182423390000.0,198853940000.0
2035.0,199735690000.0,195952700000.0,223397640000.0,220351410000.0,235659250000.0,206471890000.0,172445760000.0,176110130000.0,195168910000.0
2036.0,195718900000.0,192263450000.0,219849100000.0,216066800000.0,231192440000.0,202765930000.0,168032910000.0,169321410000.0,192838930000.0
2037.0,191907920000.0,184522110000.0,218237650000.0,217493640000.0,227595940000.0,201029930000.0,159131470000.0,161393540000.0,189519800000.0
2038.0,188410090000.0,178549690000.0,216773310000.0,211352670000.0,223540700000.0,196609670000.0,150558410000.0,151322620000.0,187179420000.0
2039.0,187035840000.0,173133680000.0,216077660000.0,206378200000.0,224487060000.0,190530450000.0,145505960000.0,145850350000.0,180652800000.0
2040.0,182903870000.0,165765740000.0,216856700000.0,206301510000.0,224850620000.0,187200320000.0,141128930000.0,141724500000.0,176652010000.0
2041.0,181413460000.0,165251170000.0,213231090000.0,201300430000.0,226363790000.0,182739030000.0,135703580000.0,133420050000.0,171252510000.0
2042.0,177831300000.0,160354420000.0,210537990000.0,199662650000.0,225153520000.0,180864060000.0,128046770000.0,129860076000.0,165704250000.0
2043.0,173266270000.0,157638620000.0,208555560000.0,201394260000.0,226278560000.0,176263410000.0,124871280000.0,121189610000.0,160020510000.0
2044.0,172307220000.0,152806620000.0,207653730000.0,194628470000.0,223306070000.0,172738670000.0,120117084000.0,117062690000.0,158487430000.0
2045.0,169676520000.0,148963950000.0,205841040000.0,187231800000.0,222228170000.0,171165580000.0,114335450000.0,114730690000.0,156089750000.0
2046.0,164003950000.0,144413570000.0,204845960000.0,185918690000.0,221801200000.0,168772500000.0,108599575000.0,111913100000.0,154100500000.0
2047.0,161423800000.0,140535270000.0,204835470000.0,180440320000.0,218129190000.0,167877230000.0,103325190000.0,108910590000.0,151561810000.0
2048.0,157788470000.0,136185160000.0,202609540000.0,179440930000.0,217268140000.0,163101400000.0,98975290000.0,104775620000.0,150279340000.0
2049.0,155135950000.0,129161820000.0,202648240000.0,175896440000.0,214953900000.0,159718590000.0,95380740000.0,99938710000.0,148634120000.0
2050.0,151063450000.0,123937464000.0,197583180000.0,171817300000.0,213580460000.0,157834610000.0,92419916000.0,96549590000.0,147879610000.0
2051.0,148229730000.0,118038225000.0,196430280000.0,169532700000.0,213950870000.0,155082560000.0,88807600000.0,92156040000.0,147573100000.0
2052.0,142768830000.0,113681690000.0,195631430000.0,165948640000.0,212730330000.0,154583170000.0,84900430000.0,89171894000.0,144607700000.0
2053.0,139843850000.0,110937210000.0,190369780000.0,159634460000.0,213835940000.0,152595350000.0,80180050000.0,85362380000.0,141045090000.0
2054.0,137431800000.0,106775310000.0,188201030000.0,155246020000.0,211323260000.0,150962620000.0,76274690000.0,82332270000.0,138617700000.0
2055.0,131983490000.0,105130680000.0,186697400000.0,152391970000.0,210195170000.0,149313290000.0,71808614000.0,77485050000.0,134432490000.0
2056.0,128622080000.0,101453560000.0,183767170000.0,149822780000.0,206291010000.0,146519210000.0,66900124000.0,76350410000.0,133605730000.0
2057.0,125849150000.0,94946270000.0,180630040000.0,148063190000.0,205320540000.0,146166420000.0,62910804000.0,73363760000.0,129704660000.0
2058.0,121552730000.0,91452826000.0,176415740000.0,145278500000.0,205457400000.0,146620370000.0,59665090000.0,70880846000.0,125929650000.0
2059.0,118279310000.0,92340260000.0,172107700000.0,141128800000.0,203637260000.0,144375860000.0,55871746000.0,67390722000.0,123079320000.0
2060.0,116032580000.0,91555450000.0,171425810000.0,137947270000.0,202331730000.0,141002640000.0,52758282000.0,66159820000.0,119654736000.0
2061.0,112529510000.0,88742360000.0,169651770000.0,133616400000.0,201639100000.0,137452440000.0,49573980000.0,63902570000.0,117472610000.0
2062.0,109363820000.0,84940730000.0,168692550000.0,128761480000.0,199839140000.0,134132610000.0,47983235000.0,60654498000.0,112882940000.0
