time,MRI-ESM2-0,CAMS-CSM1-0,GFDL-ESM4,EC-EARTH3-VEG
2000.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0
2001.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0
2002.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0
2003.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0
2004.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0
2005.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0
2006.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0
2007.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0
2008.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0
2009.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0
2010.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0
2011.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0
2012.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0
2013.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0
2014.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0
2015.0,2963041500.0,2963041500.0,2963041500.0,2963041500.0
2016.0,3265781800.0,3265781800.0,3265781800.0,3265781800.0
2017.0,2997635300.0,2997635300.0,2997635300.0,2997635300.0
2018.0,3066436400.0,3066436400.0,3066436400.0,3066436400.0
2019.0,2942238700.0,2942238700.0,2942238700.0,2942238700.0
2020.0,2969406000.0,2969406000.0,2969406000.0,2969406000.0
2021.0,2918273800.0,2935230200.0,2921633000.0,2940147200.0
2022.0,2893795000.0,2906841300.0,2899769900.0,3293632800.0
2023.0,2878685200.0,2931435300.0,2900313000.0,3057167400.0
2024.0,2979278600.0,2883793700.0,3005410600.0,3093955800.0
2025.0,2868451300.0,2874957800.0,2882361600.0,3050182100.0
2026.0,2844476000.0,2856561700.0,2846790000.0,2911627000.0
2027.0,2828910800.0,2835277600.0,2818846000.0,2883484000.0
2028.0,2806251800.0,2797354200.0,2804528600.0,2842236000.0
2029.0,2778444000.0,2758961400.0,2770393600.0,2794844200.0
2030.0,2743870700.0,2743963600.0,2744978200.0,2779987200.0
2031.0,2717960400.0,2690253000.0,2806214700.0,2748476400.0
2032.0,2691775700.0,2684021500.0,2734085000.0,2741281800.0
2033.0,2703794200.0,2708582100.0,2687772000.0,2759081500.0
2034.0,2660929500.0,2618736600.0,2648433400.0,2721297000.0
2035.0,2630504400.0,2599786200.0,2686866200.0,2677421800.0
2036.0,2603772000.0,2557954300.0,2625994000.0,2725603800.0
2037.0,2621584100.0,2507853600.0,2571496700.0,2668674000.0
2038.0,2561350000.0,2441301500.0,2543573000.0,2598434800.0
2039.0,2537298000.0,2421700600.0,2505192000.0,2562450000.0
2040.0,2507241200.0,2349274600.0,2476314600.0,2622554600.0
2041.0,2627233500.0,2307507500.0,2454691000.0,2641190400.0
2042.0,2635744500.0,2268335000.0,2450158600.0,2562753500.0
2043.0,2457976800.0,2193366000.0,2391779800.0,2517302300.0
2044.0,2400734500.0,2138209000.0,2362783500.0,2501078300.0
2045.0,2384407300.0,2164052200.0,2350727400.0,2446180900.0
2046.0,2339102200.0,2055055700.0,2301046500.0,2440843500.0
2047.0,2305188900.0,1980269000.0,2319267000.0,2565252600.0
2048.0,2254270500.0,1968039200.0,2273235200.0,2395931600.0
2049.0,2257787100.0,1880466700.0,2225955800.0,2337468000.0
2050.0,2269464600.0,1835623800.0,2172556500.0,2302199300.0
2051.0,2174422800.0,1789041900.0,2183866400.0,2287678500.0
2052.0,2124908800.0,1740506800.0,2178302700.0,2214243800.0
2053.0,2076748500.0,1683516300.0,2089455000.0,2181745000.0
2054.0,2052089300.0,1629313500.0,2048048400.0,2151636000.0
2055.0,2015624400.0,1573466500.0,2069118300.0,2097827100.0
2056.0,2073993500.0,1598778000.0,1997470000.0,2125937300.0
2057.0,2177385500.0,1716371200.0,1957577000.0,2023252600.0
2058.0,1980771100.0,1541256800.0,1919087000.0,1974553300.0
2059.0,2489130200.0,1453134700.0,1916957800.0,1929537700.0
2060.0,1970661900.0,1388224000.0,1969117600.0,1879968300.0
2061.0,1916060300.0,1361438100.0,1859123300.0,1846644500.0
2062.0,1880100700.0,1308205000.0,1818707700.0,1807208700.0
2063.0,1893486100.0,1268053100.0,1782430600.0,1766015700.0
2064.0,2410624300.0,1240871400.0,1760140900.0,1732688300.0
2065.0,2056050700.0,1196105300.0,1722077700.0,1677424500.0
2066.0,1859294300.0,1160800600.0,1705059000.0,1637213600.0
2067.0,2016219100.0,1126459400.0,1664793200.0,1588969100.0
2068.0,1796745100.0,1090171600.0,1678727800.0,1562707800.0
2069.0,1759495200.0,1132257300.0,1594696600.0,1520295400.0
