time,GFDL-ESM4,CNRM-ESM2-1,UKESM1-0-LL,MIROC6,KACE-1-0-G,EC-EARTH3,MRI-ESM2-0,CNRM-CM6-1,TAIESM1,IPSL-CM6A-LR,MPI-ESM1-2-HR,CANESM5,CESM2-WACCM
2000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0
2001.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0
2002.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0
2003.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0
2004.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0
2005.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0
2006.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0
2007.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0
2008.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0
2009.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0
2010.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0
2011.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0
2012.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0
2013.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0
2014.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0
2015.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0
2016.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0
2017.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0
2018.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0
2019.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0
2020.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0
2021.0,263745540000.0,268177590000.0,267775510000.0,265070700000.0,271437220000.0,262899370000.0,264842970000.0,265332110000.0,267679730000.0,270206090000.0,271167390000.0,263198260000.0,271146800000.0
2022.0,261331650000.0,264327770000.0,262731510000.0,263623200000.0,269732040000.0,260542500000.0,264064020000.0,264257180000.0,261614270000.0,264893870000.0,265631100000.0,259263990000.0,266727130000.0
2023.0,258457470000.0,264128580000.0,257346390000.0,258975650000.0,262052120000.0,253423140000.0,257287850000.0,263563460000.0,256105580000.0,263193990000.0,262086770000.0,256125390000.0,263601770000.0
2024.0,256187630000.0,265317970000.0,244549340000.0,261364400000.0,255204930000.0,243713590000.0,254295440000.0,265904260000.0,253998860000.0,260487970000.0,256637300000.0,251317680000.0,262045250000.0
2025.0,251360600000.0,266551660000.0,240483530000.0,258211460000.0,249430950000.0,238708670000.0,255575720000.0,269782140000.0,248855170000.0,260002150000.0,248226410000.0,247960720000.0,259478060000.0
2026.0,246929180000.0,263370770000.0,233043310000.0,259895800000.0,246388640000.0,230627840000.0,255937990000.0,266477550000.0,248826680000.0,259815340000.0,244341490000.0,248870080000.0,259119760000.0
2027.0,243281440000.0,263730120000.0,225377760000.0,256805180000.0,237571440000.0,225224260000.0,251815130000.0,267455640000.0,244306770000.0,262262060000.0,245660250000.0,245430960000.0,259418850000.0
2028.0,235647350000.0,261287310000.0,221636460000.0,256019960000.0,236506560000.0,221385030000.0,243537500000.0,265769420000.0,240942040000.0,265735880000.0,242749360000.0,240667840000.0,261979420000.0
2029.0,231005040000.0,259104300000.0,219264730000.0,254973310000.0,231417790000.0,219427910000.0,234486840000.0,264358360000.0,239211820000.0,267700880000.0,240154280000.0,237363790000.0,263551470000.0
2030.0,230428980000.0,259210630000.0,213052000000.0,254782210000.0,228371610000.0,217551630000.0,232138920000.0,264015770000.0,237848120000.0,263874310000.0,239859760000.0,230732220000.0,263332640000.0
2031.0,225696420000.0,261776670000.0,209827070000.0,253942170000.0,220780510000.0,212110380000.0,224958270000.0,265933500000.0,237803770000.0,262427230000.0,239477560000.0,221299800000.0,260209410000.0
2032.0,224308120000.0,264676490000.0,203450990000.0,254227430000.0,215052730000.0,206087520000.0,222752260000.0,267407440000.0,236335190000.0,259318730000.0,236414680000.0,215696720000.0,255485350000.0
2033.0,223138510000.0,260741800000.0,197014200000.0,256211320000.0,202934170000.0,203917400000.0,222157590000.0,264578250000.0,231529900000.0,259830640000.0,234028240000.0,214896510000.0,255030500000.0
2034.0,220228010000.0,257335120000.0,189790030000.0,256552750000.0,197803740000.0,197373230000.0,216259970000.0,260835590000.0,223507170000.0,255771590000.0,229654600000.0,211517980000.0,251076770000.0
2035.0,219978480000.0,256226850000.0,180075430000.0,252780690000.0,193779350000.0,193230270000.0,211701250000.0,259462580000.0,218038140000.0,248744150000.0,228525620000.0,204171980000.0,248252560000.0
2036.0,218177630000.0,250712080000.0,177542800000.0,253130150000.0,185103750000.0,187714620000.0,206400290000.0,254818750000.0,215489680000.0,243774060000.0,223131290000.0,197163350000.0,244560510000.0
2037.0,216777900000.0,246876770000.0,173261180000.0,251469430000.0,176576540000.0,182313450000.0,204800800000.0,252162930000.0,213670410000.0,240071070000.0,220576510000.0,194097770000.0,242439750000.0
2038.0,216616090000.0,245935590000.0,167882500000.0,248275620000.0,171160580000.0,174517060000.0,199913900000.0,254154150000.0,204948850000.0,242584700000.0,214807380000.0,189698870000.0,238970360000.0
2039.0,211935610000.0,244500020000.0,160583940000.0,245921610000.0,162891000000.0,168309920000.0,197031600000.0,253560900000.0,199052130000.0,239393420000.0,209058040000.0,184362000000.0,236838500000.0
2040.0,208625010000.0,243221500000.0,153791600000.0,239542320000.0,153094770000.0,160606730000.0,190948770000.0,254079860000.0,190650760000.0,230695470000.0,204356930000.0,180682520000.0,229958240000.0
