time,IPSL-CM6A-LR,MRI-ESM2-0,GFDL-ESM4,UKESM1-0-LL
2000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0
2001.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0
2002.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0
2003.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0
2004.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0
2005.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0
2006.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0
2007.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0
2008.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0
2009.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0
2010.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0
2011.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0
2012.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0
2013.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0
2014.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0
2015.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0
2016.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0
2017.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0
2018.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0
2019.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0
2020.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0
2021.0,267735960000.0,262954320000.0,266261710000.0,260980280000.0
2022.0,260623160000.0,256841470000.0,261548050000.0,254024300000.0
2023.0,258384900000.0,252679470000.0,259941680000.0,251103640000.0
2024.0,256412910000.0,252813150000.0,260776600000.0,244810170000.0
2025.0,248632080000.0,248478500000.0,257361690000.0,237078640000.0
2026.0,246416130000.0,243693240000.0,251651740000.0,229435700000.0
2027.0,247433280000.0,239578070000.0,246356590000.0,222309000000.0
2028.0,247566140000.0,234236020000.0,244261130000.0,215736320000.0
2029.0,246345700000.0,227768090000.0,238222330000.0,209289040000.0
2030.0,245571680000.0,219655320000.0,233135880000.0,202328310000.0
2031.0,245240680000.0,214961360000.0,232999060000.0,196592780000.0
2032.0,244284400000.0,209873350000.0,229725200000.0,191855980000.0
2033.0,247684450000.0,208197390000.0,225465250000.0,190057800000.0
2034.0,246444160000.0,204097470000.0,219979280000.0,187060940000.0
2035.0,243459310000.0,200055100000.0,219653050000.0,179919000000.0
2036.0,240480550000.0,195933060000.0,217479280000.0,175689020000.0
2037.0,238964950000.0,193165500000.0,211357750000.0,169605780000.0
2038.0,230184930000.0,188751360000.0,208052360000.0,161175950000.0
2039.0,228449500000.0,186490100000.0,203225970000.0,153698840000.0
2040.0,222194650000.0,183708780000.0,199500270000.0,149130350000.0
2041.0,225926370000.0,183407920000.0,197128630000.0,143804780000.0
2042.0,221172420000.0,182643430000.0,196528700000.0,141955680000.0
2043.0,217748420000.0,177043950000.0,192674270000.0,135699685000.0
2044.0,211349450000.0,172832600000.0,190412720000.0,126558280000.0
2045.0,207966290000.0,170632180000.0,188995000000.0,120262660000.0
2046.0,204279740000.0,166217520000.0,185977240000.0,114810356000.0
2047.0,200286570000.0,163040230000.0,185509540000.0,111098310000.0
2048.0,198270810000.0,157537340000.0,183109830000.0,105643850000.0
2049.0,190804120000.0,154716110000.0,180506800000.0,102200615000.0
2050.0,187036980000.0,153701170000.0,176680900000.0,98057990000.0
2051.0,181302590000.0,150533130000.0,175744350000.0,94802190000.0
2052.0,179831590000.0,146412100000.0,174535330000.0,92646730000.0
2053.0,179438490000.0,141940980000.0,171620630000.0,89860470000.0
2054.0,179547470000.0,139131540000.0,168602140000.0,87322910000.0
2055.0,177583670000.0,136782045000.0,167596260000.0,84503210000.0
2056.0,176617390000.0,136376980000.0,164988350000.0,81097450000.0
2057.0,171898950000.0,135754375000.0,162173190000.0,75922645000.0
2058.0,166869840000.0,133334790000.0,159464300000.0,71926880000.0
2059.0,164080960000.0,135112170000.0,158691750000.0,69650350000.0
2060.0,160951940000.0,131562480000.0,158669650000.0,67031520000.0
2061.0,157385720000.0,129198580000.0,156657010000.0,63888097000.0
2062.0,156964880000.0,126973900000.0,153798300000.0,61150060000.0
2063.0,152995200000.0,125871710000.0,151370680000.0,58956784000.0
2064.0,150968100000.0,127637590000.0,149497350000.0,56838720000.0
2065.0,150055800000.0,126027680000.0,146555000000.0,53732545000.0
2066.0,149309770000.0,123282760000.0,144816960000.0,51092980000.0
2067.0,147533550000.0,123143450000.0,141766340000.0,48352432000.0
2068.0,145660970000.0,120413946000.0,140791200000.0,45545214000.0
2069.0,142647200000.0,118042740000.0,135831490000.0,43593716000.0
2070.0,141385580000.0,116064570000.0,135741110000.0,42276720000.0
2071.0,138487370000.0,114705270000.0,136071460000.0,40240000000.0
2072.0,137647160000.0,114173500000.0,134264580000.0,38571442000.0
2073.0,134081315000.0,110640970000.0,133549090000.0,36969996000.0
2074.0,132988625000.0,111538635000.0,131418970000.0,35243520000.0
2075.0,128863000000.0,109304620000.0,131424380000.0,33862138000.0
2076.0,125411380000.0,109083710000.0,131928720000.0,32627150000.0
2077.0,122995974000.0,106999650000.0,130933410000.0,31001014000.0
2078.0,123294100000.0,104974066000.0,130439830000.0,29239783000.0
2079.0,123592000000.0,106971920000.0,128985660000.0,27899087000.0
2080.0,120864236000.0,105270750000.0,128226460000.0,26372180000.0
2081.0,119381010000.0,105432420000.0,130050610000.0,24856713000.0
2082.0,120826690000.0,103435485000.0,127974380000.0,23245146000.0
2083.0,121162160000.0,103375405000.0,128356516000.0,22500352000.0
2084.0,121316835000.0,101049840000.0,126223335000.0,20709464000.0
2085.0,122099140000.0,102446610000.0,126408000000.0,19369914000.0
2086.0,121482190000.0,101206030000.0,126928200000.0,18340606000.0
2087.0,119179040000.0,100276820000.0,127009240000.0,17225806000.0
2088.0,120337630000.0,102452080000.0,127095630000.0,16289350000.0
2089.0,116713570000.0,101964840000.0,124658700000.0,15280327000.0
2090.0,115942660000.0,99469320000.0,125645110000.0,13965500000.0
2091.0,114686984000.0,100724550000.0,125340010000.0,13074572000.0
2092.0,113697186000.0,100744634000.0,123568290000.0,12240007000.0
2093.0,112580310000.0,101597370000.0,125572250000.0,11108091000.0
2094.0,111611140000.0,100667920000.0,124570260000.0,10526296000.0
2095.0,109702595000.0,100039220000.0,125145620000.0,9990090000.0
2096.0,108069390000.0,98936530000.0,122438140000.0,9331161000.0
2097.0,107740815000.0,99005250000.0,121238170000.0,8652727000.0
2098.0,108521680000.0,97538880000.0,121652180000.0,8080279600.0
2099.0,108140040000.0,99692050000.0,121667090000.0,7570592300.0
2100.0,109764620000.0,98700730000.0,120157946000.0,7014436400.0
