time,IPSL-CM6A-LR,TAIESM1,IITM-ESM,CESM2-WACCM,MPI-ESM1-2-HR,GFDL-ESM4,UKESM1-0-LL,KACE-1-0-G,MRI-ESM2-0
2033.0,215602560000.0,209747790000.0,240277730000.0,228207980000.0,246420320000.0,220038140000.0,191769920000.0,192810910000.0,208146870000.0
2034.0,210191910000.0,206150450000.0,235792350000.0,227788340000.0,246040970000.0,214115040000.0,183839100000.0,186927600000.0,204446740000.0
2035.0,205282230000.0,201049400000.0,230986970000.0,227750820000.0,244530040000.0,212674560000.0,176002120000.0,180204550000.0,200523960000.0
2036.0,200902850000.0,197148970000.0,227249180000.0,223050270000.0,239643210000.0,208660730000.0,171366710000.0,172998690000.0,198188170000.0
2037.0,196844620000.0,188866150000.0,225585040000.0,224736510000.0,235726260000.0,206847890000.0,161945440000.0,164629510000.0,194671790000.0
2038.0,193124680000.0,182478010000.0,224072450000.0,218022050000.0,231339690000.0,202091710000.0,152958400000.0,153992870000.0,192330120000.0
2039.0,191663650000.0,176705160000.0,223315360000.0,212667290000.0,232525190000.0,195594810000.0,147685080000.0,148294910000.0,185248560000.0
2040.0,187220460000.0,168870660000.0,224264750000.0,212627640000.0,233035860000.0,192054870000.0,143128870000.0,143962880000.0,181004320000.0
2041.0,185682640000.0,168423750000.0,220251260000.0,207201800000.0,234926010000.0,187285320000.0,137504030000.0,135298450000.0,175244560000.0
2042.0,181829880000.0,163197160000.0,217353450000.0,205432570000.0,233545530000.0,185300940000.0,129601995000.0,131592300000.0,169352350000.0
2043.0,176991060000.0,160360120000.0,215252630000.0,207517400000.0,235004220000.0,180366360000.0,126321164000.0,122616390000.0,163311500000.0
2044.0,176023450000.0,155287080000.0,214331360000.0,200098090000.0,231613220000.0,176582400000.0,121417440000.0,118362825000.0,161700990000.0
2045.0,173247760000.0,151250630000.0,212455800000.0,192143020000.0,230529800000.0,174918470000.0,115484020000.0,115959170000.0,159136810000.0
2046.0,167221330000.0,146470190000.0,211392840000.0,190735000000.0,230142180000.0,172396150000.0,109608280000.0,113053130000.0,157020500000.0
2047.0,164514200000.0,142430880000.0,211424760000.0,184829250000.0,226087910000.0,171462700000.0,104221295000.0,109966830000.0,154323780000.0
2048.0,160711080000.0,137926690000.0,208955030000.0,183806890000.0,225190310000.0,166423130000.0,99766660000.0,105717780000.0,152980230000.0
2049.0,157929200000.0,130647070000.0,209054780000.0,179978490000.0,222721590000.0,162826550000.0,96088530000.0,100766790000.0,151248880000.0
2050.0,153644880000.0,125252100000.0,203577520000.0,175653260000.0,221276820000.0,160869020000.0,93077004000.0,97313730000.0,150505080000.0
2051.0,150691090000.0,119181520000.0,202349940000.0,173221050000.0,221761830000.0,158051140000.0,89401614000.0,92842090000.0,150264330000.0
2052.0,144961400000.0,114703970000.0,201530670000.0,169389880000.0,220402250000.0,157523480000.0,85432820000.0,89807950000.0,147084210000.0
2053.0,141909460000.0,111883720000.0,195843240000.0,162718040000.0,221687640000.0,155380300000.0,80648260000.0,85946990000.0,143340800000.0
2054.0,139403380000.0,107611144000.0,193537440000.0,158081290000.0,218888220000.0,153644220000.0,76687900000.0,82873524000.0,140770570000.0
2055.0,133746550000.0,105934496000.0,191895030000.0,155131690000.0,217676900000.0,151949340000.0,72165966000.0,77959650000.0,136407520000.0
2056.0,130268774000.0,102183010000.0,188730670000.0,152426040000.0,213452880000.0,149025670000.0,67203162000.0,76818040000.0,135539990000.0
2057.0,127391740000.0,95559980000.0,185429980000.0,150588010000.0,212419800000.0,148686470000.0,63168418000.0,73781040000.0,131477320000.0
2058.0,122944210000.0,92001260000.0,180949450000.0,147661050000.0,212642970000.0,149255210000.0,59892060000.0,71263805000.0,127557570000.0
2059.0,119566100000.0,93110530000.0,176405580000.0,143323190000.0,210647070000.0,146817370000.0,56068346000.0,67727225000.0,124626040000.0
2060.0,117262080000.0,92271215000.0,175704600000.0,139990430000.0,209251780000.0,143248100000.0,52928975000.0,66481476000.0,121100180000.0
2061.0,113657455000.0,89282716000.0,173814610000.0,135457400000.0,208553720000.0,139505730000.0,49722980000.0,64193590000.0,118838840000.0
2062.0,110405190000.0,85375360000.0,172823560000.0,130405400000.0,206596180000.0,136010380000.0,48120787000.0,60909613000.0,114082775000.0
