time,MRI-ESM2-0,CNRM-ESM2-1,CANESM5,IPSL-CM6A-LR,UKESM1-0-LL
2000.0,45082745000000.0,45082745000000.0,45082745000000.0,45082745000000.0,45082745000000.0
2001.0,45076403000000.0,45076403000000.0,45076403000000.0,45076403000000.0,45076403000000.0
2002.0,45071437000000.0,45071437000000.0,45071437000000.0,45071437000000.0,45071437000000.0
2003.0,44951600000000.0,44951600000000.0,44951600000000.0,44951600000000.0,44951600000000.0
2004.0,44916100000000.0,44916100000000.0,44916100000000.0,44916100000000.0,44916100000000.0
2005.0,44889220000000.0,44889220000000.0,44889220000000.0,44889220000000.0,44889220000000.0
2006.0,44918730000000.0,44918730000000.0,44918730000000.0,44918730000000.0,44918730000000.0
2007.0,44819376000000.0,44819376000000.0,44819376000000.0,44819376000000.0,44819376000000.0
2008.0,44763777000000.0,44763777000000.0,44763777000000.0,44763777000000.0,44763777000000.0
2009.0,44745040000000.0,44745040000000.0,44745040000000.0,44745040000000.0,44745040000000.0
2010.0,44660634000000.0,44660634000000.0,44660634000000.0,44660634000000.0,44660634000000.0
2011.0,44635250000000.0,44635250000000.0,44635250000000.0,44635250000000.0,44635250000000.0
2012.0,44570545000000.0,44570545000000.0,44570545000000.0,44570545000000.0,44570545000000.0
2013.0,44577013000000.0,44577013000000.0,44577013000000.0,44577013000000.0,44577013000000.0
2014.0,44477754000000.0,44477754000000.0,44477754000000.0,44477754000000.0,44477754000000.0
2015.0,44562643000000.0,44562643000000.0,44562643000000.0,44562643000000.0,44562643000000.0
2016.0,44532400000000.0,44532400000000.0,44532400000000.0,44532400000000.0,44532400000000.0
2017.0,44544250000000.0,44544250000000.0,44544250000000.0,44544250000000.0,44544250000000.0
2018.0,44403234000000.0,44403234000000.0,44403234000000.0,44403234000000.0,44403234000000.0
2019.0,44366440000000.0,44366440000000.0,44366440000000.0,44366440000000.0,44366440000000.0
2020.0,44350336000000.0,44350336000000.0,44350336000000.0,44350336000000.0,44350336000000.0
2021.0,44245625000000.0,44317305000000.0,44262750000000.0,44247512000000.0,44231340000000.0
2022.0,44162213000000.0,44211072000000.0,44139266000000.0,44053950000000.0,44081825000000.0
2023.0,44033473000000.0,44052892000000.0,44069644000000.0,43967723000000.0,43875306000000.0
2024.0,44021210000000.0,43903034000000.0,44041694000000.0,43852580000000.0,43720523000000.0
2025.0,43917655000000.0,43817830000000.0,43936916000000.0,43715030000000.0,43599940000000.0
2026.0,43804585000000.0,43666150000000.0,43922650000000.0,43475567000000.0,43494756000000.0
2027.0,43737544000000.0,43612327000000.0,43883967000000.0,43437870000000.0,43332953000000.0
2028.0,43600640000000.0,43520480000000.0,43835020000000.0,43303957000000.0,43228520000000.0
