time,MRI-ESM2-0,GFDL-ESM4,CAMS-CSM1-0,EC-EARTH3-VEG
2000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0
2001.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0
2002.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0
2003.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0
2004.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0
2005.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0
2006.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0
2007.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0
2008.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0
2009.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0
2010.0,3190852400000.0,3190852400000.0,3190852400000.0,3190852400000.0
2011.0,3188905000000.0,3188905000000.0,3188905000000.0,3188905000000.0
2012.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0
2013.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0
2014.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0
2015.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0
2016.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0
2017.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0
2018.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0
2019.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0
2020.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0
2021.0,3044262000000.0,3046690000000.0,3060710800000.0,3041982200000.0
2022.0,3025955700000.0,3018985600000.0,3043704700000.0,3015000000000.0
2023.0,2989187100000.0,2989965200000.0,3042740500000.0,3006081800000.0
2024.0,2962519500000.0,2963370700000.0,3022502000000.0,2992163800000.0
2025.0,2926876600000.0,2928977400000.0,3002838800000.0,2966874000000.0
2026.0,2891042500000.0,2903712200000.0,2988760000000.0,2928973700000.0
2027.0,2847736300000.0,2889867300000.0,2978205400000.0,2901543700000.0
2028.0,2802552000000.0,2852724700000.0,2970967900000.0,2876424300000.0
2029.0,2769527800000.0,2833841000000.0,2949733200000.0,2848932000000.0
2030.0,2739868500000.0,2796573700000.0,2919918700000.0,2825170200000.0
2031.0,2699070300000.0,2776987300000.0,2881904000000.0,2814091700000.0
2032.0,2664937000000.0,2759727500000.0,2863337600000.0,2786896600000.0
2033.0,2631346000000.0,2734980000000.0,2821346300000.0,2755053200000.0
2034.0,2577403500000.0,2689023300000.0,2790687000000.0,2728193200000.0
2035.0,2530123700000.0,2655354000000.0,2762752100000.0,2692401600000.0
2036.0,2495873500000.0,2629165600000.0,2747489600000.0,2652186600000.0
2037.0,2451662700000.0,2604261400000.0,2716964700000.0,2637501800000.0
2038.0,2405568300000.0,2574711800000.0,2679153600000.0,2618350600000.0
2039.0,2368098000000.0,2558574200000.0,2663327000000.0,2605901000000.0
2040.0,2324232400000.0,2549155600000.0,2661577000000.0,2570599300000.0
2041.0,2283441800000.0,2527966800000.0,2642277000000.0,2527354000000.0
2042.0,2245379000000.0,2509549300000.0,2626561500000.0,2504416000000.0
2043.0,2215260200000.0,2486660500000.0,2590825500000.0,2488112800000.0
2044.0,2180765700000.0,2468333700000.0,2561999600000.0,2462495300000.0
2045.0,2145659700000.0,2459888500000.0,2545239700000.0,2455573400000.0
2046.0,2122903700000.0,2439674900000.0,2525193300000.0,2426918100000.0
2047.0,2095344800000.0,2424195300000.0,2492895300000.0,2404626500000.0
2048.0,2069057500000.0,2413139300000.0,2460077500000.0,2381820200000.0
2049.0,2039066700000.0,2383628700000.0,2446153000000.0,2361955700000.0
2050.0,2014605300000.0,2357839300000.0,2411443300000.0,2349836000000.0
2051.0,1991106500000.0,2345894000000.0,2402414800000.0,2340072200000.0
2052.0,1968633300000.0,2325895400000.0,2384034300000.0,2308056800000.0
2053.0,1953367700000.0,2300986500000.0,2369828400000.0,2291370300000.0
2054.0,1933669200000.0,2285691500000.0,2381560700000.0,2279527700000.0
2055.0,1913449600000.0,2260896300000.0,2383682000000.0,2259647500000.0
2056.0,1894752700000.0,2229101000000.0,2362856000000.0,2238799400000.0
2057.0,1870320400000.0,2204670000000.0,2346154200000.0,2221655500000.0
2058.0,1846310700000.0,2174806500000.0,2336312300000.0,2195089900000.0
2059.0,1817317700000.0,2150071900000.0,2332829700000.0,2192545300000.0
2060.0,1791421700000.0,2129443000000.0,2325383500000.0,2144215000000.0
2061.0,1777261000000.0,2126069900000.0,2308459500000.0,2128236900000.0
2062.0,1759632400000.0,2103607800000.0,2296738000000.0,2116271300000.0
2063.0,1746351400000.0,2097521800000.0,2279528000000.0,2095689400000.0
2064.0,1744259300000.0,2079306500000.0,2264934000000.0,2075804600000.0
2065.0,1727073700000.0,2072870500000.0,2247480000000.0,2057121600000.0
2066.0,1716051000000.0,2069370400000.0,2241082700000.0,2045732300000.0
2067.0,1701285500000.0,2057232800000.0,2232551000000.0,2022157600000.0
2068.0,1689993000000.0,2056165500000.0,2210899000000.0,2019641700000.0
2069.0,1679902600000.0,2055773200000.0,2208082000000.0,2007150200000.0
2070.0,1664484200000.0,2054222900000.0,2229512700000.0,1994017300000.0
2071.0,1659906200000.0,2058855900000.0,2227543000000.0,1997482800000.0
2072.0,1648477700000.0,2039643600000.0,2218640800000.0,1989853700000.0
2073.0,1637740300000.0,2025861000000.0,2214915000000.0,1980630200000.0
2074.0,1636261000000.0,2027142100000.0,2214179600000.0,1977104900000.0
2075.0,1614527500000.0,2030694200000.0,2251789700000.0,1974854400000.0
2076.0,1609743700000.0,2019244500000.0,2234901000000.0,1970979600000.0
2077.0,1604467300000.0,2009123100000.0,2223324300000.0,1968547300000.0
2078.0,1599604500000.0,2001091700000.0,2218495300000.0,1977114300000.0
2079.0,1590010400000.0,2006203900000.0,2219853200000.0,1976123700000.0
2080.0,1586287000000.0,2019734000000.0,2234622000000.0,1968612000000.0
2081.0,1580740500000.0,2021714000000.0,2230439000000.0,1970075700000.0
2082.0,1577415300000.0,2026257400000.0,2232838500000.0,1958029000000.0
2083.0,1567607900000.0,2028062600000.0,2242930000000.0,1950958200000.0
2084.0,1566126400000.0,2025071400000.0,2233294000000.0,1941141000000.0
2085.0,1546675600000.0,2026552600000.0,2230999600000.0,1929324500000.0
2086.0,1549740900000.0,2023488000000.0,2223612000000.0,1917840100000.0
2087.0,1541678300000.0,2020963500000.0,2221736000000.0,1913569100000.0
2088.0,1538281400000.0,2022100000000.0,2226663700000.0,1911579700000.0
2089.0,1536718400000.0,2029127200000.0,2221667500000.0,1902647800000.0
2090.0,1529367600000.0,2029197700000.0,2243330000000.0,1892855300000.0
2091.0,1531155000000.0,2029068100000.0,2238330000000.0,1886958300000.0
2092.0,1533949100000.0,2030676900000.0,2234623200000.0,1887437300000.0
2093.0,1529156900000.0,2020550000000.0,2224353000000.0,1877759100000.0
2094.0,1527657400000.0,2011097900000.0,2229904300000.0,1861752500000.0
2095.0,1520704700000.0,2016567000000.0,2238224500000.0,1861362400000.0
2096.0,1527036500000.0,2009697000000.0,2230515400000.0,1870228500000.0
