time,MRI-ESM2-0,EC-EARTH3,CESM2-WACCM,INM-CM4-8,FGOALS-F3-L,NORESM2-MM,EC-EARTH3-VEG,INM-CM5-0,CESM2,MPI-ESM1-2-HR,CAMS-CSM1-0,BCC-CSM2-MR,GFDL-ESM4
2028.0,2837583500000.0,2788142600000.0,2888271000000.0,2947157300000.0,2848594600000.0,2884478700000.0,2947069200000.0,2901721000000.0,2826056200000.0,2829789400000.0,2881153400000.0,2921132200000.0,2880407000000.0
2029.0,2794448500000.0,2743711000000.0,2866939000000.0,2927027800000.0,2807461800000.0,2846082200000.0,2930873500000.0,2853783200000.0,2795036500000.0,2806773400000.0,2862798000000.0,2893788200000.0,2859947000000.0
2030.0,2760842000000.0,2693299000000.0,2837199200000.0,2905951400000.0,2775333500000.0,2810124400000.0,2906236600000.0,2807002000000.0,2774656000000.0,2767994700000.0,2865370500000.0,2866392600000.0,2834964700000.0
2031.0,2720675400000.0,2640068500000.0,2799507600000.0,2877712500000.0,2741871800000.0,2784956800000.0,2881990200000.0,2783148200000.0,2740502100000.0,2740864200000.0,2824763300000.0,2829411400000.0,2800710800000.0
2032.0,2692907300000.0,2592805500000.0,2790716900000.0,2837562300000.0,2705369300000.0,2758432800000.0,2861602400000.0,2761053400000.0,2700069600000.0,2735447500000.0,2804176700000.0,2800021700000.0,2760009300000.0
2033.0,2673684800000.0,2564647800000.0,2761414400000.0,2811257400000.0,2664647600000.0,2738942600000.0,2860301200000.0,2730670200000.0,2674183400000.0,2703390000000.0,2771011000000.0,2767473600000.0,2740157400000.0
2034.0,2633372300000.0,2515054600000.0,2726683500000.0,2786323000000.0,2630277100000.0,2698549400000.0,2817782400000.0,2706580200000.0,2645209400000.0,2696955600000.0,2742362600000.0,2736516500000.0,2712889200000.0
2035.0,2595462000000.0,2488793000000.0,2683148200000.0,2765070000000.0,2565270000000.0,2666493600000.0,2792392800000.0,2659674500000.0,2616479000000.0,2678460300000.0,2724281000000.0,2707581000000.0,2677123600000.0
2036.0,2552816500000.0,2439081600000.0,2660680600000.0,2736588600000.0,2541368000000.0,2630259300000.0,2784991600000.0,2609149600000.0,2584287400000.0,2658423500000.0,2693604000000.0,2661432000000.0,2660387800000.0
2037.0,2511753200000.0,2382126400000.0,2635002800000.0,2708643000000.0,2520613000000.0,2610132400000.0,2774953400000.0,2587945000000.0,2544538000000.0,2620730000000.0,2659880500000.0,2636819000000.0,2635103200000.0
