time,MPI-ESM1-2-HR,MRI-ESM2-0,FGOALS-F3-L,EC-EARTH3,BCC-CSM2-MR,CAMS-CSM1-0,INM-CM4-8,EC-EARTH3-VEG,CMCC-CM2-SR5,NORESM2-MM,INM-CM5-0,CESM2-WACCM,CESM2,GFDL-ESM4
2000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0
2001.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0
2002.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0
2003.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0
2004.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0
2005.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0
2006.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0
2007.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0
2008.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0
2009.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0
2010.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0
2011.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0
2012.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0
2013.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0
2014.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0
2015.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0
2016.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0
2017.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0
2018.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0
2019.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0
2020.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0
2021.0,3434539000000.0,3425511700000.0,3436886400000.0,3424123000000.0,3435944500000.0,3435912800000.0,3442583800000.0,3434671800000.0,3473849200000.0,3435158800000.0,3433238400000.0,3442132000000.0,3439780200000.0,3438078900000.0
2022.0,3421276000000.0,3403250400000.0,3439083000000.0,3394516300000.0,3422153900000.0,3419395900000.0,3431127600000.0,3409773600000.0,3468432800000.0,3425112000000.0,3415175900000.0,3434855500000.0,3416502800000.0,3427714500000.0
2023.0,3401455000000.0,3386338700000.0,3418041400000.0,3370319000000.0,3400453600000.0,3404281000000.0,3427039400000.0,3397463300000.0,3463129900000.0,3416018000000.0,3398653200000.0,3423327200000.0,3411779500000.0,3416514000000.0
2024.0,3384849000000.0,3369635400000.0,3408869700000.0,3342119700000.0,3376171000000.0,3376605600000.0,3409564700000.0,3378376300000.0,3451177000000.0,3401032700000.0,3377378000000.0,3419064500000.0,3405485000000.0,3398291400000.0
2025.0,3369352800000.0,3351189700000.0,3398252600000.0,3315387300000.0,3356011300000.0,3336142600000.0,3388273300000.0,3356821800000.0,3448265500000.0,3398638000000.0,3344568700000.0,3400761000000.0,3400760600000.0,3371618000000.0
2026.0,3354884600000.0,3320802200000.0,3393669600000.0,3280641000000.0,3329956800000.0,3300860000000.0,3369664200000.0,3346723000000.0,3439058700000.0,3396477400000.0,3317809000000.0,3378523000000.0,3398655300000.0,3352474000000.0
2027.0,3340502300000.0,3288073800000.0,3385034800000.0,3240732100000.0,3312067500000.0,3270915400000.0,3353520400000.0,3332114700000.0,3423710200000.0,3388852400000.0,3299609400000.0,3367745600000.0,3403593800000.0,3338248000000.0
2028.0,3325995300000.0,3274898400000.0,3380251000000.0,3213649500000.0,3281447800000.0,3239162200000.0,3347945000000.0,3322103700000.0,3407768500000.0,3387247600000.0,3268380200000.0,3340933500000.0,3396927200000.0,3316484700000.0
2029.0,3316401300000.0,3249349000000.0,3370553200000.0,3194562500000.0,3261269500000.0,3219492200000.0,3327246200000.0,3298341200000.0,3379981200000.0,3388670000000.0,3243906400000.0,3318006700000.0,3395880200000.0,3300823700000.0
2030.0,3303968600000.0,3222635500000.0,3351336500000.0,3158876400000.0,3238870000000.0,3198382000000.0,3314006400000.0,3281133800000.0,3357406000000.0,3386704000000.0,3224311000000.0,3296664700000.0,3382993700000.0,3284548500000.0
2031.0,3286602600000.0,3201323200000.0,3344149000000.0,3130669000000.0,3203603600000.0,3171082300000.0,3300932000000.0,3260538700000.0,3338742500000.0,3378288300000.0,3199520200000.0,3292799000000.0,3373727700000.0,3257875300000.0
2032.0,3267174300000.0,3177377400000.0,3322256000000.0,3112627000000.0,3171032000000.0,3147731600000.0,3272782600000.0,3233613300000.0,3334975000000.0,3385587100000.0,3175332400000.0,3280431000000.0,3359175000000.0,3231546000000.0
2033.0,3257021200000.0,3150236400000.0,3308552700000.0,3089974200000.0,3150395500000.0,3126970800000.0,3252324000000.0,3213817300000.0,3323724600000.0,3384230800000.0,3139899000000.0,3255429200000.0,3342774600000.0,3209229500000.0
2034.0,3238730400000.0,3129364400000.0,3295016000000.0,3063785200000.0,3127373500000.0,3100817000000.0,3236361400000.0,3180184000000.0,3311431000000.0,3372043500000.0,3111474400000.0,3236361000000.0,3346780000000.0,3180550400000.0
2035.0,3222747700000.0,3106883800000.0,3273886500000.0,3032908800000.0,3113021900000.0,3078750000000.0,3212530400000.0,3170843800000.0,3293267600000.0,3363752400000.0,3077313000000.0,3229244700000.0,3334693000000.0,3173261200000.0
2036.0,3198372300000.0,3074076700000.0,3265905000000.0,2999115600000.0,3092095000000.0,3045992400000.0,3194599800000.0,3150764600000.0,3270470300000.0,3353477000000.0,3044165800000.0,3204876900000.0,3333313800000.0,3156899000000.0
2037.0,3183492500000.0,3042202000000.0,3263971200000.0,2974970300000.0,3065293600000.0,3013750300000.0,3177342800000.0,3136386800000.0,3246100300000.0,3333951800000.0,3017434500000.0,3184470300000.0,3326543000000.0,3139657300000.0
2038.0,3163158500000.0,3009549700000.0,3236536800000.0,2947041000000.0,3026665900000.0,2996178800000.0,3151158600000.0,3118291500000.0,3217957000000.0,3325024300000.0,2977766300000.0,3161106400000.0,3327800000000.0,3132820800000.0
2039.0,3151333200000.0,2977407000000.0,3230644000000.0,2920259500000.0,2993139000000.0,2986130000000.0,3128057700000.0,3110128300000.0,3197362500000.0,3313989600000.0,2962223800000.0,3141509000000.0,3321116200000.0,3113344600000.0
2040.0,3143044400000.0,2948409300000.0,3216289300000.0,2892025800000.0,2962509800000.0,2978799700000.0,3103290000000.0,3087832200000.0,3181294000000.0,3305868400000.0,2932429000000.0,3135705000000.0,3303656400000.0,3094228800000.0
2041.0,3125706200000.0,2919632000000.0,3199446800000.0,2862522000000.0,2934807500000.0,2959083300000.0,3078334000000.0,3066004000000.0,3164681000000.0,3294286000000.0,2904889000000.0,3115339500000.0,3301146600000.0,3080437000000.0
2042.0,3109309000000.0,2886503500000.0,3170513700000.0,2837335800000.0,2904518300000.0,2950116000000.0,3057839200000.0,3046338500000.0,3143690400000.0,3282760000000.0,2877026200000.0,3099523800000.0,3282383100000.0,3077222400000.0
2043.0,3101917000000.0,2847539500000.0,3155178300000.0,2802368400000.0,2879172400000.0,2943153300000.0,3041176300000.0,3025099300000.0,3113785000000.0,3260026500000.0,2863309500000.0,3092818400000.0,3286281000000.0,3066010500000.0
2044.0,3087363000000.0,2824472000000.0,3124863200000.0,2771349000000.0,2855839000000.0,2934334600000.0,3019660900000.0,3005242700000.0,3080133800000.0,3250588700000.0,2835974000000.0,3066968700000.0,3280382500000.0,3054089000000.0
2045.0,3077418000000.0,2800947300000.0,3101603000000.0,2741136300000.0,2829523400000.0,2919654200000.0,2997858900000.0,2979204000000.0,3052227000000.0,3249181000000.0,2817360400000.0,3049616600000.0,3271866700000.0,3039485000000.0
2046.0,3065071500000.0,2783991300000.0,3071276200000.0,2719386400000.0,2798588800000.0,2909081400000.0,2978819600000.0,2964381000000.0,3033949000000.0,3244913600000.0,2793795500000.0,3026370400000.0,3259077200000.0,3024889800000.0
2047.0,3048039500000.0,2763223700000.0,3051529700000.0,2686845500000.0,2769058000000.0,2892408000000.0,2956270000000.0,2940243500000.0,3010977300000.0,3221915400000.0,2779116200000.0,3005088800000.0,3260927400000.0,3003927500000.0
2048.0,3032973800000.0,2743901600000.0,3025523400000.0,2654686700000.0,2735468400000.0,2865630500000.0,2934301000000.0,2922458000000.0,2980708000000.0,3207317200000.0,2773809600000.0,2989934500000.0,3253945000000.0,2981172600000.0
