time,MRI-ESM2-0,CAMS-CSM1-0,EC-EARTH3-VEG,GFDL-ESM4
2000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0
2001.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0
2002.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0
2003.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0
2004.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0
2005.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0
2006.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0
2007.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0
2008.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0
2009.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0
2010.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0
2011.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0
2012.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0
2013.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0
2014.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0
2015.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0
2016.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0
2017.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0
2018.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0
2019.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0
2020.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0
2021.0,3429692000000.0,3424150000000.0,3430566000000.0,3445744500000.0
2022.0,3413111000000.0,3411253400000.0,3414767700000.0,3429364400000.0
2023.0,3394962500000.0,3398784300000.0,3392831200000.0,3399689700000.0
2024.0,3368582600000.0,3383290200000.0,3378283300000.0,3378107400000.0
2025.0,3354645500000.0,3364199900000.0,3364397500000.0,3362501000000.0
2026.0,3334937800000.0,3349469200000.0,3347417400000.0,3339381000000.0
2027.0,3313021200000.0,3336109600000.0,3323096500000.0,3333469200000.0
2028.0,3290083400000.0,3305243100000.0,3300417600000.0,3309958300000.0
2029.0,3263791000000.0,3273037200000.0,3273592700000.0,3293135200000.0
2030.0,3237343100000.0,3254086300000.0,3240134200000.0,3276821000000.0
2031.0,3213692500000.0,3234855600000.0,3208032300000.0,3260917000000.0
2032.0,3189434000000.0,3219048600000.0,3197105900000.0,3243451000000.0
2033.0,3172622400000.0,3205966600000.0,3185861700000.0,3224837600000.0
2034.0,3155194300000.0,3190895700000.0,3164101000000.0,3205357600000.0
2035.0,3133852600000.0,3170864000000.0,3145394800000.0,3192946400000.0
2036.0,3109303400000.0,3154546000000.0,3131639900000.0,3177309300000.0
2037.0,3094032000000.0,3134487500000.0,3112554200000.0,3161191000000.0
2038.0,3067397300000.0,3110759300000.0,3089257000000.0,3137051000000.0
2039.0,3037016000000.0,3099691300000.0,3074013300000.0,3117849500000.0
2040.0,3015352500000.0,3078428800000.0,3053679500000.0,3102433300000.0
2041.0,2993075000000.0,3053546400000.0,3039592200000.0,3092016000000.0
2042.0,2974239400000.0,3017450000000.0,3026074500000.0,3077497200000.0
2043.0,2950391400000.0,2990297300000.0,3005025600000.0,3061553800000.0
2044.0,2937020700000.0,2955242400000.0,3002625700000.0,3057023500000.0
2045.0,2914437800000.0,2936396600000.0,2985932400000.0,3045054200000.0
2046.0,2896450600000.0,2907025400000.0,2978567400000.0,3041115800000.0
2047.0,2875961600000.0,2874837000000.0,2983694000000.0,3032983500000.0
2048.0,2851809800000.0,2850191800000.0,2973534500000.0,3019392400000.0
2049.0,2838940000000.0,2825437800000.0,2965811000000.0,3001817800000.0
2050.0,2826970300000.0,2791085400000.0,2951335400000.0,2997435200000.0
2051.0,2811129200000.0,2774255500000.0,2950562600000.0,2986560700000.0
2052.0,2798879000000.0,2757742000000.0,2938030300000.0,2976849900000.0
2053.0,2782714700000.0,2731324000000.0,2917710700000.0,2964682000000.0
2054.0,2773157200000.0,2702065000000.0,2897034300000.0,2953559100000.0
2055.0,2755226800000.0,2676443600000.0,2876112400000.0,2949675500000.0
2056.0,2744178400000.0,2657013500000.0,2853418300000.0,2937026800000.0
2057.0,2728992200000.0,2639790600000.0,2842959000000.0,2926145400000.0
2058.0,2724011200000.0,2618736000000.0,2820493800000.0,2916824400000.0
