time,CESM2,GFDL-ESM4,ACCESS-ESM1-5,CESM2-WACCM,INM-CM5-0,NORESM2-MM,TAIESM1,IPSL-CM6A-LR,ACCESS-CM2,CMCC-CM2-SR5,CAMS-CSM1-0,INM-CM4-8,EC-EARTH3-VEG,EC-EARTH3,BCC-CSM2-MR,FGOALS-F3-L,MPI-ESM1-2-HR,MRI-ESM2-0,CANESM5
2000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0
2001.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0
2002.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0
2003.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0
2004.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0
2005.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0
2006.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0
2007.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0
2008.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0
2009.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0
2010.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0
2011.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0
2012.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0
2013.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0
2014.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0
2015.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0
2016.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0
2017.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0
2018.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0
2019.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0
2020.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0
2021.0,3447648700000.0,3442408700000.0,3447328300000.0,3440262800000.0,3443252500000.0,3433256500000.0,3434345000000.0,3440292100000.0,3422513500000.0,3452411000000.0,3432141600000.0,3453758000000.0,3442307200000.0,3433565500000.0,3441406200000.0,3432323200000.0,3422966800000.0,3436898200000.0,3421619600000.0
2022.0,3432975700000.0,3430796000000.0,3441066200000.0,3416984600000.0,3417612200000.0,3431699300000.0,3412486500000.0,3432394800000.0,3404939700000.0,3445415700000.0,3411002000000.0,3441548000000.0,3425499600000.0,3407736200000.0,3441361400000.0,3417624300000.0,3404374500000.0,3420166800000.0,3396309000000.0
2023.0,3414645800000.0,3421345000000.0,3426191000000.0,3398972200000.0,3407095300000.0,3423027900000.0,3402068700000.0,3416019200000.0,3384369700000.0,3434383100000.0,3376932700000.0,3432549200000.0,3413046000000.0,3391638700000.0,3429001900000.0,3399162800000.0,3387088700000.0,3397261000000.0,3352108200000.0
2024.0,3400792000000.0,3403462700000.0,3429021500000.0,3386482400000.0,3393233600000.0,3417269300000.0,3377111500000.0,3410068500000.0,3363416300000.0,3438357300000.0,3339427000000.0,3421039000000.0,3388051000000.0,3368853400000.0,3417057000000.0,3385873700000.0,3373025500000.0,3364830600000.0,3310856200000.0
2025.0,3388050800000.0,3388144400000.0,3415078900000.0,3375626500000.0,3372586600000.0,3397821400000.0,3356468400000.0,3397741200000.0,3360637000000.0,3430773400000.0,3311228000000.0,3411189400000.0,3377018000000.0,3338413800000.0,3387236500000.0,3380847000000.0,3359984000000.0,3338004900000.0,3276266000000.0
2026.0,3369606300000.0,3382272000000.0,3404038000000.0,3354710200000.0,3356333200000.0,3381454700000.0,3331168700000.0,3382885000000.0,3351030300000.0,3420806000000.0,3290959700000.0,3397366300000.0,3362768000000.0,3319564000000.0,3378452000000.0,3370120400000.0,3353728500000.0,3314013000000.0,3233035300000.0
2027.0,3344165800000.0,3367828700000.0,3382963600000.0,3341791300000.0,3333527000000.0,3363727000000.0,3303156700000.0,3367123000000.0,3339434000000.0,3415511400000.0,3259135700000.0,3392282000000.0,3361502400000.0,3284148000000.0,3353847800000.0,3352668400000.0,3345276200000.0,3288984200000.0,3202644700000.0
2028.0,3350409000000.0,3352895400000.0,3363938200000.0,3324515700000.0,3315461800000.0,3354135000000.0,3262206000000.0,3344120400000.0,3322705300000.0,3387535400000.0,3247529800000.0,3386733800000.0,3334833700000.0,3260575600000.0,3335895600000.0,3333529000000.0,3331378000000.0,3278242300000.0,3163048400000.0
2029.0,3345723200000.0,3347290000000.0,3356405800000.0,3303056000000.0,3294153700000.0,3354120400000.0,3224264800000.0,3334624500000.0,3299467600000.0,3375886500000.0,3215661200000.0,3371107600000.0,3314023000000.0,3231392500000.0,3317239600000.0,3318591000000.0,3321944000000.0,3248609000000.0,3119565200000.0
2030.0,3321200000000.0,3327855700000.0,3341148000000.0,3292805700000.0,3276358500000.0,3339884200000.0,3187918200000.0,3313641000000.0,3272766400000.0,3346430000000.0,3193527000000.0,3359755700000.0,3290200800000.0,3190378700000.0,3292239500000.0,3309732000000.0,3307147000000.0,3219352500000.0,3087815000000.0
2031.0,3305741500000.0,3324867000000.0,3332309800000.0,3263923200000.0,3238415600000.0,3323708300000.0,3167127900000.0,3292893800000.0,3240580600000.0,3322554000000.0,3169676200000.0,3338320500000.0,3270862400000.0,3158481800000.0,3268107800000.0,3306979000000.0,3290479000000.0,3189645000000.0,3046923800000.0
2032.0,3278557000000.0,3304052000000.0,3312161400000.0,3246741800000.0,3216692000000.0,3299458700000.0,3138858000000.0,3271361000000.0,3221180000000.0,3300150000000.0,3149328500000.0,3325890700000.0,3261819800000.0,3124309000000.0,3245518600000.0,3294612200000.0,3273874700000.0,3159016600000.0,3010245000000.0
2033.0,3251031500000.0,3287542000000.0,3298647600000.0,3226127800000.0,3196002000000.0,3284536700000.0,3110910600000.0,3253779800000.0,3201864300000.0,3279798400000.0,3139788900000.0,3305960600000.0,3245694800000.0,3095802400000.0,3223518700000.0,3282072500000.0,3255788400000.0,3125058500000.0,2975111300000.0
2034.0,3230847200000.0,3279789500000.0,3276650300000.0,3207551300000.0,3164043200000.0,3273021000000.0,3075592400000.0,3238095500000.0,3179706300000.0,3259091000000.0,3120992400000.0,3287812100000.0,3220215400000.0,3057062200000.0,3190818600000.0,3273148900000.0,3239489000000.0,3092689700000.0,2936037000000.0
2035.0,3208749000000.0,3264713900000.0,3256499000000.0,3186860500000.0,3137805200000.0,3265871500000.0,3047929400000.0,3212714200000.0,3152538500000.0,3242184700000.0,3103604300000.0,3270654300000.0,3200149600000.0,3015653700000.0,3172383300000.0,3248363400000.0,3213690000000.0,3053172800000.0,2899963800000.0
2036.0,3189952700000.0,3250136800000.0,3240863000000.0,3176138800000.0,3107978500000.0,3245699500000.0,3017620300000.0,3203116000000.0,3124475000000.0,3223961500000.0,3071111300000.0,3255700300000.0,3179195400000.0,2977268200000.0,3148847300000.0,3233365400000.0,3197861600000.0,3024153200000.0,2856952500000.0
2037.0,3179612500000.0,3239542300000.0,3225279000000.0,3153991000000.0,3081686700000.0,3232347500000.0,2997367900000.0,3191800000000.0,3094055700000.0,3203412800000.0,3044993100000.0,3234328500000.0,3156874400000.0,2933794000000.0,3130865700000.0,3219331700000.0,3184806600000.0,3003969700000.0,2823344600000.0
