time,IPSL-CM6A-LR,UKESM1-0-LL,CESM2-WACCM,MPI-ESM1-2-HR,TAIESM1,MRI-ESM2-0,IITM-ESM,GFDL-ESM4,KACE-1-0-G
2000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0
2001.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0
2002.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0
2003.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0
2004.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0
2005.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0
2006.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0
2007.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0
2008.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0
2009.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0
2010.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0
2011.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0
2012.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0
2013.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0
2014.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0
2015.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0
2016.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0
2017.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0
2018.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0
2019.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0
2020.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0
2021.0,104359440000.0,104185250000.0,104355140000.0,104271060000.0,104329675000.0,104292704000.0,104348980000.0,104279920000.0,104666374000.0
