time,CNRM-CM6-1,UKESM1-0-LL,IPSL-CM6A-LR,CNRM-ESM2-1,MIROC6,CANESM5,EC-EARTH3,CESM2-WACCM,TAIESM1,MPI-ESM1-2-HR,KACE-1-0-G,GFDL-ESM4,IITM-ESM,MRI-ESM2-0
2000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0
2001.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0
2002.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0
2003.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0
2004.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0
2005.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0
2006.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0
2007.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0
2008.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0
2009.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0
2010.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0
2011.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0
2012.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0
2013.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0
2014.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0
2015.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0
2016.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0
2017.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0
2018.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0
2019.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0
2020.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0
2021.0,104249090000.0,104290220000.0,104275260000.0,106057790000.0,104319330000.0,104250294000.0,104202895000.0,104207480000.0,104158320000.0,104226740000.0,104474640000.0,104247665000.0,104330910000.0,104534040000.0
2022.0,104116000000.0,104178975000.0,104175526000.0,104275280000.0,104289420000.0,104198005000.0,104239810000.0,104191680000.0,104116175000.0,104243610000.0,104963700000.0,104189950000.0,104218460000.0,104396610000.0
2023.0,104077580000.0,104153620000.0,104133450000.0,104205640000.0,104266050000.0,104143135000.0,104145900000.0,104236680000.0,104084790000.0,104173900000.0,104643674000.0,104173126000.0,104160985000.0,104245800000.0
2024.0,104357190000.0,104101120000.0,104141250000.0,104164850000.0,104256100000.0,104165440000.0,104052470000.0,104197810000.0,103999100000.0,104263940000.0,104648245000.0,104139640000.0,104172620000.0,104257730000.0
2025.0,104158320000.0,104045290000.0,104103215000.0,104166110000.0,104238090000.0,104035840000.0,103961030000.0,104106435000.0,103967730000.0,104143080000.0,104415720000.0,104109510000.0,104178205000.0,105815770000.0
2026.0,104023425000.0,104029454000.0,104031750000.0,105050200000.0,104164230000.0,104039735000.0,103948240000.0,104082090000.0,103895640000.0,104099520000.0,104636000000.0,104134580000.0,104113480000.0,104900220000.0
2027.0,104129170000.0,103968570000.0,104019820000.0,104274220000.0,104146500000.0,104026150000.0,103947140000.0,104206300000.0,103868826000.0,104544715000.0,105352430000.0,104099590000.0,104198590000.0,104413340000.0
2028.0,103941080000.0,103913430000.0,103982170000.0,104523770000.0,104060764000.0,103915700000.0,103887320000.0,104481160000.0,103786420000.0,104178670000.0,104515760000.0,104233040000.0,104299560000.0,104205890000.0
2029.0,103955450000.0,103870095000.0,103965475000.0,104095015000.0,103989860000.0,103836100000.0,103760085000.0,104088470000.0,103693980000.0,104247180000.0,104723210000.0,104084350000.0,104103820000.0,104211180000.0
2030.0,105098190000.0,103814726000.0,104050780000.0,104030210000.0,103973800000.0,103897530000.0,103694250000.0,104109520000.0,103602905000.0,104063150000.0,104761250000.0,104064420000.0,104009970000.0,104103510000.0
2031.0,104052960000.0,103719920000.0,103891520000.0,103926910000.0,103915070000.0,103775210000.0,103548530000.0,104068160000.0,103514145000.0,104040090000.0,104583450000.0,103938370000.0,103920190000.0,104354690000.0
2032.0,103988680000.0,103698690000.0,103828270000.0,103849830000.0,103967310000.0,103747150000.0,103441160000.0,103989666000.0,103402280000.0,104015580000.0,104339820000.0,103853380000.0,103891345000.0,104102300000.0
