time,MIROC6,UKESM1-0-LL,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G,GFDL-ESM4,IITM-ESM,MRI-ESM2-0,TAIESM1,MPI-ESM1-2-HR,CESM2-WACCM,CANESM5,EC-EARTH3
2025.0,104269455000.0,104080110000.0,104052450000.0,104030134000.0,104154790000.0,104962300000.0,104202820000.0,104090665000.0,104101690000.0,104021410000.0,104308760000.0,104274936000.0,104237990000.0,103789306000.0
2026.0,104236120000.0,103988990000.0,103983510000.0,103927150000.0,104216445000.0,104732310000.0,104199225000.0,104042960000.0,104056900000.0,103943000000.0,104345395000.0,104150160000.0,104103450000.0,103687880000.0
2027.0,104159730000.0,103977705000.0,103990770000.0,103907250000.0,104105976000.0,104777590000.0,104199940000.0,104025465000.0,104184890000.0,103871740000.0,104412390000.0,104093540000.0,104056610000.0,103566780000.0
2028.0,104115230000.0,103906750000.0,103930160000.0,103807345000.0,104053240000.0,104705470000.0,104124300000.0,104020180000.0,104081420000.0,103801780000.0,104272110000.0,104052350000.0,104116060000.0,103394210000.0
2029.0,104074570000.0,103816420000.0,103862530000.0,103685640000.0,104064470000.0,104565040000.0,104180646000.0,103997325000.0,103959585000.0,103726010000.0,104179980000.0,104127750000.0,104012956000.0,103270270000.0
2030.0,104028340000.0,103737090000.0,103832040000.0,103645230000.0,104204520000.0,104592730000.0,104055360000.0,104104270000.0,103923180000.0,103648076000.0,104334520000.0,104008425000.0,103964220000.0,103123894000.0
2031.0,104008210000.0,103675910000.0,103768260000.0,103564075000.0,104296645000.0,104448030000.0,103985670000.0,104024670000.0,103819936000.0,103600660000.0,104174280000.0,103990550000.0,103907240000.0,102943620000.0
2032.0,103909550000.0,103635300000.0,103891450000.0,103454850000.0,104001060000.0,104465530000.0,103949670000.0,103923630000.0,103790690000.0,103526500000.0,104084324000.0,103890485000.0,103838750000.0,103043680000.0
2033.0,103943550000.0,103599090000.0,103782440000.0,103364805000.0,103923196000.0,104430470000.0,103975570000.0,103862960000.0,104115480000.0,103444520000.0,104070360000.0,104138450000.0,103757810000.0,102819470000.0
2034.0,103842540000.0,103475570000.0,103771324000.0,105010860000.0,104029200000.0,104356360000.0,103857130000.0,103961570000.0,103749910000.0,103352960000.0,103957094000.0,103989850000.0,103698330000.0,102575464000.0
2035.0,103967470000.0,103375230000.0,103637565000.0,105665700000.0,103870520000.0,104270100000.0,103839950000.0,103864090000.0,103658280000.0,103252435000.0,103926194000.0,103836750000.0,103678160000.0,102311430000.0
2036.0,103823410000.0,103286874000.0,103572080000.0,104076110000.0,103916680000.0,104523520000.0,103808230000.0,103814750000.0,103648550000.0,103183040000.0,103866670000.0,103754910000.0,103568670000.0,102046690000.0
2037.0,103757620000.0,103159600000.0,103670830000.0,104118400000.0,103751330000.0,104348280000.0,103795390000.0,103849600000.0,103628770000.0,103003150000.0,104129990000.0,103660200000.0,103476400000.0,101828350000.0
2038.0,103694440000.0,103048140000.0,103921025000.0,103638606000.0,103688840000.0,104057790000.0,103706630000.0,103748970000.0,103526970000.0,102794486000.0,103930135000.0,103584000000.0,103418175000.0,101611676000.0
2039.0,103594420000.0,102949460000.0,103685420000.0,104683380000.0,103610190000.0,104006220000.0,103683100000.0,103741235000.0,103429710000.0,102658340000.0,103798250000.0,103700520000.0,103451010000.0,101231460000.0
2040.0,103537750000.0,102857550000.0,103491980000.0,103935000000.0,103547600000.0,104148430000.0,103631300000.0,103671630000.0,103526940000.0,102471980000.0,103727730000.0,103566720000.0,103312900000.0,101079015000.0
2041.0,103597520000.0,102765010000.0,103415090000.0,103548035000.0,103546770000.0,104037220000.0,103736600000.0,103627480000.0,103487226000.0,102267840000.0,103695780000.0,103453370000.0,103194345000.0,100810600000.0
2042.0,103589090000.0,102726520000.0,103418044000.0,104628630000.0,103440790000.0,104179835000.0,103760350000.0,103617470000.0,103309900000.0,102042050000.0,103596294000.0,103381930000.0,103142110000.0,100495240000.0
