time,IPSL-CM6A-LR,UKESM1-0-LL,MRI-ESM2-0,CNRM-ESM2-1,CANESM5
2000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0
2001.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0
2002.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0
2003.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0
2004.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0
2005.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0
2006.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0
2007.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0
2008.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0
2009.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0
2010.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0
2011.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0
2012.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0
2013.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0
2014.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0
2015.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0
2016.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0
2017.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0
2018.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0
2019.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0
2020.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0
2021.0,104275260000.0,104290220000.0,104534040000.0,106057790000.0,104250294000.0
2022.0,104175526000.0,104178975000.0,104396610000.0,104275280000.0,104198005000.0
2023.0,104133450000.0,104153620000.0,104245800000.0,104205640000.0,104143135000.0
2024.0,104141250000.0,104101120000.0,104257730000.0,104164850000.0,104165440000.0
2025.0,104103215000.0,104045290000.0,105815770000.0,104166110000.0,104035840000.0
2026.0,104031750000.0,104029454000.0,104900220000.0,105050200000.0,104039735000.0
2027.0,104019820000.0,103968570000.0,104413340000.0,104274220000.0,104026150000.0
2028.0,103982170000.0,103913430000.0,104205890000.0,104523770000.0,103915700000.0
2029.0,103965475000.0,103870095000.0,104211180000.0,104095015000.0,103836100000.0
2030.0,104050780000.0,103814726000.0,104103510000.0,104030210000.0,103897530000.0
