time,CAMS-CSM1-0,ACCESS-ESM1-5,BCC-CSM2-MR,INM-CM4-8,FGOALS-F3-L,EC-EARTH3,TAIESM1,MRI-ESM2-0,INM-CM5-0,CESM2,CESM2-WACCM,EC-EARTH3-VEG,NORESM2-MM,CANESM5,CMCC-CM2-SR5,MPI-ESM1-2-HR,GFDL-ESM4,IPSL-CM6A-LR,ACCESS-CM2
2000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0
2001.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0
2002.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0
2003.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0
2004.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0
2005.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0
2006.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0
2007.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0
2008.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0
2009.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0
2010.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0
