time,MPI-ESM1-2-HR,CESM2,CESM2-WACCM,CMCC-CM2-SR5,IPSL-CM6A-LR,INM-CM5-0,MRI-ESM2-0,EC-EARTH3-VEG,GFDL-ESM4,CANESM5,BCC-CSM2-MR,CAMS-CSM1-0,ACCESS-CM2,EC-EARTH3,TAIESM1,ACCESS-ESM1-5,NORESM2-MM,INM-CM4-8,FGOALS-F3-L
2000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0
2001.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0
2002.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0
2003.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0
2004.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0
2005.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0
2006.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0
2007.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0
2008.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0
2009.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0
2010.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0
2011.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0
2012.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0
2013.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0
2014.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0
2015.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0
2016.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0
2017.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0
2018.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0
2019.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0
2020.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0
2021.0,18053323000000.0,17993780000000.0,17991576000000.0,18076062000000.0,18015595000000.0,18124986000000.0,18049892000000.0,17984603000000.0,18046130000000.0,17994353000000.0,18038650000000.0,17984318000000.0,17924327000000.0,18016763000000.0,17993904000000.0,17993614000000.0,18067826000000.0,17984339000000.0,18057192000000.0
