time,IPSL-CM6A-LR,MPI-ESM1-2-HR,MRI-ESM2-0,GFDL-ESM4,UKESM1-0-LL
2000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0
2001.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0
2002.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0
2003.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0
2004.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0
2005.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0
2006.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0
2007.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0
2008.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0
2009.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0
2010.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0
2011.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0
2012.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0
2013.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0
2014.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0
2015.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0
2016.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0
2017.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0
2018.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0
2019.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0
2020.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0
2021.0,87605240000.0,87606720000.0,87250310000.0,87825360000.0,87738500000.0
2022.0,87955450000.0,87474864000.0,87036090000.0,87477170000.0,87328910000.0
2023.0,88000774000.0,87286440000.0,86877770000.0,87207120000.0,87173240000.0
2024.0,87696420000.0,87156050000.0,87079620000.0,87287546000.0,86763640000.0
2025.0,87228420000.0,87209705000.0,88398400000.0,86955900000.0,86470025000.0
2026.0,87952140000.0,86999160000.0,87014550000.0,86825190000.0,86252220000.0
2027.0,87372660000.0,87370380000.0,86485570000.0,86677220000.0,86027970000.0
2028.0,87130990000.0,86688416000.0,86222760000.0,86496110000.0,85817840000.0
2029.0,87063940000.0,86378020000.0,85952140000.0,86672910000.0,85348870000.0
2030.0,86854850000.0,86524576000.0,85864320000.0,86290596000.0,85108200000.0
2031.0,86561870000.0,86126060000.0,85453030000.0,86094316000.0,84604520000.0
2032.0,86487220000.0,86229750000.0,85820140000.0,85937414000.0,84057180000.0
2033.0,86363810000.0,85961450000.0,85280410000.0,85712570000.0,83549280000.0
2034.0,86076530000.0,86201745000.0,84978200000.0,85452580000.0,83008004000.0
2035.0,85887566000.0,85546115000.0,84578580000.0,85294210000.0,82379660000.0
2036.0,85562790000.0,85279605000.0,84134920000.0,85091570000.0,81652260000.0
2037.0,85448020000.0,85071405000.0,83600640000.0,84792040000.0,80981220000.0
2038.0,85144980000.0,84840090000.0,83668160000.0,84425280000.0,80297590000.0
2039.0,85146370000.0,84533220000.0,83270540000.0,84188390000.0,79287575000.0
2040.0,84871920000.0,84360266000.0,82870560000.0,83945460000.0,78436790000.0
2041.0,84334750000.0,84240200000.0,83967790000.0,83744604000.0,77746030000.0
2042.0,84025500000.0,83989620000.0,83875290000.0,83544000000.0,76816500000.0
2043.0,83747560000.0,83636314000.0,82086990000.0,83411550000.0,75771040000.0
2044.0,83361490000.0,83372270000.0,81423280000.0,82971200000.0,74920800000.0
2045.0,82917710000.0,83156525000.0,81316660000.0,82687435000.0,74144810000.0
2046.0,82546660000.0,82867405000.0,81079830000.0,82265900000.0,73204920000.0
2047.0,81930690000.0,82660400000.0,80525810000.0,82062810000.0,71962436000.0
2048.0,81414545000.0,82370230000.0,79590244000.0,81523530000.0,70711470000.0
2049.0,81033830000.0,81930110000.0,79033910000.0,81858610000.0,69784980000.0
2050.0,80430590000.0,81590985000.0,79930876000.0,80916400000.0,68938740000.0
2051.0,79970840000.0,81342730000.0,78640900000.0,80669810000.0,67900870000.0
2052.0,79564600000.0,80895664000.0,78183960000.0,80295264000.0,66829960000.0
2053.0,79128080000.0,80418150000.0,77714540000.0,79894070000.0,65721995000.0
2054.0,78361590000.0,80098574000.0,76900590000.0,79334920000.0,64537444000.0
2055.0,77947060000.0,79802600000.0,76037210000.0,78958440000.0,63314930000.0
2056.0,77469336000.0,79206840000.0,75347770000.0,78907420000.0,62356360000.0
2057.0,77112020000.0,78872950000.0,74706640000.0,78509590000.0,61442630000.0
2058.0,76506510000.0,78250380000.0,74678630000.0,77798646000.0,60372476000.0
2059.0,76056070000.0,78157710000.0,74452270000.0,77238200000.0,59250065000.0
2060.0,75247430000.0,77341880000.0,74493140000.0,76667600000.0,58206454000.0
2061.0,74668130000.0,76978495000.0,73196315000.0,76172575000.0,57136685000.0
2062.0,74031790000.0,76872080000.0,72626140000.0,75918350000.0,55783956000.0
2063.0,73359280000.0,76229616000.0,71832700000.0,75180050000.0,54549893000.0
2064.0,72624550000.0,75677720000.0,71165810000.0,74793090000.0,53546947000.0
2065.0,71858250000.0,75203944000.0,71017230000.0,74114700000.0,52420570000.0
2066.0,71548920000.0,74772080000.0,70718040000.0,73645630000.0,51335940000.0
2067.0,70801170000.0,74473100000.0,70090770000.0,73020980000.0,50407477000.0
2068.0,70396850000.0,73956480000.0,68858160000.0,72521160000.0,49513976000.0
2069.0,69566710000.0,73435390000.0,68350235000.0,71984420000.0,48382235000.0
2070.0,69311770000.0,72991160000.0,68039918000.0,71494940000.0,47437263000.0
2071.0,68220215000.0,72436820000.0,67208120000.0,71436200000.0,46175230000.0
2072.0,67477455000.0,72127150000.0,66303590000.0,70632730000.0,45074833000.0
2073.0,67435786000.0,71647900000.0,65908830000.0,70896890000.0,43832450000.0
2074.0,66390290000.0,71220560000.0,65184010000.0,69792570000.0,42920145000.0
2075.0,65739470000.0,70610610000.0,64814270000.0,69151620000.0,41760320000.0
2076.0,65012036000.0,70146180000.0,63782887000.0,70785860000.0,40708706000.0
2077.0,64260300000.0,69751380000.0,63073624000.0,68365080000.0,39709377000.0
2078.0,63561420000.0,69296030000.0,62215963000.0,68256944000.0,38649315000.0
2079.0,63014355000.0,68614607000.0,61544063000.0,67666924000.0,37601448000.0
2080.0,62150533000.0,68188045000.0,61145805000.0,66931580000.0,36655608000.0
2081.0,61352370000.0,67744076000.0,61077873000.0,66153726000.0,35908063000.0
2082.0,60354680000.0,69142640000.0,59488272000.0,65530180000.0,34880400000.0
2083.0,59380060000.0,67285250000.0,58640912000.0,65011306000.0,33820498000.0
2084.0,58635735000.0,66898956000.0,57946860000.0,64524310000.0,32853762000.0
2085.0,57880867000.0,66819027000.0,56941146000.0,63687037000.0,32195340000.0
2086.0,57014587000.0,66253660000.0,56167182000.0,63719965000.0,31166906000.0
2087.0,56284316000.0,65346560000.0,55106015000.0,62712738000.0,30831456000.0
2088.0,55484146000.0,65090060000.0,54112817000.0,62175680000.0,29387057000.0
2089.0,54293470000.0,64148734000.0,53228343000.0,61927006000.0,28486445000.0
2090.0,53445526000.0,63742050000.0,52318510000.0,61196900000.0,27533345000.0
2091.0,52475167000.0,63666086000.0,52237136000.0,60361146000.0,26968558000.0
2092.0,51581590000.0,62755467000.0,51352474000.0,60122310000.0,25971000000.0
2093.0,50521776000.0,62303780000.0,49866367000.0,59290063000.0,24901409000.0
2094.0,49618596000.0,61920850000.0,49038410000.0,58887504000.0,23949384000.0
2095.0,48804130000.0,61999170000.0,48183226000.0,58062926000.0,23122526000.0
2096.0,47782710000.0,60878324000.0,47332418000.0,57592330000.0,22376045000.0
2097.0,46709506000.0,60451730000.0,46473015000.0,56908902000.0,21471220000.0
2098.0,45561213000.0,59814850000.0,45429404000.0,56214983000.0,20932162000.0
2099.0,44559598000.0,59242260000.0,44409670000.0,55525290000.0,19846818000.0
2100.0,43643110000.0,59279060000.0,43944636000.0,54824970000.0,19041427000.0
