time,MRI-ESM2-0,MPI-ESM1-2-HR,IPSL-CM6A-LR,GFDL-ESM4,UKESM1-0-LL
2000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0
2001.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0
2002.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0
2003.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0
2004.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0
2005.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0
2006.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0
2007.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0
2008.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0
2009.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0
2010.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0
2011.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0
2012.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0
2013.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0
2014.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0
2015.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0
2016.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0
2017.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0
2018.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0
2019.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0
2020.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0
2021.0,87374310000.0,87525240000.0,87553810000.0,88392670000.0,87402410000.0
2022.0,87279600000.0,88410910000.0,87384260000.0,87392895000.0,87151124000.0
2023.0,86908445000.0,88090210000.0,87274620000.0,87248440000.0,86998860000.0
2024.0,86815910000.0,87708900000.0,87748580000.0,87409620000.0,86780460000.0
2025.0,86456690000.0,87173415000.0,87012780000.0,87643480000.0,86373335000.0
2026.0,86177170000.0,86966620000.0,86909624000.0,87110330000.0,86021005000.0
2027.0,85928740000.0,86765990000.0,86928600000.0,86801340000.0,85641230000.0
2028.0,85573650000.0,86581230000.0,86604650000.0,86591280000.0,85459310000.0
2029.0,85288900000.0,86574965000.0,86775720000.0,86403290000.0,84924340000.0
2030.0,85068825000.0,86271720000.0,86372670000.0,86241990000.0,84884150000.0
2031.0,84745500000.0,86177050000.0,86741780000.0,86100100000.0,84264410000.0
2032.0,84228720000.0,86290800000.0,86595220000.0,86135860000.0,83602210000.0
2033.0,84917780000.0,86196660000.0,85848250000.0,85898390000.0,82875920000.0
2034.0,84018610000.0,85735160000.0,85848980000.0,85474340000.0,82319170000.0
2035.0,83324700000.0,86097810000.0,85392360000.0,85164106000.0,81555700000.0
2036.0,82975015000.0,85541340000.0,85060730000.0,85192650000.0,80981524000.0
2037.0,82723130000.0,85499404000.0,84882250000.0,84907580000.0,80258440000.0
2038.0,82166110000.0,85254620000.0,84806930000.0,84656170000.0,79665906000.0
2039.0,82110620000.0,85367900000.0,84580950000.0,84347480000.0,79052080000.0
2040.0,81646230000.0,84866744000.0,84242540000.0,84038140000.0,78069660000.0
2041.0,81166530000.0,85148710000.0,84454646000.0,84218080000.0,77383330000.0
2042.0,80977600000.0,84595250000.0,83902350000.0,83783060000.0,76806470000.0
2043.0,81023760000.0,85080244000.0,83989340000.0,83655524000.0,75947704000.0
2044.0,81042410000.0,84811800000.0,83336980000.0,83662710000.0,74937910000.0
2045.0,79965420000.0,85105510000.0,83284570000.0,82963740000.0,74102270000.0
2046.0,79255570000.0,84425190000.0,83228590000.0,82395630000.0,73156370000.0
2047.0,78575600000.0,83799370000.0,82836810000.0,82577140000.0,72088890000.0
2048.0,78559540000.0,83547080000.0,82270910000.0,81828060000.0,71336200000.0
2049.0,78429810000.0,84066660000.0,81871730000.0,81506520000.0,70497034000.0
2050.0,77614850000.0,83544605000.0,81506976000.0,81175265000.0,69899520000.0
2051.0,77472465000.0,82935960000.0,81275340000.0,80854750000.0,68722246000.0
2052.0,77332480000.0,82680200000.0,80562530000.0,80449600000.0,67797557000.0
2053.0,76475390000.0,82357300000.0,80211780000.0,80277370000.0,66928730000.0
2054.0,75875300000.0,81918680000.0,79967090000.0,79829860000.0,66049880000.0
2055.0,75399790000.0,82892500000.0,79743740000.0,79659730000.0,65037350000.0
2056.0,75451920000.0,81672710000.0,79179874000.0,79513260000.0,64310944000.0
2057.0,74649680000.0,81343185000.0,79212330000.0,78804760000.0,63286518000.0
2058.0,73992720000.0,81064560000.0,78757945000.0,78435990000.0,62409335000.0
2059.0,73596280000.0,81276390000.0,78069630000.0,78147400000.0,61499960000.0
2060.0,73223140000.0,80809850000.0,77593480000.0,78276346000.0,60754866000.0
2061.0,73072290000.0,80386330000.0,77111280000.0,77692790000.0,60171500000.0
2062.0,72726870000.0,79991824000.0,76710500000.0,77340350000.0,59334650000.0
2063.0,71955900000.0,80068530000.0,76265360000.0,77077270000.0,58844360000.0
2064.0,73164670000.0,80022260000.0,75729420000.0,77070980000.0,57912594000.0
2065.0,73067820000.0,79763276000.0,75707460000.0,76414180000.0,57000313000.0
2066.0,72637270000.0,79185970000.0,74808115000.0,76163146000.0,56420217000.0
2067.0,71921160000.0,79466490000.0,74290954000.0,75750230000.0,55456400000.0
2068.0,71493140000.0,79346620000.0,73987465000.0,75410014000.0,54826267000.0
2069.0,70456120000.0,78663260000.0,73463210000.0,75685460000.0,53539017000.0
2070.0,70024520000.0,78345820000.0,72967890000.0,75093050000.0,52613255000.0
2071.0,69917975000.0,78124970000.0,72533610000.0,74817530000.0,51534045000.0
2072.0,69359610000.0,77604760000.0,71810150000.0,74287130000.0,50704085000.0
2073.0,69206340000.0,77438150000.0,71166210000.0,74551665000.0,50133017000.0
2074.0,68516426000.0,77295720000.0,71648070000.0,73827770000.0,49342840000.0
2075.0,68094490000.0,76879200000.0,70627780000.0,73568800000.0,48493208000.0
2076.0,70195940000.0,76545020000.0,69945680000.0,73192410000.0,47458950000.0
2077.0,68033503000.0,77589330000.0,69624136000.0,72965360000.0,46700392000.0
2078.0,72090780000.0,76603500000.0,69088715000.0,72679825000.0,46196650000.0
2079.0,68195324000.0,76048515000.0,69066140000.0,72537235000.0,45382083000.0
2080.0,68360438000.0,75650695000.0,69847120000.0,72096375000.0,44490777000.0
2081.0,68158267000.0,75762614000.0,68070007000.0,72101960000.0,43680220000.0
2082.0,66846482000.0,75951915000.0,68230110000.0,71564750000.0,43004830000.0
2083.0,66016050000.0,74989490000.0,67229995000.0,71014030000.0,42178974000.0
2084.0,65970550000.0,74741040000.0,66723430000.0,70708930000.0,41526186000.0
2085.0,66138280000.0,74297205000.0,66705920000.0,70951460000.0,40967610000.0
2086.0,67118020000.0,74120135000.0,65812980000.0,70186130000.0,40534614000.0
2087.0,65578540000.0,74293950000.0,65404396000.0,70359130000.0,39519015000.0
2088.0,64772880000.0,73497550000.0,65162047000.0,69620195000.0,38778640000.0
2089.0,65551810000.0,73237510000.0,64550494000.0,70850300000.0,38204640000.0
2090.0,64513760000.0,74370200000.0,63916343000.0,69429810000.0,37556570000.0
2091.0,64275878000.0,73085485000.0,63646310000.0,69624720000.0,37106733000.0
2092.0,64561934000.0,72740440000.0,64022163000.0,68395766000.0,36476682000.0
2093.0,65377276000.0,72142954000.0,62988132000.0,68385714000.0,35845984000.0
2094.0,64205586000.0,73644550000.0,64542740000.0,68334207000.0,35582403000.0
2095.0,67686334000.0,71789800000.0,62244580000.0,67906220000.0,35057127000.0
2096.0,64369398000.0,72349975000.0,61385904000.0,67689927000.0,34330770000.0
2097.0,63491944000.0,71397780000.0,60844860000.0,67371250000.0,33735780000.0
2098.0,63297884000.0,71245500000.0,60550816000.0,67036380000.0,33163014000.0
2099.0,62500655000.0,70759465000.0,60413120000.0,67251163000.0,32707774000.0
2100.0,62627013000.0,70954430000.0,59895427000.0,66637824000.0,32288209000.0
