time,GFDL-CM3,GISS-E2-R,CCSM4,CSIRO-MK3-6-0,IPSL-CM5A-LR,GFDL-ESM2G,NORESM1-M,CESM1-CAM5
2000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0
2001.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0
2002.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0
2003.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0
2004.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0
2005.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0
2006.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0
2007.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0
2008.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0
2009.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0
2010.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0
2011.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0
2012.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0
2013.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0
2014.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0
2015.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0
2016.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0
2017.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0
2018.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0
2019.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0
2020.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0
