time,GFDL-CM3,GISS-E2-R,CANESM2,CCSM4,CSIRO-MK3-6-0,IPSL-CM5A-LR,MPI-ESM-LR,NORESM1-M,GFDL-ESM2G,CNRM-CM5
2000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0
2001.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0
2002.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0
2003.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0
2004.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0
2005.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0
2006.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0
2007.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0
2008.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0
2009.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0
2010.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0
2011.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0
2012.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0
