time,MRI-ESM2-0,UKESM1-0-LL,IPSL-CM6A-LR,GFDL-ESM4,MPI-ESM1-2-HR
2000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0
2001.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0
2002.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0
2003.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0
2004.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0
2005.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0
2006.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0
2007.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0
2008.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0
2009.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0
2010.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0
2011.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0
2012.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0
2013.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0
2014.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0
2015.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0
2016.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0
2017.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0
2018.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0
2019.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0
2020.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0
2021.0,1919865500.0,1915151100.0,1966285300.0,1933532800.0,2123958100.0
2022.0,1879749500.0,1920699400.0,1887970600.0,2009230300.0,2023144600.0
2023.0,1856387300.0,1881587500.0,1881867300.0,1913938600.0,1936616700.0
2024.0,1813615400.0,1846296300.0,1819598200.0,1871352000.0,1904913700.0
2025.0,1772376700.0,1792960800.0,1799592600.0,1859008000.0,1846960400.0
2026.0,1722734800.0,1750423200.0,1773868900.0,1830644100.0,1923353600.0
2027.0,1679727200.0,1675365900.0,1736506500.0,1776256800.0,1808574300.0
2028.0,1625302400.0,1654806900.0,1706580600.0,1754177700.0,1810627000.0
2029.0,1574699100.0,1592859000.0,1687012700.0,1707668600.0,1756159600.0
2030.0,1542999800.0,1513504900.0,1630834700.0,1687430400.0,1743104500.0
2031.0,1429792900.0,1437503700.0,1564920600.0,1788199300.0,1702904200.0
2032.0,1369831400.0,1376192500.0,1675539300.0,1649793000.0,1692885100.0
2033.0,1291654800.0,1304313700.0,1505339800.0,1665563600.0,1657919900.0
2034.0,1254185200.0,1252490600.0,1429261800.0,1636064300.0,1612992000.0
