time,GFDL-ESM2G,CNRM-CM5,GISS-E2-R,GFDL-CM3,NORESM1-M,CANESM2,IPSL-CM5A-LR,CSIRO-MK3-6-0,MPI-ESM-LR,CCSM4
2000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0
2001.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0
2002.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0
2003.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0
2004.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0
2005.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0
2006.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0
2007.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0
2008.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0
2009.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0
2010.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0
2011.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0
2012.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0
2013.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0
2014.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0
2015.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0
2016.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0
2017.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0
2018.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0
2019.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0
2020.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0
2021.0,40352215000.0,40347914000.0,40331903000.0,40317700000.0,40341647000.0,40365450000.0,40337244000.0,40412447000.0,40416020000.0,40411935000.0
2022.0,40297157000.0,40285938000.0,40281380000.0,40253190000.0,40289490000.0,40315064000.0,40311510000.0,40381900000.0,40397900000.0,40373166000.0
2023.0,40315630000.0,40239813000.0,40304770000.0,40170610000.0,40243245000.0,40321030000.0,40330400000.0,40333337000.0,40368534000.0,40370725000.0
2024.0,40256110000.0,40192850000.0,40203952000.0,40100150000.0,40211400000.0,40288678000.0,40229155000.0,40322030000.0,40344207000.0,40448012000.0
2025.0,40234447000.0,40134996000.0,40153360000.0,40021290000.0,40168395000.0,40203272000.0,40345280000.0,40242610000.0,40264217000.0,40392140000.0
2026.0,40171684000.0,40081540000.0,40117887000.0,39939432000.0,40116556000.0,40200393000.0,40196145000.0,40185532000.0,40279544000.0,40358090000.0
2027.0,40150524000.0,40041440000.0,40075830000.0,39861064000.0,40089063000.0,40136420000.0,40154776000.0,40204296000.0,40182900000.0,40255406000.0
2028.0,40119747000.0,39981363000.0,40068243000.0,39785630000.0,40030245000.0,40104750000.0,40072946000.0,40136425000.0,40299565000.0,40208437000.0
2029.0,40041427000.0,39938620000.0,40096764000.0,39681130000.0,39964630000.0,40032760000.0,40017416000.0,40213000000.0,40136230000.0,40134380000.0
2030.0,40066430000.0,39854960000.0,39961584000.0,39591170000.0,39881945000.0,39967478000.0,39941796000.0,40108490000.0,40222986000.0,40202050000.0
2031.0,40012423000.0,39806804000.0,39899124000.0,39468536000.0,39821810000.0,39917826000.0,39905825000.0,40021475000.0,40065590000.0,40067637000.0
2032.0,40003686000.0,39797395000.0,39832105000.0,39359984000.0,39747387000.0,39885500000.0,39851217000.0,39971185000.0,40037540000.0,40023240000.0
2033.0,39942975000.0,39671136000.0,39769797000.0,39239848000.0,39668530000.0,39826410000.0,39840700000.0,39912403000.0,39968470000.0,39979680000.0
2034.0,39897743000.0,39571292000.0,39676064000.0,39137145000.0,39583200000.0,39741362000.0,39728017000.0,39864230000.0,39918944000.0,39921467000.0
2035.0,39797640000.0,39550750000.0,39576630000.0,39010980000.0,39493046000.0,39669840000.0,39666758000.0,39803613000.0,39871530000.0,39851830000.0
2036.0,39776645000.0,39500330000.0,39509496000.0,38868365000.0,39411753000.0,39625613000.0,39576330000.0,39796175000.0,39831690000.0,39953154000.0
2037.0,39721234000.0,39375000000.0,39420924000.0,38696520000.0,39304370000.0,39531094000.0,39489176000.0,39710290000.0,39790510000.0,39747564000.0
2038.0,39661253000.0,39314563000.0,39338480000.0,38498406000.0,39198460000.0,39471895000.0,39414600000.0,39655612000.0,39701295000.0,39654937000.0
