time,CNRM-CM5,GISS-E2-R,GFDL-CM3,CESM1-CAM5,GFDL-ESM2G,CCSM4,MPI-ESM-LR,NORESM1-M,CANESM2,CSIRO-MK3-6-0,IPSL-CM5A-LR
2000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0
2001.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0
2002.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0
2003.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0
2004.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0
2005.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0
2006.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0
2007.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0
2008.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0
2009.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0
2010.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0
2011.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0
2012.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0
2013.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0
2014.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0
2015.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0
2016.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0
2017.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0
2018.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0
2019.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0
2020.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0
2021.0,40734573000.0,40343090000.0,40331887000.0,40320487000.0,40398172000.0,40566350000.0,40378016000.0,40345050000.0,40398450000.0,40379412000.0,40344210000.0
2022.0,40368746000.0,40283290000.0,40280207000.0,40238764000.0,40446070000.0,40575963000.0,40347587000.0,40319000000.0,40308040000.0,40315703000.0,40275730000.0
2023.0,40338153000.0,40235010000.0,40218800000.0,40181432000.0,40368170000.0,40385430000.0,40291983000.0,40258980000.0,40259453000.0,40300683000.0,40224480000.0
2024.0,40279896000.0,40236855000.0,40154450000.0,40119243000.0,40384147000.0,40427586000.0,40249410000.0,40197620000.0,40217526000.0,40237826000.0,40152950000.0
2025.0,40249380000.0,40157090000.0,40096690000.0,40040215000.0,40320446000.0,40371294000.0,40270510000.0,40143622000.0,40169968000.0,40206260000.0,40099120000.0
2026.0,40210120000.0,40253645000.0,40019780000.0,39948743000.0,40404310000.0,40291963000.0,40267805000.0,40096104000.0,40120357000.0,40146480000.0,40075120000.0
2027.0,40656230000.0,40178823000.0,39953330000.0,39890616000.0,40453382000.0,40279314000.0,40375206000.0,40066180000.0,40116290000.0,40096145000.0,40033080000.0
2028.0,40357958000.0,40097608000.0,39863198000.0,39846457000.0,40366793000.0,40215605000.0,40216445000.0,40000578000.0,40069554000.0,40105886000.0,39923000000.0
2029.0,40301890000.0,40027100000.0,39779620000.0,39763685000.0,40318430000.0,40416817000.0,40113283000.0,39947735000.0,40011174000.0,40011170000.0,39853162000.0
2030.0,40395846000.0,39979176000.0,39671110000.0,39674225000.0,40223556000.0,40241295000.0,40076460000.0,39894700000.0,39963193000.0,39952847000.0,39783980000.0
2031.0,40268857000.0,40122930000.0,39551060000.0,39622582000.0,40168047000.0,40268673000.0,40139700000.0,39883387000.0,39906480000.0,39912313000.0,39701484000.0
2032.0,40164233000.0,39896314000.0,39432606000.0,39552410000.0,40210160000.0,40129600000.0,39991562000.0,39808848000.0,39849968000.0,39859847000.0,39612280000.0
2033.0,40155537000.0,39862112000.0,39327932000.0,39410635000.0,40256930000.0,40058335000.0,39926020000.0,39755166000.0,39789690000.0,39807398000.0,39524774000.0
2034.0,40108480000.0,39797220000.0,39211620000.0,39338287000.0,40142963000.0,40042330000.0,39919374000.0,39721950000.0,39729357000.0,39755555000.0,39423840000.0
2035.0,40052056000.0,39784270000.0,39080360000.0,39217025000.0,40137930000.0,39965147000.0,39828980000.0,39599530000.0,39674890000.0,39810707000.0,39360184000.0
2036.0,40301007000.0,39701940000.0,38914605000.0,39089963000.0,40074360000.0,39933317000.0,39781913000.0,39501050000.0,39626810000.0,39672970000.0,39232848000.0
2037.0,40121170000.0,39672290000.0,38737854000.0,38994040000.0,40097020000.0,39888966000.0,39778402000.0,39427117000.0,39598985000.0,39596843000.0,39118578000.0
2038.0,40162636000.0,39846110000.0,38574240000.0,38874260000.0,40024093000.0,39816900000.0,39681663000.0,39345890000.0,39494926000.0,39720890000.0,39009534000.0
2039.0,40119333000.0,39633998000.0,38375866000.0,38752772000.0,39950820000.0,39835950000.0,39600165000.0,39264700000.0,39479845000.0,39563084000.0,38867400000.0
2040.0,39930343000.0,39516918000.0,38119520000.0,38624158000.0,39926088000.0,39720690000.0,39533404000.0,39144747000.0,39377060000.0,39471250000.0,38751527000.0
2041.0,39891546000.0,39442310000.0,37871220000.0,38576554000.0,39854440000.0,39656700000.0,39491570000.0,39045410000.0,39357420000.0,39402960000.0,38593740000.0
2042.0,39796670000.0,39341000000.0,37594935000.0,38437800000.0,39793220000.0,39634735000.0,39499010000.0,38906294000.0,39518183000.0,39324890000.0,38499545000.0
2043.0,39767510000.0,39325655000.0,37376344000.0,38259474000.0,39752327000.0,39563882000.0,39414866000.0,38792450000.0,39257010000.0,39268410000.0,38383714000.0
2044.0,39681987000.0,39236960000.0,37102354000.0,38115373000.0,39677490000.0,39502795000.0,39337340000.0,38662560000.0,39175600000.0,39194444000.0,38254840000.0
2045.0,39608906000.0,39131870000.0,36777136000.0,37953335000.0,39637488000.0,39421610000.0,39199085000.0,38512824000.0,39062884000.0,39125398000.0,38076043000.0
2046.0,39737504000.0,39183360000.0,36453050000.0,37816290000.0,39595320000.0,39401020000.0,39141368000.0,38396910000.0,38987653000.0,39045042000.0,37897290000.0
2047.0,39576060000.0,39016972000.0,36127584000.0,37623534000.0,39632527000.0,39363154000.0,39101540000.0,38274195000.0,38893023000.0,38964494000.0,37744810000.0
2048.0,39886602000.0,38889950000.0,35761450000.0,37440954000.0,39475737000.0,39283750000.0,38992957000.0,38140084000.0,38802390000.0,38933260000.0,37567615000.0
2049.0,39644205000.0,38947080000.0,35407434000.0,37325464000.0,39432983000.0,39384650000.0,38968836000.0,38030877000.0,38761943000.0,38816100000.0,37423632000.0
2050.0,39412752000.0,38764850000.0,35027436000.0,37121077000.0,39376400000.0,39338963000.0,38849230000.0,37837490000.0,38639636000.0,38749180000.0,37148260000.0
2051.0,39510684000.0,38606234000.0,34646487000.0,36895908000.0,39324566000.0,39206160000.0,38732964000.0,37662085000.0,38556197000.0,38650880000.0,36983353000.0
2052.0,39335002000.0,38710374000.0,34332312000.0,36696494000.0,39244600000.0,39100977000.0,38644736000.0,37467197000.0,38461800000.0,38539882000.0,36723490000.0
2053.0,39213130000.0,38629250000.0,33939140000.0,36481500000.0,39239545000.0,38973624000.0,38516280000.0,37385683000.0,38356100000.0,38448250000.0,36519735000.0
2054.0,39156638000.0,38557065000.0,33490172000.0,36212180000.0,39159750000.0,38950900000.0,38421107000.0,37200790000.0,38233465000.0,38338695000.0,36288170000.0
2055.0,39080792000.0,38433137000.0,32998679000.0,35989330000.0,39152510000.0,38846720000.0,38314590000.0,36983923000.0,38106970000.0,38245708000.0,36079340000.0
2056.0,38964480000.0,38307807000.0,32607500000.0,35666900000.0,39085990000.0,38897340000.0,38204944000.0,36824044000.0,37990994000.0,38183555000.0,35882033000.0
2057.0,38930657000.0,38267527000.0,32082570000.0,35367535000.0,38974060000.0,38888645000.0,38228480000.0,36662923000.0,37869550000.0,38085480000.0,35672703000.0
2058.0,38821876000.0,38097592000.0,31697992000.0,35043893000.0,38911963000.0,38779040000.0,38114796000.0,36462744000.0,37751110000.0,37990425000.0,35358700000.0
2059.0,38697968000.0,37989028000.0,31285815000.0,34735325000.0,38797054000.0,38690468000.0,37970944000.0,36230865000.0,37609177000.0,37880517000.0,35128840000.0
2060.0,38604255000.0,37850653000.0,30926316000.0,34467020000.0,38837780000.0,38563828000.0,37851496000.0,36055142000.0,37481992000.0,37732106000.0,34814450000.0
2061.0,38500127000.0,37784810000.0,30530701000.0,34159944000.0,38677190000.0,38507467000.0,37766410000.0,35822014000.0,37387325000.0,37677750000.0,34609586000.0
2062.0,38375375000.0,37689160000.0,30104656000.0,33856082000.0,38624610000.0,38441190000.0,37614370000.0,35556753000.0,37242913000.0,37528460000.0,34327255000.0
2063.0,38261830000.0,37562310000.0,29605593000.0,33534845000.0,38510090000.0,38392185000.0,37504274000.0,35321700000.0,37132464000.0,37413880000.0,34096840000.0
2064.0,38107062000.0,37501784000.0,29156650000.0,33148928000.0,38410007000.0,38247110000.0,37350310000.0,35139064000.0,37021020000.0,37318054000.0,33905365000.0
2065.0,37985956000.0,37349863000.0,28737358000.0,32735654000.0,38351815000.0,38178950000.0,37378440000.0,34877080000.0,36859167000.0,37188293000.0,33631457000.0
2066.0,37907907000.0,37197760000.0,28310178000.0,32405594000.0,38304480000.0,38076432000.0,37162240000.0,34615180000.0,36695740000.0,37047060000.0,33384856000.0
2067.0,37765816000.0,37075530000.0,27906302000.0,32097343000.0,38608620000.0,37991510000.0,36993950000.0,34403200000.0,36560015000.0,36916855000.0,33052273000.0
2068.0,37712320000.0,37098336000.0,27463887000.0,31804686000.0,38209982000.0,38019682000.0,36854206000.0,34179650000.0,36441494000.0,36846506000.0,32719700000.0
2069.0,37602860000.0,36981953000.0,27029076000.0,31498140000.0,38137053000.0,37917786000.0,36814615000.0,34023352000.0,36315726000.0,36766446000.0,32498900000.0
2070.0,37595623000.0,37039340000.0,26579966000.0,31245066000.0,38072750000.0,37786390000.0,36643030000.0,33781957000.0,36061487000.0,36626272000.0,32199856000.0
2071.0,37387014000.0,37149966000.0,26168482000.0,30982253000.0,38026973000.0,37647500000.0,36513133000.0,33540670000.0,35882504000.0,36493680000.0,31851477000.0
2072.0,37279130000.0,36820857000.0,25766940000.0,30591676000.0,38114700000.0,37515223000.0,36339986000.0,33273012000.0,35805385000.0,36351860000.0,31547730000.0
2073.0,37113893000.0,36668535000.0,25352882000.0,30333889000.0,37912890000.0,37408430000.0,36200223000.0,33048334000.0,35606760000.0,36255440000.0,31222989000.0
2074.0,37050397000.0,37902557000.0,25016758000.0,30056686000.0,37800247000.0,37290336000.0,36057220000.0,32948190000.0,35423840000.0,36112080000.0,30985392000.0
2075.0,36999692000.0,37189330000.0,24559698000.0,29864327000.0,37980787000.0,37216453000.0,35913855000.0,32670050000.0,35244507000.0,35977523000.0,30681467000.0
