time,CANESM2,CESM1-CAM5,MPI-ESM-LR
2000.0,51698606000.0,51698606000.0,51698606000.0
2001.0,51718270000.0,51718270000.0,51718270000.0
2002.0,51699010000.0,51699010000.0,51699010000.0
2003.0,51678550000.0,51678550000.0,51678550000.0
2004.0,51658387000.0,51658387000.0,51658387000.0
2005.0,51747754000.0,51747754000.0,51747754000.0
2006.0,51633394000.0,51633394000.0,51633394000.0
2007.0,51634340000.0,51634340000.0,51634340000.0
2008.0,51698680000.0,51698680000.0,51698680000.0
2009.0,52219974000.0,52219974000.0,52219974000.0
2010.0,51651250000.0,51651250000.0,51651250000.0
2011.0,51634115000.0,51634115000.0,51634115000.0
2012.0,51669510000.0,51669510000.0,51669510000.0
2013.0,51613540000.0,51613540000.0,51613540000.0
2014.0,51588130000.0,51588130000.0,51588130000.0
2015.0,51609880000.0,51609880000.0,51609880000.0
2016.0,51604218000.0,51604218000.0,51604218000.0
2017.0,51556225000.0,51556225000.0,51556225000.0
2018.0,51552620000.0,51552620000.0,51552620000.0
2019.0,51537334000.0,51537334000.0,51537334000.0
2020.0,51519840000.0,51519840000.0,51519840000.0
2021.0,51500798000.0,51484635000.0,51502117000.0
2022.0,51458855000.0,51471462000.0,51469370000.0
2023.0,51437277000.0,51414577000.0,51442663000.0
2024.0,51411894000.0,51399640000.0,51402400000.0
2025.0,51368130000.0,51364766000.0,51386712000.0
2026.0,51358600000.0,51342934000.0,51361595000.0
2027.0,51324620000.0,51321823000.0,51322794000.0
2028.0,51570495000.0,51279684000.0,51292488000.0
2029.0,51306620000.0,51259460000.0,51265233000.0
2030.0,51298910000.0,51235170000.0,51245950000.0
2031.0,51287520000.0,51216888000.0,51215282000.0
2032.0,51224980000.0,51202613000.0,51196560000.0
2033.0,51202710000.0,51161060000.0,51183358000.0
2034.0,51186078000.0,51099130000.0,51162290000.0
2035.0,51142670000.0,51081314000.0,51118110000.0
2036.0,51111490000.0,51039048000.0,51113538000.0
2037.0,51090436000.0,50972690000.0,51074860000.0
2038.0,51062350000.0,50917093000.0,51044150000.0
2039.0,51032203000.0,50875826000.0,51007210000.0
2040.0,51016536000.0,50808308000.0,50933570000.0
2041.0,50961860000.0,50725454000.0,50915050000.0
2042.0,50919920000.0,50649965000.0,50850615000.0
2043.0,50860910000.0,50579706000.0,50816897000.0
2044.0,50817890000.0,50490335000.0,50768814000.0
2045.0,50754617000.0,50437476000.0,50726003000.0
2046.0,50719003000.0,50363716000.0,50682393000.0
2047.0,50668544000.0,50277450000.0,50625307000.0
2048.0,50639184000.0,50205660000.0,50545880000.0
2049.0,50590896000.0,50135347000.0,50495037000.0
2050.0,50539580000.0,50046534000.0,50431615000.0
2051.0,50464653000.0,49968624000.0,50352100000.0
2052.0,50403110000.0,49826558000.0,50302403000.0
2053.0,50335460000.0,49793524000.0,50244680000.0
2054.0,50276630000.0,49678737000.0,50189750000.0
2055.0,50240110000.0,49584513000.0,50143977000.0
2056.0,50150576000.0,49519067000.0,50099810000.0
2057.0,50077920000.0,49451807000.0,50018120000.0
2058.0,49959367000.0,49328615000.0,49949233000.0
2059.0,49912710000.0,49237795000.0,49899622000.0
2060.0,49834635000.0,49111196000.0,49827824000.0
2061.0,49775340000.0,48959627000.0,49757800000.0
2062.0,49722253000.0,48860094000.0,49715864000.0
2063.0,49646186000.0,48738100000.0,49652110000.0
2064.0,49554874000.0,48596423000.0,49587130000.0
2065.0,49475318000.0,48491078000.0,49498980000.0
2066.0,49362930000.0,48386175000.0,49400050000.0
2067.0,49297700000.0,48252826000.0,49353580000.0
2068.0,49217913000.0,48165765000.0,49286340000.0
2069.0,49107034000.0,48097886000.0,49230336000.0
2070.0,49002240000.0,47957420000.0,49184230000.0
2071.0,48915760000.0,47827620000.0,49103470000.0
2072.0,48840420000.0,47717704000.0,49039020000.0
2073.0,48731830000.0,47583540000.0,48973760000.0
2074.0,48695510000.0,47457880000.0,48909136000.0
2075.0,48613290000.0,47330350000.0,48846450000.0
2076.0,48528916000.0,47141850000.0,48734773000.0
2077.0,48476713000.0,47049510000.0,48630694000.0
2078.0,48345702000.0,46883828000.0,48549880000.0
2079.0,48321597000.0,46765187000.0,48489370000.0
2080.0,48174363000.0,46685820000.0,48398410000.0
2081.0,48084763000.0,46562443000.0,48300745000.0
2082.0,47996527000.0,46471107000.0,48217436000.0
2083.0,47907510000.0,46367920000.0,48130320000.0
2084.0,47859565000.0,46186140000.0,48054227000.0
2085.0,47759913000.0,46044766000.0,48036045000.0
2086.0,47692075000.0,45918810000.0,47931580000.0
2087.0,47598776000.0,45844103000.0,47844536000.0
2088.0,47503970000.0,45713162000.0,47791874000.0
2089.0,47336964000.0,45641753000.0,47719440000.0
2090.0,47212810000.0,45691974000.0,47660274000.0
2091.0,47102810000.0,45422340000.0,47569723000.0
2092.0,47068475000.0,45334483000.0,47520030000.0
2093.0,46905254000.0,45204095000.0,47403045000.0
2094.0,46793023000.0,45061600000.0,47324840000.0
2095.0,46695485000.0,44873503000.0,47226840000.0
2096.0,46626705000.0,44763767000.0,47129395000.0
2097.0,46516314000.0,44645280000.0,47020250000.0
2098.0,46442210000.0,44518777000.0,46930833000.0
2099.0,46315913000.0,44402620000.0,46837770000.0
2100.0,46185870000.0,44249997000.0,46732734000.0
2101.0,46094266000.0,44132504000.0,46642385000.0
2102.0,46035260000.0,43970150000.0,46493230000.0
2103.0,45944020000.0,43729020000.0,46429650000.0
2104.0,45854320000.0,43548463000.0,46304980000.0
2105.0,45782884000.0,43428004000.0,46223760000.0
2106.0,45625393000.0,43327762000.0,46105010000.0
2107.0,45445960000.0,43201130000.0,45993920000.0
2108.0,45383365000.0,43084157000.0,45915628000.0
2109.0,45285822000.0,42880150000.0,45862870000.0
2110.0,45175850000.0,42747347000.0,45793698000.0
2111.0,45086540000.0,42583040000.0,45717560000.0
2112.0,45060493000.0,42456390000.0,45628420000.0
2113.0,44862830000.0,42340925000.0,45565575000.0
2114.0,44714725000.0,42238240000.0,45456950000.0
2115.0,44670992000.0,42114585000.0,45387596000.0
2116.0,44490162000.0,41938090000.0,45265700000.0
2117.0,44393730000.0,41832380000.0,45141844000.0
2118.0,44288635000.0,41636856000.0,44991950000.0
2119.0,44220002000.0,41547596000.0,44969726000.0
2120.0,44113120000.0,41348514000.0,44816024000.0
2121.0,43970994000.0,41219125000.0,44733338000.0
2122.0,43843772000.0,41080947000.0,44636353000.0
2123.0,43704545000.0,40962510000.0,44541555000.0
2124.0,43560210000.0,40844075000.0,44446350000.0
2125.0,43422634000.0,40629610000.0,44334740000.0
2126.0,43305380000.0,40489566000.0,44243320000.0
2127.0,43116500000.0,40393240000.0,44128660000.0
2128.0,42989294000.0,40248810000.0,43941687000.0
2129.0,42805020000.0,40089540000.0,43860955000.0
2130.0,42668420000.0,39940050000.0,43755760000.0
2131.0,42543374000.0,39815467000.0,43667500000.0
2132.0,42439352000.0,39712846000.0,43567886000.0
2133.0,42289860000.0,39611080000.0,43534385000.0
2134.0,42159760000.0,39468823000.0,43437416000.0
2135.0,42162115000.0,39236067000.0,43358523000.0
2136.0,41963864000.0,39087997000.0,43254305000.0
2137.0,41853640000.0,38919074000.0,43125207000.0
2138.0,41770635000.0,38825850000.0,43017500000.0
2139.0,41667633000.0,38679695000.0,42927760000.0
2140.0,41566650000.0,38490000000.0,42873870000.0
2141.0,41380372000.0,38329623000.0,42786800000.0
2142.0,41313653000.0,38203924000.0,42690460000.0
2143.0,41380647000.0,38024864000.0,42573930000.0
2144.0,41218320000.0,37900104000.0,42522825000.0
2145.0,41047134000.0,37770420000.0,42405143000.0
2146.0,40944697000.0,37629350000.0,42287333000.0
