time,MRI-ESM2-0,CESM2-WACCM,IPSL-CM6A-LR,ACCESS-ESM1-5,ACCESS-CM2,CANESM5
2000.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0
2001.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0
2002.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0
2003.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0
2004.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0
2005.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0
2006.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0
2007.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0
2008.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0
2009.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0
2010.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0
2011.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0
2012.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0
2013.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0
2014.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0
2015.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0
2016.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0
2017.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0
2018.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0
2019.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0
2020.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0
2021.0,1091189200.0,1106166400.0,1106966400.0,1093453200.0,1107307100.0,1104320000.0
2022.0,1105262600.0,1107385000.0,1116961200.0,1084000600.0,1091390800.0,1091925200.0
2023.0,1076836900.0,1091457500.0,1094703000.0,1070390100.0,1078102900.0,1077752000.0
2024.0,1068004700.0,1083204900.0,1077670500.0,1052803300.0,1069984060.0,1058656400.0
2025.0,1094584600.0,1073766400.0,1060911500.0,1037474560.0,1052130800.0,1039806300.0
2026.0,1059803970.0,1092385700.0,1045160260.0,1017248000.0,1043903360.0,1014753400.0
2027.0,1040108400.0,1065507500.0,1041613440.0,1002657340.0,1028030700.0,994874300.0
2028.0,1091729300.0,1050592700.0,1030059840.0,990492600.0,1020293400.0,969993600.0
2029.0,1047017660.0,1041915500.0,1015528400.0,980494850.0,1004434370.0,942168450.0
2030.0,1024606340.0,1029924540.0,1007327100.0,978237800.0,991867140.0,916521200.0
2031.0,1016345500.0,1026237400.0,993022600.0,1003515400.0,1017615040.0,914421760.0
2032.0,1009883460.0,1014065300.0,982336500.0,959627840.0,984501400.0,890824640.0
2033.0,1031975740.0,1003559940.0,971063940.0,947569540.0,962612300.0,865995500.0
2034.0,998332900.0,985636300.0,959767200.0,935595100.0,956173100.0,840495000.0
2035.0,988092350.0,982428600.0,959097500.0,924266900.0,932338800.0,820962300.0
2036.0,993487200.0,964093630.0,938812540.0,911570200.0,912713100.0,806984060.0
2037.0,1004626100.0,948216600.0,915468700.0,900813700.0,900430500.0,793431300.0
2038.0,990473900.0,939352200.0,894300800.0,890399170.0,885431900.0,767473600.0
2039.0,975996400.0,925405700.0,874217800.0,922622660.0,873868200.0,746359500.0
2040.0,967395000.0,897522600.0,853531300.0,896025300.0,850744600.0,724126000.0
2041.0,984604000.0,877853760.0,839042940.0,877195140.0,830145400.0,714638140.0
2042.0,960203300.0,863881700.0,821184100.0,855468400.0,809212000.0,697273200.0
2043.0,961571700.0,841832800.0,802062300.0,840899600.0,788988400.0,682797100.0
2044.0,951718500.0,819014300.0,786225150.0,830504500.0,773426000.0,676305860.0
2045.0,933710400.0,789234240.0,771686140.0,820194050.0,749712600.0,663000400.0
2046.0,912703400.0,778943040.0,755055000.0,809866900.0,736043700.0,647551000.0
2047.0,904008770.0,752344200.0,730924300.0,800587100.0,715546200.0,624597000.0
2048.0,890278850.0,733121900.0,708017900.0,784052500.0,698058000.0,617143200.0
2049.0,864241400.0,710668800.0,682980600.0,770323260.0,680672000.0,598347900.0
2050.0,842366660.0,697174100.0,663207600.0,757781500.0,662553600.0,576078900.0
2051.0,827194200.0,673823500.0,650406460.0,740433860.0,644907840.0,561378500.0
2052.0,789339460.0,652326340.0,634327100.0,712568770.0,629513200.0,542902600.0
2053.0,754707000.0,636671800.0,612713100.0,699954100.0,615005440.0,524901340.0
2054.0,743547200.0,617728000.0,595001540.0,676500600.0,603616060.0,511755360.0
2055.0,715996540.0,596222100.0,582380200.0,656615600.0,583002240.0,496927700.0
2056.0,695027800.0,579823040.0,562055900.0,638797600.0,563971000.0,486248960.0
2057.0,674112400.0,567490560.0,544349100.0,610438500.0,538453440.0,476815300.0
2058.0,659423740.0,549894500.0,527624600.0,593873400.0,524531520.0,463285020.0
2059.0,639643500.0,531012500.0,518495900.0,581875840.0,513625730.0,448862720.0
2060.0,628254460.0,513410530.0,498573280.0,567538800.0,502890620.0,436498620.0
