time,NORESM2-MM,INM-CM5-0,ACCESS-CM2,CESM2-WACCM,GFDL-ESM4,CANESM5,ACCESS-ESM1-5,MPI-ESM1-2-HR,IPSL-CM6A-LR,FGOALS-F3-L,CESM2,CMCC-CM2-SR5,MRI-ESM2-0,BCC-CSM2-MR,INM-CM4-8,EC-EARTH3-VEG,EC-EARTH3,CAMS-CSM1-0,TAIESM1
2000.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0
2001.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0
2002.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0
2003.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0
2004.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0
2005.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0
2006.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0
2007.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0
2008.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0
2009.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0
2010.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0
2011.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0
2012.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0
2013.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0
2014.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0
2015.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0
2016.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0
2017.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0
2018.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0
2019.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0
2020.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0
2021.0,1102191200.0,1091326100.0,1092040400.0,1107860900.0,1095141800.0,1093120900.0,1093862400.0,1093744400.0,1090110600.0,1090197800.0,1090409700.0,1099144400.0,1075408800.0,1091520300.0,1092665500.0,1100128500.0,1089712900.0,1110512100.0,1096868100.0
2022.0,1080739200.0,1080683100.0,1081208400.0,1094238300.0,1076487000.0,1080146200.0,1079023900.0,1084144900.0,1093806200.0,1081628800.0,1077045800.0,1091122700.0,1067548800.0,1076547700.0,1085478500.0,1092950000.0,1083840500.0,1092209500.0,1084454100.0
2023.0,1068823360.0,1064107000.0,1066102700.0,1080198900.0,1064116800.0,1073002600.0,1056540300.0,1134383100.0,1076418700.0,1057325950.0,1063194050.0,1081883300.0,1043618700.0,1047111600.0,1079358300.0,1083686800.0,1067425540.0,1083256700.0,1071109060.0
2024.0,1053509500.0,1038989060.0,1054640640.0,1101148400.0,1040768640.0,1053872300.0,1023648400.0,1073140500.0,1061276500.0,1036447100.0,1044601200.0,1064775940.0,1024900100.0,1027949000.0,1065224960.0,1071171700.0,1057435600.0,1070584640.0,1078302800.0
2025.0,1032777100.0,1019408640.0,1016211600.0,1060871400.0,1026485000.0,1036129200.0,993385340.0,1059422660.0,1040964100.0,1018629400.0,1025012740.0,1048973630.0,1000548000.0,1004577000.0,1052024800.0,1052687600.0,1038797800.0,1056418700.0,1054942460.0
2026.0,1023682000.0,997331140.0,979224900.0,1047541440.0,1008383100.0,1023333200.0,955535800.0,1049968060.0,1037765700.0,1006088200.0,1012134660.0,1036192100.0,975703740.0,974155140.0,1029111500.0,1034906200.0,1028452350.0,1037417500.0,1026546200.0
2027.0,996004000.0,974934400.0,956319100.0,1033324300.0,997056400.0,1014728800.0,928611100.0,1066503230.0,1023024600.0,978947460.0,988119040.0,1012255400.0,953198800.0,944186700.0,1003552640.0,1008869000.0,1007843460.0,1026886000.0,1006480800.0
2028.0,968486400.0,956912640.0,941583200.0,1012268100.0,978842700.0,979930300.0,904202200.0,1117156600.0,1016070600.0,957886000.0,962816900.0,990115460.0,926061950.0,935984830.0,972981950.0,992342600.0,978521540.0,1032253950.0,990987140.0
2029.0,942435700.0,947142140.0,909872700.0,987526500.0,962418700.0,962786050.0,883340860.0,1050662800.0,990292000.0,942890430.0,934107700.0,968170400.0,893916160.0,898541800.0,943563260.0,995528640.0,1016599100.0,1009708700.0,978838500.0
2030.0,912177150.0,904335170.0,888461300.0,968256900.0,936426430.0,938614300.0,857633500.0,1020143000.0,969788000.0,917271550.0,907079900.0,956181500.0,849813400.0,886764540.0,921771100.0,957132500.0,967148900.0,991259500.0,955386900.0
2031.0,895182300.0,865677100.0,853050900.0,944481150.0,913743500.0,919162560.0,829011300.0,1098764000.0,971843700.0,895902850.0,873923700.0,956915600.0,829503700.0,856163200.0,904267650.0,946386600.0,933047040.0,978956160.0,921063500.0
2032.0,869247800.0,833893800.0,844311800.0,953707140.0,892644800.0,882952960.0,817138200.0,1044895800.0,940198800.0,875841900.0,838988200.0,924431600.0,805664450.0,846331000.0,866076800.0,931121700.0,914712770.0,966417200.0,896934400.0
