time,FGOALS-F3-L,NORESM2-MM,ACCESS-CM2,CESM2,INM-CM5-0,ACCESS-ESM1-5,TAIESM1,CAMS-CSM1-0,BCC-CSM2-MR,CMCC-CM2-SR5,IPSL-CM6A-LR,GFDL-ESM4,EC-EARTH3-VEG,MRI-ESM2-0,EC-EARTH3,MPI-ESM1-2-HR,CESM2-WACCM,INM-CM4-8,CANESM5
2000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0
2001.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0
2002.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0
2003.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0
2004.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0
2005.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0
2006.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0
2007.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0
2008.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0
2009.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0
2010.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0
2011.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0
2012.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0
2013.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0
2014.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0
2015.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0
2016.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0
2017.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0
2018.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0
2019.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0
2020.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0
2021.0,826825000000.0,833415940000.0,828188260000.0,819333370000.0,837789200000.0,833335260000.0,829192200000.0,841685400000.0,842852500000.0,827397440000.0,819117200000.0,845175060000.0,818811800000.0,830822300000.0,824519100000.0,845014560000.0,827881400000.0,844071500000.0,826256900000.0
2022.0,808617100000.0,820081070000.0,814045270000.0,806680800000.0,825185530000.0,829260230000.0,815499200000.0,824865700000.0,819649900000.0,812599300000.0,798429700000.0,841380460000.0,803599200000.0,823391600000.0,804888840000.0,834685760000.0,793540400000.0,817251940000.0,809362800000.0
2023.0,799610900000.0,813096040000.0,802838800000.0,782840370000.0,820508360000.0,822171530000.0,799909200000.0,819690700000.0,792734600000.0,795136100000.0,782329250000.0,821829760000.0,787040600000.0,808979000000.0,784427100000.0,823819040000.0,772232840000.0,798904750000.0,794601460000.0
2024.0,790560200000.0,797618500000.0,782311160000.0,760163200000.0,798510940000.0,823015700000.0,787104000000.0,806668860000.0,786153200000.0,797079400000.0,770154950000.0,818178800000.0,768879600000.0,783345060000.0,770684600000.0,810251900000.0,753477940000.0,768906360000.0,772739300000.0
2025.0,766249530000.0,782109970000.0,773484640000.0,733823430000.0,782994400000.0,805423300000.0,771419140000.0,793609200000.0,780788400000.0,786925100000.0,755050100000.0,824956300000.0,745305400000.0,757905600000.0,771494800000.0,795251600000.0,724923300000.0,753055900000.0,753519360000.0
2026.0,749929400000.0,760223300000.0,749447000000.0,714687050000.0,767380500000.0,793925600000.0,759696460000.0,791086240000.0,772091000000.0,779267200000.0,730486150000.0,821966400000.0,743453600000.0,736033240000.0,747276500000.0,786080600000.0,705434550000.0,722253450000.0,736031400000.0
2027.0,740641000000.0,741999640000.0,725708600000.0,699534500000.0,754521400000.0,766937900000.0,749386000000.0,794572900000.0,752624300000.0,772517200000.0,715794500000.0,799332000000.0,724319340000.0,728294950000.0,734665240000.0,783663300000.0,684533300000.0,706442100000.0,720233700000.0
2028.0,722902000000.0,733978200000.0,697477100000.0,687085100000.0,732368600000.0,743713140000.0,725128840000.0,781154600000.0,748241700000.0,761855740000.0,686586130000.0,786416900000.0,708349700000.0,710802340000.0,717205500000.0,774024460000.0,658021150000.0,689596700000.0,699340100000.0
2029.0,714223500000.0,728952140000.0,682317840000.0,673433400000.0,720102360000.0,727292000000.0,695620500000.0,782046300000.0,740030900000.0,741874470000.0,663712560000.0,771238200000.0,684924100000.0,690910700000.0,692543700000.0,768330400000.0,628595950000.0,681924900000.0,674588850000.0
2030.0,701673240000.0,717882700000.0,665472470000.0,662186360000.0,696331140000.0,702942740000.0,680675600000.0,773436600000.0,719526040000.0,724266500000.0,636635700000.0,757907300000.0,668970600000.0,673432500000.0,667757100000.0,759004900000.0,597492300000.0,671316440000.0,649061700000.0
2031.0,679003900000.0,697206440000.0,643482000000.0,652566660000.0,681129100000.0,669995000000.0,651707900000.0,763420500000.0,704506760000.0,702935470000.0,602999600000.0,751792200000.0,657240160000.0,651498750000.0,649261150000.0,737042000000.0,583172900000.0,659079800000.0,626874800000.0
2032.0,647594640000.0,672210700000.0,623353660000.0,636232600000.0,662909160000.0,642289800000.0,635606600000.0,751715900000.0,690478000000.0,697567700000.0,584669000000.0,740406660000.0,649732300000.0,626628100000.0,632420000000.0,740194840000.0,563496900000.0,641053100000.0,596382450000.0
2033.0,627682900000.0,657467300000.0,609953100000.0,618079000000.0,645140400000.0,608343800000.0,613093300000.0,741316030000.0,676884200000.0,684059300000.0,568819450000.0,732382040000.0,628537300000.0,606718800000.0,618109300000.0,728058500000.0,540904060000.0,625637460000.0,570519650000.0
2034.0,613505760000.0,640760000000.0,586438200000.0,605627300000.0,633405440000.0,583765500000.0,572870200000.0,731515400000.0,660814230000.0,677353600000.0,561253400000.0,705788600000.0,618640000000.0,597871000000.0,608339030000.0,726273100000.0,516704730000.0,612220600000.0,551523400000.0
2035.0,594878660000.0,618494750000.0,575538270000.0,584320900000.0,619758550000.0,557896960000.0,552949200000.0,711751500000.0,643789100000.0,663504160000.0,546055720000.0,695384300000.0,601945870000.0,591229550000.0,591410000000.0,708257050000.0,487481930000.0,595925300000.0,536486870000.0
2036.0,577139000000.0,599157100000.0,557538150000.0,561443000000.0,605299540000.0,548108660000.0,526760870000.0,697870200000.0,639834650000.0,653006900000.0,531499550000.0,688902600000.0,594938040000.0,577357800000.0,578434300000.0,696307150000.0,467557250000.0,574585200000.0,515812800000.0
2037.0,569711600000.0,583693800000.0,542516970000.0,544008440000.0,588175200000.0,536080970000.0,501035240000.0,678992200000.0,630934340000.0,639937940000.0,510671500000.0,667744000000.0,570718300000.0,563906700000.0,561576150000.0,676877430000.0,445658860000.0,548274500000.0,500052100000.0
2038.0,564104800000.0,565188800000.0,525309200000.0,520482420000.0,576380800000.0,524802950000.0,483472050000.0,670221900000.0,623507000000.0,622114240000.0,500653300000.0,657139040000.0,562379200000.0,539191180000.0,554064400000.0,669434500000.0,426900400000.0,533335380000.0,478123620000.0
2039.0,533763880000.0,540594400000.0,510585600000.0,496990000000.0,566762600000.0,498078320000.0,461830880000.0,649294500000.0,613617500000.0,596709000000.0,481396200000.0,636652200000.0,549699130000.0,524443200000.0,534357970000.0,661568800000.0,411261140000.0,513356460000.0,460895750000.0
2040.0,528153350000.0,522962000000.0,492929600000.0,478446880000.0,559081800000.0,469334700000.0,436654000000.0,644278500000.0,593130750000.0,577144900000.0,463883860000.0,622073940000.0,536507500000.0,502360080000.0,509587620000.0,654433450000.0,398839640000.0,498351800000.0,434405280000.0
2041.0,511492800000.0,499725630000.0,468332300000.0,449604680000.0,550422700000.0,452392060000.0,414472800000.0,636891500000.0,571619740000.0,554890100000.0,449590820000.0,616429500000.0,524484400000.0,479945750000.0,479312640000.0,648572240000.0,383443100000.0,484237380000.0,414826070000.0
2042.0,496162370000.0,477557880000.0,448609300000.0,436475070000.0,532012240000.0,439699830000.0,386817820000.0,636418460000.0,558815840000.0,531997300000.0,428826620000.0,604323500000.0,507188400000.0,462887900000.0,465717170000.0,640506130000.0,359078040000.0,460668800000.0,400857240000.0
2043.0,480308920000.0,466466730000.0,432063020000.0,416505900000.0,523578800000.0,420614300000.0,365312900000.0,633944340000.0,549108250000.0,508853650000.0,414442880000.0,585866400000.0,491474550000.0,443008000000.0,461041830000.0,628703760000.0,342524430000.0,446601800000.0,384489200000.0
2044.0,460977540000.0,450113600000.0,406551900000.0,399511420000.0,516635460000.0,402986370000.0,341048950000.0,611011500000.0,537901900000.0,494722120000.0,397289720000.0,562667650000.0,479627280000.0,422389800000.0,452969000000.0,613808600000.0,330182160000.0,435340900000.0,363012360000.0
2045.0,439490600000.0,425275800000.0,386242250000.0,382053840000.0,506204620000.0,386800220000.0,318250680000.0,610240360000.0,519648770000.0,484629640000.0,375588880000.0,533142960000.0,466342940000.0,402630400000.0,434761900000.0,596604900000.0,311729400000.0,427516850000.0,340226400000.0
2046.0,425732340000.0,410304840000.0,360452850000.0,367581130000.0,496463100000.0,370392370000.0,299551900000.0,602149000000.0,495626750000.0,475183580000.0,358342950000.0,523545500000.0,456282770000.0,385847430000.0,417029300000.0,588461900000.0,295558200000.0,410411760000.0,324055760000.0
2047.0,409288400000.0,382684300000.0,347861580000.0,352594900000.0,481163480000.0,356629940000.0,281076700000.0,581067740000.0,485259280000.0,459460580000.0,345316500000.0,514556100000.0,442301500000.0,373387070000.0,394574860000.0,574570000000.0,281718750000.0,395448420000.0,311466950000.0
2048.0,387860760000.0,361955600000.0,339468260000.0,337687800000.0,465405480000.0,345742540000.0,260133930000.0,570624600000.0,474479760000.0,437396470000.0,329049440000.0,499603540000.0,427699180000.0,355256500000.0,373430750000.0,561998860000.0,268850280000.0,383311540000.0,289916260000.0
2049.0,366475400000.0,344507250000.0,322306500000.0,327039780000.0,451097900000.0,330617160000.0,237630830000.0,550015100000.0,457892130000.0,416756400000.0,314981480000.0,484669850000.0,411348570000.0,339828800000.0,366514500000.0,541923970000.0,249343720000.0,375127830000.0,275298220000.0
2050.0,357951900000.0,327543500000.0,297533730000.0,314343130000.0,429322760000.0,318459480000.0,223211860000.0,541707170000.0,434590150000.0,401696800000.0,295422530000.0,469805000000.0,395352500000.0,324150230000.0,350814200000.0,526401800000.0,232300460000.0,371215100000.0,263466340000.0
2051.0,349345300000.0,314852470000.0,276037800000.0,296321000000.0,414177620000.0,299428580000.0,210337660000.0,530914970000.0,419035770000.0,387175320000.0,280870680000.0,461861450000.0,376456840000.0,314243250000.0,336671830000.0,512636200000.0,224043900000.0,365999400000.0,248111350000.0
2052.0,337539300000.0,298005560000.0,263132770000.0,280905650000.0,406302850000.0,288975680000.0,197493700000.0,524052760000.0,402816000000.0,376019060000.0,263845510000.0,452704570000.0,363045650000.0,309501600000.0,317574800000.0,503023470000.0,215797380000.0,358429520000.0,231939670000.0
2053.0,320080020000.0,284470970000.0,242178740000.0,263303540000.0,403212370000.0,271396720000.0,181629780000.0,515434800000.0,391042470000.0,357263180000.0,255279040000.0,440766500000.0,351982880000.0,292186130000.0,297830780000.0,493392720000.0,207522170000.0,349301960000.0,218884030000.0
2054.0,307360070000.0,270481830000.0,221993750000.0,250726100000.0,389750060000.0,258841990000.0,166957420000.0,499552680000.0,375595830000.0,336659640000.0,236573470000.0,423858960000.0,338014340000.0,281818700000.0,291495300000.0,481348500000.0,190298730000.0,344428050000.0,207795180000.0
2055.0,296593230000.0,258490810000.0,206628440000.0,235002150000.0,378288340000.0,244096840000.0,154499200000.0,486453020000.0,360267600000.0,321708100000.0,222397250000.0,416820630000.0,320668100000.0,271964640000.0,280304320000.0,463477280000.0,177438520000.0,332464420000.0,191838730000.0
2056.0,283010070000.0,248587860000.0,192300190000.0,221603710000.0,370540380000.0,228595830000.0,139826040000.0,487588300000.0,344027920000.0,299851060000.0,206499280000.0,400215970000.0,309392800000.0,252537440000.0,275181700000.0,444631120000.0,167692480000.0,314846600000.0,177446400000.0
2057.0,262216910000.0,235098030000.0,176895620000.0,206580610000.0,354277800000.0,214651860000.0,130181060000.0,478120150000.0,332867700000.0,282192900000.0,192872280000.0,386141200000.0,299559750000.0,239646020000.0,260568290000.0,432162540000.0,154952120000.0,302771860000.0,160888800000.0
2058.0,250651020000.0,222458200000.0,163950840000.0,194493280000.0,339636200000.0,199674270000.0,117569040000.0,474781400000.0,317124670000.0,264220790000.0,178079480000.0,369587100000.0,280822780000.0,226594100000.0,246549040000.0,414318560000.0,143676460000.0,294513200000.0,147771830000.0
2059.0,238599140000.0,210071060000.0,150497770000.0,183367910000.0,327797400000.0,186564430000.0,103905840000.0,465195400000.0,296757260000.0,252535340000.0,166867960000.0,363962430000.0,262764970000.0,217693630000.0,237648640000.0,398150500000.0,135043390000.0,284678200000.0,137118090000.0
2060.0,227592390000.0,192887360000.0,139609240000.0,169806790000.0,318499060000.0,172426940000.0,91023204000.0,459313970000.0,278940160000.0,238429300000.0,153185700000.0,347510960000.0,246699520000.0,204691620000.0,223619580000.0,386256930000.0,124391810000.0,276619030000.0,126105600000.0
2061.0,216218090000.0,179696220000.0,126009720000.0,155976660000.0,307885000000.0,157474730000.0,80750100000.0,447756660000.0,263175950000.0,221776640000.0,140784900000.0,333262900000.0,232266420000.0,195597660000.0,212675180000.0,372325550000.0,111679410000.0,267324150000.0,114682190000.0
2062.0,203798560000.0,164037570000.0,114528305000.0,144318500000.0,298534930000.0,144100250000.0,73340210000.0,430396500000.0,247068560000.0,206437340000.0,129105764000.0,318301180000.0,226148560000.0,189466600000.0,201849370000.0,355404780000.0,104826380000.0,257250640000.0,102655295000.0
2063.0,191609470000.0,150038410000.0,102708580000.0,134679840000.0,288392250000.0,134013215000.0,67475360000.0,412294600000.0,229909450000.0,190934000000.0,119074530000.0,308974000000.0,213487570000.0,179731810000.0,188747780000.0,345886230000.0,94794695000.0,247027910000.0,93993620000.0
2064.0,181354950000.0,138582230000.0,91169350000.0,122741916000.0,273342140000.0,123789950000.0,62913200000.0,403803700000.0,213094470000.0,181878300000.0,107404350000.0,298731240000.0,203139060000.0,171331160000.0,180763690000.0,332178300000.0,86172840000.0,238944040000.0,85064100000.0
2065.0,168115600000.0,126932160000.0,82229440000.0,113993286000.0,260612520000.0,112626320000.0,56447420000.0,396522500000.0,198951670000.0,169785150000.0,96341150000.0,287504330000.0,189183980000.0,165579850000.0,173575980000.0,316995400000.0,77551320000.0,230102040000.0,77420044000.0
2066.0,155014770000.0,116612160000.0,74683380000.0,104988530000.0,252961210000.0,103024270000.0,49535205000.0,383252000000.0,186949660000.0,157698380000.0,87140710000.0,277617050000.0,175822820000.0,156714170000.0,165726470000.0,296431420000.0,68600857000.0,220007890000.0,69999920000.0
