time,MRI-ESM2-0,EC-EARTH3-VEG,EC-EARTH3,MPI-ESM1-2-HR,CESM2-WACCM,INM-CM4-8,NORESM2-MM,FGOALS-F3-L,INM-CM5-0,CESM2,CAMS-CSM1-0,BCC-CSM2-MR,GFDL-ESM4
2000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0
2001.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0
2002.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0
2003.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0
2004.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0
2005.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0
2006.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0
2007.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0
2008.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0
2009.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0
2010.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0
2011.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0
2012.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0
2013.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0
2014.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0
2015.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0
2016.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0
2017.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0
2018.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0
2019.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0
2020.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0
2021.0,837699400000.0,840414130000.0,832231240000.0,843986600000.0,837574600000.0,837319100000.0,830380500000.0,836974800000.0,831615500000.0,829817100000.0,831889540000.0,828670500000.0,827625700000.0
2022.0,824467300000.0,818279740000.0,810706800000.0,847852000000.0,818606500000.0,829259200000.0,815488960000.0,818639140000.0,820016250000.0,821110000000.0,821128100000.0,820803100000.0,818298400000.0
2023.0,802944200000.0,802887570000.0,793898700000.0,841419600000.0,797239500000.0,810349360000.0,791748800000.0,802108600000.0,807602360000.0,800261200000.0,810640400000.0,807881800000.0,797538600000.0
2024.0,790248950000.0,799843100000.0,772493300000.0,829154200000.0,774845900000.0,795939100000.0,774651600000.0,776346000000.0,787093400000.0,782483060000.0,797995600000.0,791985260000.0,794375600000.0
2025.0,775472300000.0,796924400000.0,771742500000.0,811843700000.0,752299150000.0,776086550000.0,764198450000.0,767316800000.0,778250100000.0,757835700000.0,791240100000.0,783520560000.0,784965000000.0
2026.0,756772960000.0,774238000000.0,758274500000.0,797365100000.0,728057450000.0,763838600000.0,752681160000.0,763705000000.0,765038360000.0,737085400000.0,792989860000.0,758424800000.0,764636800000.0
2027.0,727040460000.0,762428600000.0,744942000000.0,783257800000.0,712208500000.0,756902000000.0,739764500000.0,738047000000.0,754688700000.0,711372200000.0,789458400000.0,743036700000.0,754271260000.0
2028.0,703780700000.0,755672940000.0,719615400000.0,770689660000.0,692302900000.0,733398400000.0,725103800000.0,728868650000.0,751733400000.0,700542350000.0,772591200000.0,720864900000.0,745478900000.0
2029.0,686479440000.0,751420100000.0,717786300000.0,771566300000.0,663888800000.0,704578900000.0,698860900000.0,708943940000.0,740109450000.0,679827800000.0,762939000000.0,695437750000.0,746864440000.0
2030.0,666039550000.0,736070400000.0,711371900000.0,759138400000.0,641652500000.0,681412000000.0,689869360000.0,698665700000.0,721670770000.0,659775360000.0,758455340000.0,671190000000.0,731423000000.0
2031.0,647586900000.0,725917100000.0,706456500000.0,762613660000.0,623477900000.0,669383000000.0,675384660000.0,669724250000.0,710240630000.0,647152660000.0,756451500000.0,653723500000.0,720202040000.0
2032.0,625839200000.0,717400700000.0,685795600000.0,752634040000.0,602478540000.0,653848350000.0,660578600000.0,658203300000.0,698913900000.0,638397450000.0,749670800000.0,636005100000.0,702641000000.0
2033.0,613714500000.0,703233000000.0,683607600000.0,747215650000.0,592571400000.0,652438340000.0,651492660000.0,659821170000.0,680507300000.0,609715200000.0,741034950000.0,620374400000.0,692062600000.0
