time,EC-EARTH3-VEG,MRI-ESM2-0,CAMS-CSM1-0,GFDL-ESM4
2000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0
2001.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0
2002.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0
2003.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0
2004.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0
2005.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0
2006.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0
2007.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0
2008.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0
2009.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0
2010.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0
2011.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0
2012.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0
2013.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0
2014.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0
2015.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0
2016.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0
2017.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0
2018.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0
2019.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0
2020.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0
2021.0,104244675000.0,104276200000.0,104365320000.0,104286830000.0
2022.0,104200600000.0,104260936000.0,104330350000.0,104180540000.0
2023.0,104258230000.0,104272120000.0,104254080000.0,104340005000.0
2024.0,104135680000.0,104162860000.0,104256690000.0,104175485000.0
2025.0,104029180000.0,104066400000.0,104150740000.0,104172760000.0
2026.0,104000780000.0,104106340000.0,104088990000.0,104295870000.0
2027.0,103920300000.0,104011645000.0,104065970000.0,104139990000.0
2028.0,103861460000.0,104437560000.0,104050890000.0,104057274000.0
2029.0,103781384000.0,104044520000.0,103998150000.0,104109425000.0
2030.0,103721850000.0,103919624000.0,103949560000.0,104024980000.0
2031.0,103751330000.0,103844766000.0,103890860000.0,103986400000.0
2032.0,103689180000.0,103811465000.0,103930370000.0,103937330000.0
2033.0,103562200000.0,103750255000.0,103942185000.0,103939190000.0
2034.0,103475020000.0,103668850000.0,103882280000.0,103816950000.0
2035.0,103350760000.0,103587290000.0,103799190000.0,103698375000.0
2036.0,103284785000.0,103488480000.0,103853335000.0,103632990000.0
2037.0,103195386000.0,103365000000.0,103882940000.0,103660724000.0
2038.0,103208305000.0,103264240000.0,103816590000.0,103533470000.0
2039.0,103223710000.0,103166970000.0,103679860000.0,103465030000.0
2040.0,103132700000.0,103117870000.0,103638720000.0,103424100000.0
2041.0,102888020000.0,103003350000.0,103620470000.0,103403980000.0
2042.0,102715170000.0,102962010000.0,103580320000.0,103308830000.0
2043.0,102673780000.0,102870610000.0,103567760000.0,103250120000.0
2044.0,102538035000.0,102766760000.0,103435120000.0,103191230000.0
2045.0,102469600000.0,102712750000.0,103400800000.0,103210480000.0
2046.0,102359210000.0,102542910000.0,103387380000.0,103103414000.0
2047.0,102117065000.0,102501480000.0,103281885000.0,102970786000.0
2048.0,101986770000.0,102583630000.0,103278580000.0,102909760000.0
2049.0,101914320000.0,102259330000.0,103329840000.0,102806544000.0
2050.0,101931350000.0,102065340000.0,103233790000.0,102724390000.0
2051.0,101690540000.0,101857980000.0,103155580000.0,102632415000.0
2052.0,102220760000.0,101650014000.0,103037030000.0,102580960000.0
2053.0,101533065000.0,101388755000.0,103004520000.0,102762390000.0
2054.0,101457150000.0,101301800000.0,103198220000.0,102526755000.0
2055.0,101293015000.0,101185634000.0,103107010000.0,102293150000.0
2056.0,101163640000.0,101015490000.0,102970700000.0,102147280000.0
2057.0,101089526000.0,100792290000.0,102862540000.0,102295030000.0
2058.0,100955460000.0,100577360000.0,102777135000.0,102726900000.0
2059.0,100858410000.0,100415000000.0,102710690000.0,102495070000.0
2060.0,100733530000.0,100255230000.0,102580200000.0,102069360000.0
2061.0,100509360000.0,100099960000.0,102566330000.0,101961630000.0
2062.0,100345560000.0,101083610000.0,102537150000.0,101861590000.0
2063.0,100126280000.0,99893630000.0,102380420000.0,101715540000.0
2064.0,100136530000.0,99671830000.0,102299190000.0,101774630000.0
2065.0,99890470000.0,99928430000.0,102315090000.0,101551850000.0
2066.0,99687180000.0,100190170000.0,102113850000.0,101494735000.0
2067.0,99547150000.0,99837420000.0,102079090000.0,101384150000.0
2068.0,99347480000.0,99451360000.0,101907940000.0,101286460000.0
2069.0,99241490000.0,99290096000.0,101970534000.0,101129820000.0
2070.0,99049040000.0,99448450000.0,101852920000.0,100998900000.0
2071.0,98867280000.0,100742430000.0,101935880000.0,100886420000.0
2072.0,98564140000.0,99363090000.0,102376640000.0,100778010000.0
2073.0,98388300000.0,98902970000.0,102199450000.0,100596920000.0
2074.0,98273600000.0,98704425000.0,101708370000.0,100448710000.0
2075.0,98126010000.0,98720710000.0,101545950000.0,100307070000.0
2076.0,97982250000.0,98403440000.0,101509610000.0,100243710000.0
2077.0,97734664000.0,98216020000.0,101323060000.0,100325370000.0
2078.0,97629160000.0,97962360000.0,101536570000.0,100184810000.0
2079.0,97504944000.0,97782720000.0,101261620000.0,99914390000.0
2080.0,97232450000.0,97645930000.0,101085420000.0,99940130000.0
2081.0,96970170000.0,97414060000.0,101297190000.0,99784000000.0
2082.0,96820420000.0,97242450000.0,101011910000.0,100471880000.0
2083.0,96915500000.0,98056470000.0,100819040000.0,99714190000.0
2084.0,96606405000.0,97011200000.0,100760830000.0,100183800000.0
2085.0,96348580000.0,96781180000.0,100621615000.0,99583440000.0
2086.0,96452860000.0,96900840000.0,100523750000.0,99403960000.0
2087.0,96055484000.0,98864470000.0,100409110000.0,99224700000.0
2088.0,95824490000.0,96726530000.0,100387340000.0,99461644000.0
2089.0,95647620000.0,97288815000.0,100376895000.0,100307650000.0
2090.0,95423950000.0,96665740000.0,100168330000.0,98977870000.0
2091.0,95153955000.0,96270230000.0,100197800000.0,98904154000.0
2092.0,95020245000.0,96555830000.0,99926565000.0,98718470000.0
2093.0,94908510000.0,95956630000.0,99854930000.0,98474340000.0
2094.0,94521850000.0,95742010000.0,99667430000.0,98389460000.0
2095.0,94329580000.0,96273960000.0,99708010000.0,98394980000.0
2096.0,94407510000.0,95829434000.0,100384510000.0,98091140000.0
2097.0,93990520000.0,95524400000.0,99699600000.0,97914315000.0
2098.0,93689670000.0,96822714000.0,99401515000.0,98033900000.0
2099.0,93500560000.0,95333745000.0,99433440000.0,97808470000.0
2100.0,93173015000.0,95069010000.0,99206020000.0,97749060000.0
