time,IPSL-CM6A-LR,FGOALS-F3-L,MRI-ESM2-0,CESM2,MPI-ESM1-2-HR,EC-EARTH3-VEG,EC-EARTH3,CAMS-CSM1-0,BCC-CSM2-MR,INM-CM4-8,ACCESS-CM2,NORESM2-MM,INM-CM5-0,ACCESS-ESM1-5,CESM2-WACCM,GFDL-ESM4,CANESM5
2000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0
2001.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0
2002.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0
2003.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0
2004.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0
2005.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0
2006.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0
2007.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0
2008.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0
2009.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0
2010.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0
2011.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0
2012.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0
2013.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0
2014.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0
2015.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0
2016.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0
2017.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0
2018.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0
2019.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0
2020.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0
2021.0,46194995000.0,46105534000.0,46834205000.0,47498166000.0,46147280000.0,46323080000.0,46642463000.0,46664565000.0,47666295000.0,46752300000.0,47761437000.0,47217385000.0,47929450000.0,47001200000.0,46328033000.0,45742293000.0,45411025000.0
2022.0,45108620000.0,45441327000.0,45493090000.0,45043240000.0,46142030000.0,45748200000.0,46502404000.0,45615485000.0,46188376000.0,46292926000.0,46218834000.0,45618606000.0,47539720000.0,46061130000.0,45925384000.0,44096827000.0,43982330000.0
2023.0,43065946000.0,43186210000.0,44568252000.0,44146860000.0,44723610000.0,44762608000.0,45699867000.0,44742246000.0,45581332000.0,44560780000.0,45361517000.0,45235040000.0,46432084000.0,44301330000.0,44594938000.0,42322026000.0,44008470000.0
2024.0,41996160000.0,42388873000.0,42933002000.0,42789080000.0,43788710000.0,44900807000.0,45553750000.0,42351825000.0,44646600000.0,43530473000.0,44042690000.0,43817013000.0,45862200000.0,43884073000.0,44546515000.0,41187940000.0,42659330000.0
2025.0,41171214000.0,41155030000.0,43117110000.0,42093093000.0,43462630000.0,43833080000.0,44622220000.0,42157105000.0,42093830000.0,40930247000.0,42190664000.0,43054930000.0,45282570000.0,42432010000.0,44165153000.0,40446980000.0,41074143000.0
2026.0,39188267000.0,41760137000.0,41002504000.0,41242830000.0,41700487000.0,42800360000.0,41413317000.0,41178595000.0,41138287000.0,39549882000.0,41940226000.0,42031084000.0,44767625000.0,41499110000.0,43389006000.0,38077616000.0,40163578000.0
2027.0,38069740000.0,40331166000.0,39569236000.0,40267596000.0,39750380000.0,42376240000.0,38474924000.0,39491640000.0,38910450000.0,40410526000.0,40840460000.0,41102172000.0,43979160000.0,39346045000.0,41672552000.0,36720366000.0,40247697000.0
2028.0,37535460000.0,39011332000.0,38894650000.0,37881352000.0,38397895000.0,42108110000.0,37265440000.0,37237375000.0,39075080000.0,40728510000.0,39106224000.0,41016630000.0,41870795000.0,38936273000.0,40567230000.0,36017970000.0,38645125000.0
2029.0,36674240000.0,38286960000.0,38728530000.0,36522775000.0,38434400000.0,40170852000.0,36445610000.0,38314780000.0,37460546000.0,38720980000.0,37037450000.0,40106200000.0,40517992000.0,38349574000.0,40187904000.0,35076735000.0,37855520000.0
2030.0,36016476000.0,38311096000.0,38140300000.0,36169683000.0,36216857000.0,38861423000.0,33858748000.0,38149423000.0,36777700000.0,37753745000.0,36676770000.0,39362822000.0,40941850000.0,37574926000.0,40240194000.0,34830623000.0,36832346000.0
2031.0,35882643000.0,37661610000.0,36378780000.0,34889458000.0,34702970000.0,39183750000.0,31709102000.0,36793692000.0,35974525000.0,36958880000.0,35536280000.0,38702410000.0,40960557000.0,36402975000.0,38919340000.0,33839153000.0,35167270000.0
2032.0,34785276000.0,36173340000.0,35155060000.0,33936603000.0,33662726000.0,38218650000.0,30348337000.0,35681382000.0,35186983000.0,36452130000.0,35511000000.0,38647955000.0,40648024000.0,35516420000.0,38247014000.0,33064870000.0,35355500000.0
2033.0,33882800000.0,34174804000.0,33698720000.0,32681181000.0,33149740000.0,37964250000.0,29850950000.0,36080144000.0,34416427000.0,34908738000.0,33931717000.0,38422770000.0,39382348000.0,34556180000.0,37788520000.0,32003127000.0,34145260000.0
2034.0,33359060000.0,34058506000.0,32892627000.0,32608874000.0,32709833000.0,37384660000.0,29660640000.0,37213840000.0,34317965000.0,34780940000.0,33323133000.0,38225800000.0,38630486000.0,34584166000.0,36700870000.0,30989349000.0,33192925000.0
