time,IPSL-CM5A-LR,CNRM-CM5,GFDL-CM3,GISS-E2-R,MPI-ESM-LR,CSIRO-MK3-6-0,CCSM4,GFDL-ESM2G,CANESM2,CESM1-CAM5,NORESM1-M
2000.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0
2001.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0
2002.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0
2003.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0
2004.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0
2005.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0
2006.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0
2007.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0
2008.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0
2009.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0
2010.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0
2011.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0
2012.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0
2013.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0
2014.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0
2015.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0
