time,NORESM1-M,CESM1-CAM5,GFDL-ESM2G,CCSM4,CSIRO-MK3-6-0,GISS-E2-R,GFDL-CM3,IPSL-CM5A-LR
2000.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0
2001.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0
2002.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0
2003.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0
2004.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0
2005.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0
2006.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0
2007.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0
2008.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0
2009.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0
2010.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0
2011.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0
2012.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0
2013.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0
2014.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0
2015.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0
2016.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0
2017.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0
2018.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0
2019.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0
2020.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0
2021.0,2282537000.0,2266799000.0,2283630600.0,2248576000.0,2269907500.0,2247945500.0,2226332700.0,2276216300.0
2022.0,2251737600.0,2216478700.0,2244884700.0,2237045000.0,2257662200.0,2246423600.0,2205980200.0,2226823700.0
2023.0,2220160800.0,2185504800.0,2245473800.0,2222286800.0,2216500200.0,2224268500.0,2169212700.0,2218276000.0
2024.0,2163724800.0,2169836000.0,2220650000.0,2183936500.0,2257469400.0,2288781800.0,2262585300.0,2197111300.0
2025.0,2143725400.0,2179236600.0,2228243700.0,2164636700.0,2239148300.0,2234550500.0,2118560600.0,2177602800.0
2026.0,2122662900.0,2122252700.0,2233927000.0,2149316600.0,2204840200.0,2167543800.0,2066948700.0,2158552000.0
2027.0,2106806100.0,2131259600.0,2173079800.0,2124099300.0,2155819300.0,2124351200.0,2021476200.0,2136257700.0
2028.0,2082395300.0,2104592600.0,2153145000.0,2101129100.0,2151993300.0,2108715000.0,1976305400.0,2100783000.0
2029.0,2085113600.0,2174431200.0,2284793300.0,2081960800.0,2121374300.0,2096721800.0,1934713200.0,2065605600.0
2030.0,2006445300.0,2043799200.0,2178485800.0,2163109000.0,2149951200.0,2085926800.0,1882411600.0,2016042400.0
2031.0,1973758200.0,2000613400.0,2163928000.0,2043840400.0,2121193900.0,2060567400.0,1832681000.0,1978802300.0
2032.0,1916522000.0,1950070900.0,2138157300.0,2009787800.0,2064641200.0,2032887000.0,1796332500.0,1954597000.0
2033.0,1886106100.0,1930499100.0,2116822400.0,1993624000.0,2090598400.0,1993760000.0,1742941800.0,1960932500.0
2034.0,1860351600.0,1889378600.0,2078708700.0,1938776600.0,2015031000.0,1960200800.0,1702538600.0,1885119100.0
