time,ACCESS-ESM1-5,IPSL-CM6A-LR,ACCESS-CM2,CANESM5,MRI-ESM2-0,CESM2-WACCM
2000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0
2001.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0
2002.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0
2003.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0
2004.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0
2005.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0
2006.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0
2007.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0
2008.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0
2009.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0
2010.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0
2011.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0
2012.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0
2013.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0
2014.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0
2015.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0
2016.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0
2017.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0
2018.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0
2019.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0
2020.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0
2021.0,7269969000000.0,7259410000000.0,7280974600000.0,7238308000000.0,7262136000000.0,7274222300000.0
2022.0,7250437000000.0,7253135000000.0,7277656400000.0,7197610000000.0,7244535000000.0,7258014500000.0
2023.0,7242216000000.0,7248521000000.0,7259270000000.0,7137551000000.0,7211528500000.0,7250320600000.0
2024.0,7242382000000.0,7237650000000.0,7235960300000.0,7076302600000.0,7151107000000.0,7234862000000.0
2025.0,7214916400000.0,7233773000000.0,7225230000000.0,6991190700000.0,7118087000000.0,7225842000000.0
2026.0,7193384000000.0,7229898500000.0,7210426400000.0,6910291000000.0,7072586000000.0,7218127700000.0
2027.0,7172979000000.0,7202338000000.0,7178602700000.0,6817311600000.0,7033986000000.0,7207904600000.0
2028.0,7166728600000.0,7185455000000.0,7147186000000.0,6728822000000.0,6989233000000.0,7205455000000.0
2029.0,7163856000000.0,7169995000000.0,7116227600000.0,6641225000000.0,6943744700000.0,7194974000000.0
2030.0,7145580400000.0,7135181000000.0,7097883000000.0,6564361500000.0,6887394000000.0,7184989600000.0
2031.0,7129843000000.0,7104983700000.0,7078445000000.0,6458609000000.0,6847586600000.0,7167373500000.0
2032.0,7118154000000.0,7080137000000.0,7053460000000.0,6374459700000.0,6803169500000.0,7155068400000.0
2033.0,7115772500000.0,7048835600000.0,7038054700000.0,6269954000000.0,6760399600000.0,7135867000000.0
2034.0,7101315000000.0,7033823700000.0,6995643500000.0,6173281500000.0,6712648500000.0,7121425000000.0
2035.0,7084680000000.0,7009122400000.0,6972816000000.0,6052608700000.0,6635668400000.0,7116971600000.0
2036.0,7067581500000.0,6977762000000.0,6948495300000.0,5943529600000.0,6588601000000.0,7092465300000.0
2037.0,7049466000000.0,6945345000000.0,6900441700000.0,5812099500000.0,6517897600000.0,7080528000000.0
2038.0,7048590300000.0,6926509300000.0,6875513000000.0,5672240400000.0,6448748700000.0,7053978000000.0
2039.0,7034559000000.0,6879878600000.0,6833873400000.0,5530003000000.0,6359698400000.0,7033775500000.0
2040.0,7016550500000.0,6826109700000.0,6808191600000.0,5397686500000.0,6244597000000.0,7012576400000.0
2041.0,6995913500000.0,6798977000000.0,6787179000000.0,5262721700000.0,6147684000000.0,6985986000000.0
2042.0,6973917500000.0,6736868000000.0,6767932000000.0,5121017000000.0,6045281300000.0,6952500000000.0
2043.0,6955304000000.0,6686873500000.0,6733595400000.0,4968039000000.0,5957302000000.0,6916656000000.0
2044.0,6899725500000.0,6632960000000.0,6689818400000.0,4813531600000.0,5844808000000.0,6892422700000.0
2045.0,6845651500000.0,6585479300000.0,6647073000000.0,4671913600000.0,5749290000000.0,6857777000000.0
2046.0,6792439000000.0,6517042000000.0,6588153700000.0,4523236500000.0,5626568600000.0,6827630000000.0
2047.0,6757239000000.0,6449224000000.0,6546427000000.0,4378212000000.0,5526744700000.0,6782981000000.0
2048.0,6732050300000.0,6393442000000.0,6517642000000.0,4224672900000.0,5415896000000.0,6767059700000.0
2049.0,6699148000000.0,6338914500000.0,6442282000000.0,4080357300000.0,5315651700000.0,6723181500000.0
