time,MPI-ESM1-2-HR,NORESM2-MM,CESM2-WACCM,CAMS-CSM1-0,GFDL-ESM4,IPSL-CM6A-LR,ACCESS-CM2,CESM2,BCC-CSM2-MR,FGOALS-F3-L,EC-EARTH3-VEG,CANESM5,ACCESS-ESM1-5,MRI-ESM2-0,EC-EARTH3,INM-CM4-8,INM-CM5-0
2000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0
2001.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0
2002.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0
2003.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0
2004.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0
2005.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0
2006.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0
2007.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0
2008.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0
2009.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0
2010.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0
2011.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0
2012.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0
2013.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0
2014.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0
2015.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0
2016.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0
2017.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0
2018.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0
2019.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0
2020.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0
2021.0,134826670000.0,134508780000.0,134772320000.0,134961090000.0,134605920000.0,134679930000.0,134383520000.0,134574555000.0,134313010000.0,134493045000.0,134545220000.0,134517820000.0,134379870000.0,134374965000.0,134602100000.0,134579710000.0,134497670000.0
2022.0,134529760000.0,134698360000.0,134549955000.0,135152610000.0,134445154000.0,134581280000.0,134307970000.0,134663710000.0,134334080000.0,134663540000.0,135033930000.0,134571960000.0,134255256000.0,134361190000.0,134374710000.0,134297880000.0,134766090000.0
2023.0,134702360000.0,134461506000.0,134855740000.0,135591360000.0,134179710000.0,134390400000.0,134331470000.0,134456010000.0,134163050000.0,134202280000.0,134620720000.0,134350840000.0,134167250000.0,134158510000.0,134379420000.0,134355140000.0,134694110000.0
2024.0,134335640000.0,134309290000.0,134506545000.0,134942360000.0,133970420000.0,134369894000.0,134432416000.0,134056660000.0,133949250000.0,134488880000.0,134227150000.0,134065590000.0,134526450000.0,133910070000.0,134792670000.0,134244930000.0,134269180000.0
2025.0,134118290000.0,135476970000.0,134171200000.0,134373800000.0,133933605000.0,134169550000.0,133947770000.0,133907956000.0,133758450000.0,134008720000.0,134352630000.0,134151820000.0,134287880000.0,133748940000.0,134152610000.0,134156070000.0,134223680000.0
2026.0,134071340000.0,134360490000.0,133635970000.0,134621690000.0,134967590000.0,133965595000.0,134198010000.0,133927950000.0,133437415000.0,134474930000.0,134158920000.0,133965210000.0,134142214000.0,133990750000.0,134243254000.0,134076660000.0,134927500000.0
2027.0,133750550000.0,134064830000.0,133573750000.0,134332000000.0,134068030000.0,133886255000.0,133912780000.0,133617844000.0,133341730000.0,133861450000.0,134511845000.0,134222905000.0,134089790000.0,133560360000.0,134024585000.0,134545310000.0,134641450000.0
2028.0,133879220000.0,133703970000.0,133662990000.0,134761810000.0,133878090000.0,133613690000.0,133491565000.0,133743890000.0,133407110000.0,133743220000.0,134071750000.0,133726670000.0,133568045000.0,133652700000.0,134128170000.0,133759080000.0,134362690000.0
2029.0,133498710000.0,133657215000.0,133402890000.0,134522675000.0,133679940000.0,134206340000.0,133370030000.0,133516150000.0,133308195000.0,133917570000.0,133689385000.0,133511864000.0,133591120000.0,133346980000.0,134054920000.0,133540545000.0,133787390000.0
2030.0,133478210000.0,133725320000.0,133512770000.0,134463820000.0,133435080000.0,133957165000.0,133268220000.0,133326320000.0,133311100000.0,133728960000.0,133588990000.0,133491696000.0,133897350000.0,133157090000.0,133847860000.0,133479340000.0,133980890000.0
2031.0,133380506000.0,133423250000.0,133335690000.0,134093020000.0,133764730000.0,133230890000.0,133006524000.0,133229590000.0,132936360000.0,133518190000.0,133463130000.0,134196520000.0,133528030000.0,133026800000.0,133631180000.0,133315060000.0,133655810000.0
2032.0,133586936000.0,133466900000.0,133025230000.0,133630390000.0,133538914000.0,133189610000.0,132884110000.0,133073470000.0,132642360000.0,133386790000.0,133680610000.0,133776630000.0,133627620000.0,132808060000.0,133890040000.0,133165040000.0,133884860000.0
2033.0,133257840000.0,133266750000.0,132773134000.0,133648510000.0,133130290000.0,133130650000.0,132965070000.0,132992710000.0,132518580000.0,133177430000.0,133405980000.0,133300716000.0,133249510000.0,132535470000.0,133946606000.0,133009540000.0,133428230000.0
2034.0,132932790000.0,134060660000.0,132650010000.0,133894830000.0,133674370000.0,132958110000.0,132768120000.0,132828330000.0,132463910000.0,133120610000.0,133286830000.0,132849640000.0,133469590000.0,132554260000.0,133517880000.0,132880690000.0,133382955000.0
2035.0,132826070000.0,133398110000.0,132553020000.0,133767635000.0,132880330000.0,133034150000.0,132640700000.0,132549770000.0,132269610000.0,133637220000.0,133367734000.0,132734110000.0,133060000000.0,132286770000.0,133378970000.0,133167820000.0,133204380000.0
2036.0,133142060000.0,133926380000.0,132355200000.0,133703880000.0,132801340000.0,132838060000.0,132581580000.0,132298916000.0,131812820000.0,133585290000.0,133097840000.0,132702050000.0,132891510000.0,132094120000.0,133267554000.0,132984400000.0,133913575000.0
2037.0,133618420000.0,133202490000.0,132097440000.0,133450940000.0,132758930000.0,132894390000.0,132419590000.0,132474890000.0,131517450000.0,133849560000.0,132965474000.0,132345160000.0,132802040000.0,132366770000.0,133191960000.0,132888010000.0,133162160000.0
2038.0,132657660000.0,133073000000.0,131981610000.0,133736920000.0,132634030000.0,132705400000.0,132565205000.0,132222910000.0,131669220000.0,133321430000.0,132822516000.0,132588410000.0,132747920000.0,131827425000.0,133217970000.0,132850900000.0,132933540000.0
2039.0,132631490000.0,132914960000.0,131717390000.0,133287640000.0,132418480000.0,132564130000.0,132280780000.0,132001800000.0,131306220000.0,132775200000.0,132796930000.0,132182010000.0,133012950000.0,131861630000.0,133099570000.0,132582560000.0,132935320000.0
2040.0,132537600000.0,134544966000.0,131768615000.0,133195596000.0,132195934000.0,132242830000.0,131949404000.0,131734040000.0,131128830000.0,132461090000.0,132522540000.0,132275855000.0,132721630000.0,131706460000.0,133099635000.0,132166000000.0,132885864000.0
2041.0,132453390000.0,132761810000.0,131563720000.0,132775680000.0,132133840000.0,132266190000.0,131615590000.0,131550200000.0,131028370000.0,132585590000.0,132460980000.0,131920175000.0,132501270000.0,131502285000.0,132887150000.0,132010480000.0,132973350000.0
2042.0,132369056000.0,133155290000.0,131467030000.0,132575060000.0,132120715000.0,132075570000.0,131662280000.0,131821850000.0,130791660000.0,132277390000.0,132342790000.0,131899965000.0,132547035000.0,131412390000.0,132633680000.0,131890570000.0,133058390000.0
2043.0,132096050000.0,132806060000.0,131167620000.0,132799200000.0,132116900000.0,131841114000.0,131700780000.0,131267895000.0,130436645000.0,132103676000.0,132307520000.0,131778360000.0,132368470000.0,131469460000.0,132831070000.0,131832160000.0,132784680000.0
2044.0,131971670000.0,132867860000.0,130931620000.0,133294250000.0,131795900000.0,131726730000.0,131451150000.0,131069210000.0,130132700000.0,131840640000.0,132137450000.0,131838796000.0,132267900000.0,131227886000.0,132843350000.0,131994510000.0,132769840000.0
2045.0,131945914000.0,132596010000.0,130760155000.0,132845540000.0,131676570000.0,131592240000.0,131162420000.0,130808865000.0,129974860000.0,131649810000.0,132020830000.0,131829940000.0,132082430000.0,131415876000.0,133398700000.0,131739330000.0,132533910000.0
2046.0,131689185000.0,132740770000.0,130445255000.0,132521050000.0,132014540000.0,131755520000.0,130856665000.0,130468676000.0,129776250000.0,131544500000.0,131907690000.0,132352460000.0,132503780000.0,131187360000.0,132618030000.0,131434050000.0,132564700000.0
2047.0,131991290000.0,132364870000.0,130189410000.0,132502860000.0,131729140000.0,131983910000.0,130715296000.0,130420744000.0,129439785000.0,131473514000.0,131914300000.0,131432660000.0,131969250000.0,130979930000.0,132410780000.0,131310280000.0,132437810000.0
2048.0,132054890000.0,132449780000.0,129980890000.0,132717860000.0,131594690000.0,131512040000.0,130468450000.0,129822550000.0,128958500000.0,131479265000.0,131570975000.0,131043230000.0,131910970000.0,130846510000.0,132137740000.0,131070240000.0,132311510000.0
2049.0,131491185000.0,132339180000.0,129738240000.0,132881965000.0,132163500000.0,130880220000.0,130111000000.0,129713080000.0,128638270000.0,131485516000.0,131427740000.0,131041665000.0,131778270000.0,130368930000.0,132109840000.0,131096280000.0,132832380000.0
