time,MRI-ESM2-0,KACE-1-0-G,CANESM5,IPSL-CM6A-LR,CNRM-ESM2-1,UKESM1-0-LL,IITM-ESM,TAIESM1,MPI-ESM1-2-HR,MIROC6,GFDL-ESM4,CESM2-WACCM,EC-EARTH3,CNRM-CM6-1
2000.0,87720215000.0,87720215000.0,87720215000.0,87720215000.0,87720215000.0,87720215000.0,87720215000.0,87720215000.0,87720215000.0,87720215000.0,87720215000.0,87720215000.0,87720215000.0,87720215000.0
2001.0,88084726000.0,88084726000.0,88084726000.0,88084726000.0,88084726000.0,88084726000.0,88084726000.0,88084726000.0,88084726000.0,88084726000.0,88084726000.0,88084726000.0,88084726000.0,88084726000.0
2002.0,87772640000.0,87772640000.0,87772640000.0,87772640000.0,87772640000.0,87772640000.0,87772640000.0,87772640000.0,87772640000.0,87772640000.0,87772640000.0,87772640000.0,87772640000.0,87772640000.0
2003.0,87558816000.0,87558816000.0,87558816000.0,87558816000.0,87558816000.0,87558816000.0,87558816000.0,87558816000.0,87558816000.0,87558816000.0,87558816000.0,87558816000.0,87558816000.0,87558816000.0
2004.0,87372366000.0,87372366000.0,87372366000.0,87372366000.0,87372366000.0,87372366000.0,87372366000.0,87372366000.0,87372366000.0,87372366000.0,87372366000.0,87372366000.0,87372366000.0,87372366000.0
2005.0,87214590000.0,87214590000.0,87214590000.0,87214590000.0,87214590000.0,87214590000.0,87214590000.0,87214590000.0,87214590000.0,87214590000.0,87214590000.0,87214590000.0,87214590000.0,87214590000.0
2006.0,87091950000.0,87091950000.0,87091950000.0,87091950000.0,87091950000.0,87091950000.0,87091950000.0,87091950000.0,87091950000.0,87091950000.0,87091950000.0,87091950000.0,87091950000.0,87091950000.0
2007.0,87041974000.0,87041974000.0,87041974000.0,87041974000.0,87041974000.0,87041974000.0,87041974000.0,87041974000.0,87041974000.0,87041974000.0,87041974000.0,87041974000.0,87041974000.0,87041974000.0
2008.0,86983156000.0,86983156000.0,86983156000.0,86983156000.0,86983156000.0,86983156000.0,86983156000.0,86983156000.0,86983156000.0,86983156000.0,86983156000.0,86983156000.0,86983156000.0,86983156000.0
2009.0,87343600000.0,87343600000.0,87343600000.0,87343600000.0,87343600000.0,87343600000.0,87343600000.0,87343600000.0,87343600000.0,87343600000.0,87343600000.0,87343600000.0,87343600000.0,87343600000.0
2010.0,86918750000.0,86918750000.0,86918750000.0,86918750000.0,86918750000.0,86918750000.0,86918750000.0,86918750000.0,86918750000.0,86918750000.0,86918750000.0,86918750000.0,86918750000.0,86918750000.0
2011.0,86789276000.0,86789276000.0,86789276000.0,86789276000.0,86789276000.0,86789276000.0,86789276000.0,86789276000.0,86789276000.0,86789276000.0,86789276000.0,86789276000.0,86789276000.0,86789276000.0
