time,TAIESM1,IITM-ESM,UKESM1-0-LL,IPSL-CM6A-LR,KACE-1-0-G,MRI-ESM2-0,CESM2-WACCM,GFDL-ESM4,MPI-ESM1-2-HR
2000.0,87720215000.0,87720215000.0,87720215000.0,87720215000.0,87720215000.0,87720215000.0,87720215000.0,87720215000.0,87720215000.0
2001.0,88084726000.0,88084726000.0,88084726000.0,88084726000.0,88084726000.0,88084726000.0,88084726000.0,88084726000.0,88084726000.0
2002.0,87772640000.0,87772640000.0,87772640000.0,87772640000.0,87772640000.0,87772640000.0,87772640000.0,87772640000.0,87772640000.0
2003.0,87558816000.0,87558816000.0,87558816000.0,87558816000.0,87558816000.0,87558816000.0,87558816000.0,87558816000.0,87558816000.0
2004.0,87372366000.0,87372366000.0,87372366000.0,87372366000.0,87372366000.0,87372366000.0,87372366000.0,87372366000.0,87372366000.0
2005.0,87214590000.0,87214590000.0,87214590000.0,87214590000.0,87214590000.0,87214590000.0,87214590000.0,87214590000.0,87214590000.0
2006.0,87091950000.0,87091950000.0,87091950000.0,87091950000.0,87091950000.0,87091950000.0,87091950000.0,87091950000.0,87091950000.0
2007.0,87041974000.0,87041974000.0,87041974000.0,87041974000.0,87041974000.0,87041974000.0,87041974000.0,87041974000.0,87041974000.0
2008.0,86983156000.0,86983156000.0,86983156000.0,86983156000.0,86983156000.0,86983156000.0,86983156000.0,86983156000.0,86983156000.0
2009.0,87343600000.0,87343600000.0,87343600000.0,87343600000.0,87343600000.0,87343600000.0,87343600000.0,87343600000.0,87343600000.0
2010.0,86918750000.0,86918750000.0,86918750000.0,86918750000.0,86918750000.0,86918750000.0,86918750000.0,86918750000.0,86918750000.0
2011.0,86789276000.0,86789276000.0,86789276000.0,86789276000.0,86789276000.0,86789276000.0,86789276000.0,86789276000.0,86789276000.0
2012.0,86721060000.0,86721060000.0,86721060000.0,86721060000.0,86721060000.0,86721060000.0,86721060000.0,86721060000.0,86721060000.0
2013.0,86814000000.0,86814000000.0,86814000000.0,86814000000.0,86814000000.0,86814000000.0,86814000000.0,86814000000.0,86814000000.0
2014.0,86552640000.0,86552640000.0,86552640000.0,86552640000.0,86552640000.0,86552640000.0,86552640000.0,86552640000.0,86552640000.0
2015.0,86340700000.0,86340700000.0,86340700000.0,86340700000.0,86340700000.0,86340700000.0,86340700000.0,86340700000.0,86340700000.0
2016.0,86155590000.0,86155590000.0,86155590000.0,86155590000.0,86155590000.0,86155590000.0,86155590000.0,86155590000.0,86155590000.0
2017.0,85840134000.0,85840134000.0,85840134000.0,85840134000.0,85840134000.0,85840134000.0,85840134000.0,85840134000.0,85840134000.0
2018.0,85609170000.0,85609170000.0,85609170000.0,85609170000.0,85609170000.0,85609170000.0,85609170000.0,85609170000.0,85609170000.0
2019.0,85404220000.0,85404220000.0,85404220000.0,85404220000.0,85404220000.0,85404220000.0,85404220000.0,85404220000.0,85404220000.0
2020.0,85076230000.0,85076230000.0,85076230000.0,85076230000.0,85076230000.0,85076230000.0,85076230000.0,85076230000.0,85076230000.0
2021.0,85321180000.0,86934400000.0,84764370000.0,84825104000.0,84708835000.0,84813330000.0,84846715000.0,84947270000.0,85249696000.0
2022.0,84717770000.0,85745260000.0,84593566000.0,84441590000.0,84188440000.0,84669410000.0,84336590000.0,84660270000.0,84723120000.0
2023.0,84406560000.0,85005720000.0,84218620000.0,84255100000.0,83430280000.0,84411556000.0,83896470000.0,84203040000.0,84478850000.0
2024.0,83933995000.0,84905050000.0,83692250000.0,84061500000.0,82744330000.0,84101050000.0,83523420000.0,83897795000.0,84422600000.0
2025.0,83808215000.0,84525064000.0,83133250000.0,85093840000.0,81688700000.0,83816490000.0,83051200000.0,83496894000.0,84199880000.0
2026.0,83384060000.0,83722630000.0,82638830000.0,83427830000.0,81240490000.0,84782510000.0,82284160000.0,83313795000.0,83766800000.0
2027.0,82677580000.0,83210640000.0,81761730000.0,82786460000.0,80022980000.0,83075660000.0,81711200000.0,82709360000.0,83560850000.0
