time,GFDL-ESM4,CMCC-CM2-SR5,NORESM2-MM,EC-EARTH3-VEG,BCC-CSM2-MR,FGOALS-F3-L,CANESM5,ACCESS-CM2,ACCESS-ESM1-5,CESM2,MRI-ESM2-0,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,EC-EARTH3,CAMS-CSM1-0,IPSL-CM6A-LR,CESM2-WACCM,TAIESM1
2000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0
2001.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0
2002.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0
2003.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0
2004.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0
2005.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0
2006.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0
2007.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0
2008.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0
2009.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0
