time,FGOALS-F3-L,BCC-CSM2-MR,EC-EARTH3-VEG,ACCESS-ESM1-5,ACCESS-CM2,CANESM5,CESM2,GFDL-ESM4,NORESM2-MM,INM-CM4-8,INM-CM5-0,EC-EARTH3,MPI-ESM1-2-HR,IPSL-CM6A-LR,CESM2-WACCM,CAMS-CSM1-0,MRI-ESM2-0
2000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0
2001.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0
2002.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0
2003.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0
2004.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0
2005.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0
2006.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0
2007.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0
2008.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0
2009.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0
2010.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0
2011.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0
2012.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0
2013.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0
2014.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0
2015.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0
2016.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0
2017.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0
2018.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0
