time,IPSL-CM6A-LR,CESM2-WACCM,MRI-ESM2-0,CANESM5
2000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0
2001.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0
2002.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0
2003.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0
2004.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0
2005.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0
2006.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0
2007.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0
2008.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0
2009.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0
2010.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0
2011.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0
2012.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0
2013.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0
2014.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0
2015.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0
2016.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0
2017.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0
2018.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0
2019.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0
2020.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0
2021.0,268177980000.0,268042350000.0,270506930000.0,263888900000.0
2022.0,267888540000.0,264261220000.0,269876940000.0,259741520000.0
2023.0,263556780000.0,261678020000.0,268192780000.0,251135600000.0
2024.0,260520820000.0,257922660000.0,262223690000.0,244980630000.0
2025.0,255423380000.0,253887680000.0,258189310000.0,239721250000.0
2026.0,252657100000.0,252223720000.0,251825590000.0,235872390000.0
2027.0,246843970000.0,250703070000.0,246434840000.0,231673070000.0
2028.0,240536270000.0,250255030000.0,244277330000.0,222179340000.0
2029.0,235547900000.0,243855100000.0,241719350000.0,214898430000.0
2030.0,231892060000.0,239435300000.0,235419580000.0,208937700000.0
2031.0,227602710000.0,237147490000.0,233229900000.0,199532250000.0
2032.0,220556180000.0,233071360000.0,229175300000.0,193585170000.0
2033.0,217142280000.0,228243700000.0,225147040000.0,190242550000.0
2034.0,214969090000.0,223353620000.0,220625960000.0,186699240000.0
2035.0,208839840000.0,221433680000.0,215034700000.0,181319020000.0
2036.0,205693160000.0,216844200000.0,212732670000.0,174938400000.0
2037.0,202145730000.0,212582830000.0,212431110000.0,169308950000.0
2038.0,199476740000.0,209491350000.0,206576160000.0,163007760000.0
2039.0,193102530000.0,207634250000.0,204154770000.0,157735810000.0
2040.0,186705200000.0,204634960000.0,200989020000.0,154355600000.0
2041.0,178655430000.0,203086970000.0,195403760000.0,147848430000.0
2042.0,174458550000.0,198173900000.0,192773850000.0,142827550000.0
2043.0,169806970000.0,193643970000.0,186777220000.0,139288130000.0
2044.0,165281560000.0,188658190000.0,183077950000.0,135568605000.0
2045.0,160145740000.0,184388080000.0,177728240000.0,131227150000.0
2046.0,153181390000.0,180807660000.0,172529220000.0,126131520000.0
2047.0,149653300000.0,177357910000.0,166914820000.0,121184010000.0
2048.0,144548070000.0,172446500000.0,163227160000.0,117054340000.0
2049.0,141884980000.0,170391860000.0,161140720000.0,111368450000.0
2050.0,138352310000.0,163740600000.0,157077650000.0,107215630000.0
2051.0,130505860000.0,159199350000.0,153355320000.0,102649274000.0
2052.0,125828150000.0,153008390000.0,147931150000.0,98568150000.0
2053.0,121341210000.0,149460120000.0,144886780000.0,95266540000.0
2054.0,118147310000.0,143354690000.0,141080020000.0,91964980000.0
2055.0,112911930000.0,140658800000.0,137791570000.0,87666310000.0
2056.0,107819170000.0,136586550000.0,135133780000.0,83434250000.0
2057.0,103782340000.0,133560270000.0,131914030000.0,80449270000.0
2058.0,100261520000.0,130501770000.0,128429640000.0,75843760000.0
2059.0,97520394000.0,128094405000.0,125774000000.0,71633820000.0
2060.0,93893026000.0,124028305000.0,123071360000.0,68175570000.0
2061.0,91080450000.0,120871220000.0,120075820000.0,65332793000.0
2062.0,86640140000.0,117535070000.0,117996675000.0,62294030000.0
2063.0,84063840000.0,113651560000.0,114146705000.0,58800840000.0
2064.0,81309884000.0,111563104000.0,112918544000.0,56705940000.0
2065.0,79164960000.0,109156640000.0,112003780000.0,53096750000.0
2066.0,76502560000.0,105800016000.0,109397520000.0,50890236000.0
2067.0,72895470000.0,104229446000.0,106312700000.0,47108956000.0
2068.0,70342560000.0,103583736000.0,103923830000.0,44127380000.0
2069.0,67265320000.0,101773700000.0,105124905000.0,42360860000.0
2070.0,63837400000.0,101429210000.0,103239280000.0,40177720000.0
2071.0,60934150000.0,98371200000.0,102210130000.0,37807436000.0
2072.0,58175443000.0,97347510000.0,98908490000.0,35644043000.0
2073.0,56458977000.0,95796090000.0,96653100000.0,33155052000.0
2074.0,54051550000.0,94627020000.0,95617910000.0,31184423000.0
2075.0,51837936000.0,94146210000.0,94469530000.0,29775546000.0
2076.0,50261385000.0,92164310000.0,93529210000.0,28072604000.0
2077.0,48863478000.0,91564530000.0,92263490000.0,25883111000.0
2078.0,47197184000.0,89664230000.0,91353030000.0,24122714000.0
2079.0,45179294000.0,87338340000.0,90399425000.0,22939945000.0
2080.0,43170685000.0,84796700000.0,88739940000.0,22102530000.0
2081.0,41383473000.0,83758470000.0,87617290000.0,20768258000.0
2082.0,39647797000.0,82195300000.0,86509570000.0,19915495000.0
2083.0,37913760000.0,83010710000.0,85614944000.0,18726132000.0
2084.0,36438778000.0,82891100000.0,85910850000.0,17586807000.0
2085.0,35448800000.0,82743110000.0,85994740000.0,16162635000.0
2086.0,34410672000.0,82012955000.0,85902790000.0,15362935000.0
2087.0,32880374000.0,80924615000.0,85167070000.0,14212655000.0
2088.0,31626326000.0,80484660000.0,85339900000.0,13146477000.0
2089.0,30442244000.0,79619900000.0,84205445000.0,12150842000.0
2090.0,29055396000.0,78564400000.0,83617230000.0,11296573000.0
2091.0,27086287000.0,79143790000.0,82553150000.0,10529146000.0
2092.0,25969887000.0,80250760000.0,82458690000.0,9852115000.0
2093.0,24415123000.0,79579320000.0,81545580000.0,9199539000.0
2094.0,23035754000.0,78973760000.0,81593510000.0,8460647000.0
2095.0,22284052000.0,77729970000.0,80873740000.0,7709616000.0
2096.0,21395020000.0,76182170000.0,80908830000.0,7125309400.0
2097.0,20033055000.0,77319530000.0,80115786000.0,6750700000.0
2098.0,19187907000.0,75939540000.0,79543070000.0,6160527000.0
2099.0,18213663000.0,75935334000.0,79392090000.0,5769641000.0
2100.0,17231208000.0,76182910000.0,78218030000.0,5412378000.0
