time,UKESM1-0-LL,IPSL-CM6A-LR,MRI-ESM2-0,GFDL-ESM4
2000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0
2001.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0
2002.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0
2003.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0
2004.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0
2005.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0
2006.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0
2007.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0
2008.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0
2009.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0
2010.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0
2011.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0
2012.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0
2013.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0
2014.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0
2015.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0
2016.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0
2017.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0
2018.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0
2019.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0
2020.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0
2021.0,40477884000.0,40473223000.0,40549510000.0,40799842000.0
2022.0,40617705000.0,40697090000.0,40421716000.0,40522547000.0
2023.0,40385290000.0,40772930000.0,40432510000.0,40773670000.0
2024.0,40266617000.0,40467235000.0,40277697000.0,40904446000.0
2025.0,40165990000.0,40397730000.0,40235434000.0,40501520000.0
2026.0,40059400000.0,40465850000.0,40178405000.0,40905425000.0
2027.0,40365724000.0,40196194000.0,40140816000.0,40756486000.0
2028.0,39959745000.0,40140340000.0,40107830000.0,40642130000.0
2029.0,40099774000.0,40132710000.0,39967880000.0,40713347000.0
2030.0,39928050000.0,40547394000.0,39862010000.0,40502390000.0
2031.0,39740903000.0,40270050000.0,39720590000.0,40395702000.0
2032.0,39634526000.0,40028400000.0,39661450000.0,40597926000.0
2033.0,39464640000.0,39877390000.0,39513320000.0,40490300000.0
2034.0,39317393000.0,39789640000.0,39389310000.0,40234672000.0
2035.0,39138340000.0,39801967000.0,39228068000.0,40116806000.0
2036.0,39032840000.0,39629990000.0,39018510000.0,40000760000.0
2037.0,38870905000.0,39856456000.0,38827610000.0,40256440000.0
2038.0,38712460000.0,40039444000.0,38606810000.0,40190510000.0
2039.0,38513435000.0,39519654000.0,38444077000.0,39954022000.0
2040.0,38520152000.0,39584170000.0,38193172000.0,39811813000.0
2041.0,38202794000.0,39248646000.0,37929964000.0,39706366000.0
2042.0,37991170000.0,39059970000.0,37828346000.0,39609280000.0
2043.0,37731590000.0,38878210000.0,37789127000.0,39545393000.0
2044.0,37451690000.0,38699820000.0,37614182000.0,39501080000.0
2045.0,37177440000.0,38673290000.0,37373436000.0,40034443000.0
2046.0,36827930000.0,38777373000.0,37139160000.0,39520860000.0
2047.0,36570554000.0,38551155000.0,36913553000.0,39299658000.0
2048.0,36245123000.0,38326720000.0,37086335000.0,39202767000.0
