time,UKESM1-0-LL,MRI-ESM2-0,CNRM-ESM2-1,CANESM5,IPSL-CM6A-LR
2000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0
2001.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0
2002.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0
2003.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0
2004.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0
2005.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0
2006.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0
2007.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0
2008.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0
2009.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0
2010.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0
2011.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0
2012.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0
2013.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0
2014.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0
2015.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0
2016.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0
2017.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0
2018.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0
2019.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0
2020.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0
2021.0,40978470000.0,40604926000.0,41262998000.0,40501096000.0,40904057000.0
2022.0,40637030000.0,40763326000.0,40397170000.0,40418070000.0,40469070000.0
2023.0,40761336000.0,40423645000.0,40393404000.0,40326780000.0,40384356000.0
2024.0,40495153000.0,40367116000.0,40344326000.0,40246837000.0,40577680000.0
2025.0,40363606000.0,40319040000.0,40397520000.0,40082250000.0,40672050000.0
2026.0,40251340000.0,40247185000.0,40235060000.0,40292610000.0,40241906000.0
2027.0,40269853000.0,40187986000.0,40141480000.0,40057725000.0,40304226000.0
2028.0,40157024000.0,40114754000.0,40388846000.0,39852080000.0,40168770000.0
2029.0,40061436000.0,40088430000.0,40369850000.0,39717080000.0,40068256000.0
2030.0,40009134000.0,40082272000.0,40228094000.0,39722357000.0,40044850000.0
2031.0,39880960000.0,40678728000.0,40032866000.0,39576076000.0,40050410000.0
2032.0,40016114000.0,40190510000.0,39941837000.0,39633805000.0,39863940000.0
2033.0,39678956000.0,40048714000.0,39843290000.0,39281500000.0,40379605000.0
2034.0,39614390000.0,39896560000.0,39994495000.0,39137386000.0,39828210000.0
2035.0,39460270000.0,39793922000.0,39706132000.0,39027460000.0,39908940000.0
2036.0,39347982000.0,39880350000.0,39623480000.0,38792086000.0,39713563000.0
2037.0,39174484000.0,39669658000.0,39522630000.0,38645903000.0,39870010000.0
2038.0,39016124000.0,39566610000.0,39463838000.0,38386856000.0,39563575000.0
2039.0,38978830000.0,39462700000.0,39319640000.0,38240180000.0,39835400000.0
2040.0,38674500000.0,39758885000.0,39783400000.0,38106890000.0,39611330000.0
2041.0,38519510000.0,39329330000.0,39086432000.0,37856604000.0,39475540000.0
2042.0,38283235000.0,39221000000.0,39228772000.0,37422182000.0,39379870000.0
2043.0,38117630000.0,39000290000.0,38873390000.0,37012170000.0,39090720000.0
2044.0,37788790000.0,38898500000.0,38762254000.0,36653105000.0,38922280000.0
2045.0,37455077000.0,38757450000.0,38649967000.0,36364145000.0,39037637000.0
2046.0,37147140000.0,38533430000.0,38499790000.0,36031770000.0,38766260000.0
2047.0,36821150000.0,38498337000.0,38309880000.0,35621120000.0,38538010000.0
2048.0,36461560000.0,38220538000.0,38142243000.0,35111408000.0,38333850000.0
2049.0,36077445000.0,38055236000.0,37982437000.0,34707820000.0,38138053000.0
2050.0,35780616000.0,37837914000.0,37986220000.0,34267498000.0,38002900000.0
2051.0,35340366000.0,37748548000.0,37737005000.0,33863102000.0,37890695000.0
2052.0,34859780000.0,37532800000.0,37576765000.0,33364306000.0,37610082000.0
2053.0,34542617000.0,37212340000.0,37462024000.0,32908464000.0,37492548000.0
2054.0,34170620000.0,36901274000.0,37756584000.0,32350454000.0,37169200000.0
2055.0,33624783000.0,36649810000.0,37324763000.0,31851264000.0,36860050000.0
2056.0,33107597000.0,36446593000.0,36968870000.0,31321209000.0,36562830000.0
2057.0,32608030000.0,36211053000.0,36900004000.0,30957343000.0,36441223000.0
2058.0,32085848000.0,35902222000.0,36849488000.0,30612234000.0,36121350000.0
2059.0,31457087000.0,35588645000.0,36852736000.0,30493570000.0,35740373000.0
2060.0,30936652000.0,35527504000.0,36362154000.0,29926337000.0,35469017000.0
2061.0,30472944000.0,35088170000.0,36169605000.0,29317638000.0,35165397000.0
2062.0,29777402000.0,34897035000.0,36622217000.0,28706093000.0,34903052000.0
2063.0,29188720000.0,34548093000.0,35907320000.0,28167856000.0,34475780000.0
2064.0,28607226000.0,34177733000.0,35456070000.0,27688653000.0,34119588000.0
2065.0,27996484000.0,33853985000.0,35059980000.0,27564288000.0,34085860000.0
2066.0,27405750000.0,33486993000.0,36575547000.0,26860632000.0,33530458000.0
