time,MRI-ESM2-0,EC-EARTH3-VEG,GFDL-ESM4,CAMS-CSM1-0
2000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0
2001.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0
2002.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0
2003.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0
2004.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0
2005.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0
2006.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0
2007.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0
2008.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0
2009.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0
2010.0,135132520000.0,135132520000.0,135132520000.0,135132520000.0
2011.0,135000500000.0,135000500000.0,135000500000.0,135000500000.0
2012.0,135152484000.0,135152484000.0,135152484000.0,135152484000.0
2013.0,135690710000.0,135690710000.0,135690710000.0,135690710000.0
2014.0,135068344000.0,135068344000.0,135068344000.0,135068344000.0
2015.0,135738610000.0,135738610000.0,135738610000.0,135738610000.0
2016.0,135067320000.0,135067320000.0,135067320000.0,135067320000.0
2017.0,134759030000.0,134759030000.0,134759030000.0,134759030000.0
2018.0,134884475000.0,134884475000.0,134884475000.0,134884475000.0
2019.0,134834150000.0,134834150000.0,134834150000.0,134834150000.0
2020.0,134823990000.0,134823990000.0,134823990000.0,134823990000.0
2021.0,134658880000.0,134523750000.0,134716970000.0,135113200000.0
2022.0,134511740000.0,134502070000.0,135276160000.0,135940550000.0
2023.0,134528705000.0,134488875000.0,135041110000.0,134896976000.0
2024.0,134626760000.0,134713200000.0,134746940000.0,134988680000.0
2025.0,134205555000.0,134184150000.0,134437810000.0,134595590000.0
2026.0,134073740000.0,134158130000.0,134182030000.0,135085730000.0
2027.0,133735020000.0,134527200000.0,133858450000.0,134895140000.0
2028.0,133626250000.0,133906190000.0,133651060000.0,134198220000.0
2029.0,134294020000.0,133749105000.0,133867220000.0,134036010000.0
2030.0,133865505000.0,133605250000.0,133557560000.0,134104334000.0
2031.0,133665900000.0,133571240000.0,133235600000.0,134820980000.0
2032.0,133483000000.0,133200580000.0,133682840000.0,134204010000.0
2033.0,133476020000.0,133019780000.0,133270490000.0,134153940000.0
2034.0,133041380000.0,132984500000.0,133195280000.0,134364850000.0
2035.0,132858580000.0,132817540000.0,133571270000.0,133969600000.0
2036.0,134369280000.0,132708600000.0,133329890000.0,133846470000.0
2037.0,133630780000.0,132839670000.0,132995650000.0,134040690000.0
2038.0,132793580000.0,132546340000.0,133105570000.0,133870780000.0
2039.0,133172570000.0,132383870000.0,132672480000.0,133767610000.0
2040.0,132553670000.0,132448380000.0,132628510000.0,133395650000.0
2041.0,132404625000.0,132066255000.0,132678140000.0,133379140000.0
2042.0,132076380000.0,132029006000.0,132592320000.0,133157585000.0
2043.0,132186370000.0,131979310000.0,132325670000.0,132883956000.0
2044.0,132025704000.0,131857780000.0,132100006000.0,132908910000.0
2045.0,131812740000.0,131680510000.0,131986310000.0,132831805000.0
2046.0,131900160000.0,131819380000.0,132010205000.0,132663890000.0
2047.0,131548510000.0,131407080000.0,131808640000.0,132763296000.0
2048.0,131593140000.0,131257670000.0,131527550000.0,132873540000.0
2049.0,131723240000.0,131220414000.0,131337445000.0,133431255000.0
2050.0,132559140000.0,131040560000.0,131545120000.0,133517720000.0
2051.0,131269935000.0,130491210000.0,131497970000.0,133063180000.0
2052.0,131247230000.0,130139340000.0,131425034000.0,132830030000.0
2053.0,130974500000.0,130094916000.0,131085600000.0,132592870000.0
2054.0,130700600000.0,130197680000.0,131016640000.0,132588800000.0
2055.0,130397960000.0,129822650000.0,130971070000.0,132625570000.0
2056.0,130291540000.0,129629320000.0,130854850000.0,132298660000.0
2057.0,130044870000.0,129275490000.0,130673630000.0,131959920000.0
