time,GFDL-CM3,CANESM2,CCSM4,CSIRO-MK3-6-0,NORESM1-M,IPSL-CM5A-LR,CESM1-CAM5,MPI-ESM-LR,GFDL-ESM2G,GISS-E2-R,CNRM-CM5
2000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0
2001.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0
2002.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0
2003.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0
2004.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0
2005.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0
2006.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0
2007.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0
2008.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0
2009.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0
2010.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0
2011.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0
2012.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0
2013.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0
2014.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0
2015.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0
2016.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0
2017.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0
2018.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0
2019.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0
2020.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0
2021.0,102754770000.0,104287170000.0,103898600000.0,103469470000.0,104436250000.0,103882700000.0,103983930000.0,102858490000.0,103906710000.0,103672816000.0,103449490000.0
2022.0,98919610000.0,101849140000.0,102877410000.0,101803560000.0,102342170000.0,101734220000.0,100427450000.0,99886710000.0,102935860000.0,103052650000.0,102211084000.0
2023.0,96143925000.0,100126430000.0,101061410000.0,100179760000.0,100357054000.0,98731030000.0,100408350000.0,97723260000.0,100884455000.0,100870560000.0,101150980000.0
2024.0,91838800000.0,98052020000.0,99452310000.0,98471580000.0,98746310000.0,95521960000.0,97224300000.0,96225120000.0,98713990000.0,98923960000.0,100711430000.0
2025.0,87113700000.0,95342940000.0,97123290000.0,96455340000.0,95880544000.0,94278370000.0,96069640000.0,94346280000.0,97804520000.0,97388410000.0,100024870000.0
2026.0,84502670000.0,92194950000.0,95129125000.0,93850190000.0,94173086000.0,93338140000.0,93636740000.0,92757520000.0,95411000000.0,95202320000.0,98316860000.0
2027.0,81487110000.0,89893750000.0,94260870000.0,92261530000.0,91786380000.0,91105470000.0,90887770000.0,90338650000.0,93070870000.0,92949970000.0,95996710000.0
2028.0,77558470000.0,87768015000.0,93223820000.0,89808750000.0,90422410000.0,87969350000.0,90344415000.0,88293450000.0,91550990000.0,90656860000.0,94275030000.0
2029.0,74563490000.0,85339220000.0,91837670000.0,87581610000.0,88545804000.0,85464736000.0,88349336000.0,84746690000.0,90506160000.0,87755820000.0,91710160000.0
2030.0,71389225000.0,83075370000.0,90687350000.0,85101330000.0,86081815000.0,83355080000.0,86418910000.0,82429890000.0,88259764000.0,86312255000.0,91110940000.0
2031.0,67878510000.0,80073780000.0,89732235000.0,83035210000.0,83838484000.0,81535900000.0,83489325000.0,80514170000.0,86875234000.0,85401870000.0,88710595000.0
2032.0,65366040000.0,77899645000.0,88447210000.0,81100260000.0,80501280000.0,79910840000.0,81455780000.0,79030680000.0,83508765000.0,82665740000.0,86558370000.0
2033.0,62116390000.0,76480880000.0,87399440000.0,78773540000.0,78264566000.0,78043980000.0,78851970000.0,76860600000.0,81322670000.0,81574420000.0,85695095000.0
2034.0,58998317000.0,74485950000.0,85880830000.0,76759515000.0,75414266000.0,75795950000.0,77311850000.0,74596960000.0,80768990000.0,79874490000.0,83369140000.0
2035.0,56688590000.0,73082230000.0,84883930000.0,74468170000.0,73842510000.0,73838150000.0,75016060000.0,72132700000.0,79932490000.0,78033430000.0,82155610000.0
2036.0,55345046000.0,70481590000.0,84114784000.0,72046320000.0,72115240000.0,72446700000.0,71940450000.0,70364420000.0,79006196000.0,76207290000.0,79966390000.0
2037.0,52738023000.0,67978908000.0,83354575000.0,69762654000.0,70042560000.0,71022810000.0,70637050000.0,69360460000.0,78203216000.0,74828930000.0,79055640000.0
2038.0,50128617000.0,66047950000.0,81536290000.0,69338380000.0,68155232000.0,68888800000.0,69376336000.0,67423404000.0,76704830000.0,74066125000.0,77010354000.0
2039.0,47875437000.0,63965123000.0,80612794000.0,67439920000.0,66300514000.0,66654770000.0,68437398000.0,65785840000.0,75587900000.0,72808415000.0,74446250000.0
2040.0,45401514000.0,61825650000.0,79047295000.0,66253423000.0,65224167000.0,63102403000.0,66210870000.0,64340190000.0,74466740000.0,71353980000.0,72344674000.0
2041.0,42905920000.0,59959017000.0,77197910000.0,64577397000.0,63555910000.0,60582860000.0,65558480000.0,62308900000.0,72499940000.0,69997280000.0,69422380000.0
2042.0,40686727000.0,58142190000.0,75491790000.0,63022050000.0,61709330000.0,59154407000.0,63914150000.0,61234356000.0,71155196000.0,69592280000.0,68088504000.0
2043.0,38571926000.0,56934180000.0,73595620000.0,61526320000.0,59689513000.0,57716085000.0,62752506000.0,59695540000.0,69060800000.0,68528386000.0,66643940000.0
2044.0,37034540000.0,55849038000.0,72839610000.0,59974430000.0,58853420000.0,56097325000.0,61777430000.0,57990693000.0,68170396000.0,67606110000.0,65594642000.0
2045.0,35516310000.0,53672006000.0,71385720000.0,58666520000.0,58249190000.0,54642913000.0,59374985000.0,56598230000.0,67086336000.0,66351290000.0,64097903000.0
2046.0,33211929000.0,52553183000.0,70122080000.0,57213120000.0,56774240000.0,52098728000.0,57266580000.0,54885820000.0,66071716000.0,65674570000.0,62295314000.0
2047.0,30718075000.0,50583990000.0,69159660000.0,55952420000.0,55617434000.0,50474230000.0,55754994000.0,53269955000.0,64783780000.0,65469473000.0,60816597000.0
2048.0,29042370000.0,48752900000.0,68370498000.0,54764216000.0,54578040000.0,48739295000.0,54572920000.0,51734966000.0,63563616000.0,64398533000.0,59259990000.0
2049.0,27541627000.0,47151580000.0,66425168000.0,53750768000.0,53503066000.0,47209890000.0,53209137000.0,50386534000.0,62684240000.0,64290922000.0,58521200000.0
2050.0,26483763000.0,45801060000.0,65929806000.0,52531892000.0,52622586000.0,45350494000.0,51255103000.0,48944742000.0,62034067000.0,62509138000.0,57697276000.0
2051.0,25031270000.0,44396597000.0,64872450000.0,51001733000.0,51244790000.0,43358410000.0,50427798000.0,47727395000.0,60989833000.0,62550876000.0,55833387000.0
2052.0,24116110000.0,43132514000.0,63330850000.0,49999650000.0,49676177000.0,41955920000.0,49313255000.0,46410035000.0,60956246000.0,61636727000.0,53792600000.0
2053.0,23308220000.0,42396450000.0,62375010000.0,48801235000.0,48756290000.0,40621224000.0,47527866000.0,45776220000.0,61635047000.0,60733870000.0,52275855000.0
2054.0,21949633000.0,41455518000.0,61666726000.0,47348687000.0,47109784000.0,39751870000.0,46049337000.0,44732776000.0,61659990000.0,60075590000.0,51429690000.0
2055.0,21098025000.0,40784134000.0,60492284000.0,45750150000.0,45800563000.0,39701670000.0,45302338000.0,44011490000.0,62532563000.0,60290507000.0,50475893000.0
2056.0,20389183000.0,39904522000.0,59623160000.0,45085393000.0,44889194000.0,38527050000.0,44721488000.0,42892050000.0,62863220000.0,60600620000.0,49487634000.0
2057.0,19504861000.0,38895546000.0,59172856000.0,44393615000.0,44022338000.0,37984010000.0,42758816000.0,42985710000.0,63529685000.0,60555090000.0,48573133000.0
2058.0,18936177000.0,37629706000.0,57909230000.0,43559870000.0,42862550000.0,36933800000.0,41903124000.0,42357520000.0,62876873000.0,60214220000.0,48713347000.0
2059.0,18293154000.0,37319975000.0,58153304000.0,43284677000.0,41624530000.0,36485775000.0,40671228000.0,41735823000.0,62758460000.0,59647190000.0,47722664000.0
2060.0,17818820000.0,35613710000.0,56833620000.0,42600260000.0,41055150000.0,36016374000.0,39759530000.0,41161340000.0,62365962000.0,58513715000.0,46827910000.0
