time,CSIRO-MK3-6-0,NORESM1-M,GFDL-CM3,CCSM4,CANESM2,GISS-E2-R,CNRM-CM5,IPSL-CM5A-LR,GFDL-ESM2G,MPI-ESM-LR
2028.0,93190930000.0,84925240000.0,82517524000.0,90602920000.0,84699520000.0,93198690000.0,92056220000.0,87336250000.0,94076030000.0,95637330000.0
2029.0,91521060000.0,81288160000.0,79510970000.0,87255080000.0,81510730000.0,91510180000.0,90670060000.0,85380720000.0,91426730000.0,93062636000.0
2030.0,90027110000.0,77097484000.0,76812790000.0,85224990000.0,79412085000.0,89524110000.0,89196250000.0,81476580000.0,89083700000.0,92454370000.0
2031.0,88824660000.0,74223680000.0,73632236000.0,81799760000.0,76539710000.0,86910550000.0,87556030000.0,78501480000.0,87520050000.0,91868275000.0
2032.0,88233665000.0,71319400000.0,70783280000.0,79680496000.0,73864070000.0,85449966000.0,87304350000.0,75963376000.0,85120790000.0,89628260000.0
2033.0,85826640000.0,68766040000.0,68136980000.0,77412140000.0,71232130000.0,83327080000.0,85802205000.0,73046090000.0,82757500000.0,88340650000.0
2034.0,83095110000.0,66463343000.0,65448514000.0,74773220000.0,68995514000.0,80551130000.0,83894714000.0,70659720000.0,81102864000.0,86204390000.0
2035.0,81400740000.0,63773856000.0,62437827000.0,73165430000.0,65927893000.0,78827495000.0,82427830000.0,68911630000.0,79768460000.0,85341940000.0
2036.0,80673640000.0,60910080000.0,59299640000.0,70555430000.0,63101563000.0,76898810000.0,80287736000.0,65888264000.0,78644310000.0,83263590000.0
2037.0,77180950000.0,58435994000.0,57450918000.0,68575773000.0,60610544000.0,75208890000.0,78737320000.0,64149020000.0,77008820000.0,81432870000.0
2038.0,75727454000.0,55916216000.0,54410252000.0,66011090000.0,58751574000.0,72327120000.0,76929540000.0,61492777000.0,75515250000.0,79690380000.0
2039.0,74323790000.0,54341206000.0,51588362000.0,65032245000.0,56063640000.0,69733270000.0,75686355000.0,59485280000.0,74227740000.0,76825450000.0
2040.0,72314950000.0,51781770000.0,48814510000.0,61758878000.0,54278010000.0,67569385000.0,73959980000.0,57123496000.0,71451090000.0,75593966000.0
2041.0,70098630000.0,49116496000.0,46100406000.0,59199710000.0,51443974000.0,65696367000.0,71700490000.0,54858570000.0,68484833000.0,72523416000.0
2042.0,68465054000.0,46771770000.0,43520823000.0,56402035000.0,49255535000.0,63924720000.0,70618420000.0,52004442000.0,66820060000.0,71496730000.0
2043.0,65962080000.0,44656038000.0,41261322000.0,54395550000.0,47060742000.0,62387306000.0,68427825000.0,49921420000.0,64802558000.0,70044410000.0
2044.0,64008585000.0,42719770000.0,38979174000.0,53094154000.0,44465975000.0,60396573000.0,66859827000.0,47517610000.0,63704830000.0,67812168000.0
2045.0,62897082000.0,40865473000.0,36549230000.0,50304418000.0,42178367000.0,58271547000.0,64579592000.0,44890997000.0,61315830000.0,66745418000.0
2046.0,61496440000.0,38237884000.0,34607297000.0,48147214000.0,39733293000.0,56716540000.0,62194580000.0,42052952000.0,58703032000.0,64724110000.0
2047.0,58715517000.0,36523213000.0,32443593000.0,45879740000.0,37177720000.0,54599336000.0,59710132000.0,40286327000.0,56852880000.0,62788657000.0
2048.0,56729240000.0,35257380000.0,30344042000.0,43748594000.0,34834910000.0,53155710000.0,58062350000.0,38953470000.0,54607286000.0,60424237000.0
2049.0,55517380000.0,33429860000.0,28258505000.0,42318184000.0,32620116000.0,50634310000.0,55958750000.0,36589110000.0,52294310000.0,57950120000.0
2050.0,53467670000.0,31963720000.0,26668847000.0,40730223000.0,30869762000.0,49224786000.0,53727674000.0,34702352000.0,51240760000.0,56116613000.0
2051.0,51468845000.0,30954070000.0,24796742000.0,39019168000.0,29482613000.0,47759120000.0,51977445000.0,32655989000.0,49771725000.0,54935190000.0
2052.0,50430660000.0,29747257000.0,23063150000.0,37445870000.0,28050410000.0,45888830000.0,49561360000.0,30993983000.0,48327790000.0,54010190000.0
2053.0,48572953000.0,28357431000.0,21582334000.0,35376070000.0,26653470000.0,43068432000.0,48558547000.0,29297740000.0,46890840000.0,51717940000.0
2054.0,46093095000.0,27625499000.0,20448705000.0,34119485000.0,25400550000.0,40983580000.0,46185190000.0,27641008000.0,46096953000.0,50174804000.0
2055.0,44164776000.0,26554958000.0,19114602000.0,32950888000.0,23973888000.0,39148687000.0,44646010000.0,26383710000.0,44437820000.0,48789086000.0
2056.0,43041890000.0,25395993000.0,17722364000.0,30972144000.0,22751027000.0,38270996000.0,43033410000.0,24797520000.0,42775654000.0,46788850000.0
2057.0,41632326000.0,24245211000.0,16588472000.0,29379930000.0,21898750000.0,37040830000.0,41186520000.0,23162150000.0,40536007000.0,45943490000.0
2058.0,39571567000.0,23481838000.0,15334473000.0,27958348000.0,20952904000.0,35872145000.0,40277053000.0,21942620000.0,39526162000.0,45033562000.0
2059.0,37897390000.0,22231040000.0,14484134000.0,26631805000.0,19666037000.0,34057234000.0,38883963000.0,20814338000.0,38456336000.0,43345154000.0
2060.0,36539085000.0,21371562000.0,13521221000.0,25484007000.0,18814362000.0,32942926000.0,37627860000.0,19721105000.0,37496630000.0,40794427000.0
2061.0,35297853000.0,20875090000.0,12564277000.0,23990315000.0,17894253000.0,32101335000.0,35823660000.0,18734830000.0,36328608000.0,39460282000.0
2062.0,34210509000.0,19815225000.0,11648512000.0,22832070000.0,16789987000.0,31255702000.0,34678526000.0,17820002000.0,35080400000.0,38430880000.0
2063.0,32991930000.0,18907480000.0,10933144000.0,21752950000.0,16000736000.0,29888068000.0,32489925000.0,17045788000.0,33765382000.0,36978590000.0
2064.0,31233194000.0,17840910000.0,10372170000.0,20658911000.0,15442958000.0,29407146000.0,30823262000.0,16481650000.0,32988123000.0,36106760000.0
2065.0,30027993000.0,17035196000.0,9839653000.0,19642302000.0,14392467000.0,28553935000.0,29656484000.0,15800647000.0,31922210000.0,34905154000.0
2066.0,28313299000.0,16283065000.0,9297317000.0,18516599000.0,13982252000.0,27358826000.0,27911369000.0,15024611000.0,30905025000.0,33806025000.0
2067.0,27212761000.0,15472993000.0,8912330000.0,17886714000.0,13623288000.0,26372114000.0,26311694000.0,14252350000.0,29506781000.0,32948138000.0
2068.0,26062029000.0,14884507000.0,8371363300.0,17147098000.0,13035248000.0,25744523000.0,25084772000.0,13686532000.0,28414708000.0,31955153000.0
2069.0,24766839000.0,14123303000.0,7998102000.0,16441937000.0,12589542000.0,25522917000.0,24029932000.0,13118998000.0,27422847000.0,30780770000.0
2070.0,23570487000.0,13606808000.0,7684633600.0,15906532000.0,12144262000.0,24846662000.0,22914250000.0,12402204000.0,26065723000.0,30106300000.0
2071.0,22782237000.0,13004794000.0,7443014700.0,14944507000.0,11696432000.0,24072808000.0,21580399000.0,11794402000.0,25175319000.0,29070514000.0
2072.0,21832063000.0,12451807000.0,7175519700.0,14289190000.0,11297902000.0,23716100000.0,20726360000.0,11294087000.0,24166816000.0,28387643000.0
2073.0,21000016000.0,11982757000.0,6922743300.0,13799890000.0,11029599000.0,23052510000.0,19971797000.0,10884932000.0,23212628000.0,27529570000.0
2074.0,19778114000.0,11429535000.0,6688177000.0,13244875000.0,10729071000.0,22293873000.0,19105223000.0,10275753000.0,22240823000.0,26644700000.0
2075.0,19203450000.0,10864894000.0,6479564300.0,12764199000.0,10356256000.0,21689342000.0,18164201000.0,9951965000.0,21689990000.0,25648863000.0
2076.0,18159948000.0,10502939000.0,6249706500.0,12273099000.0,10084108000.0,21424632000.0,17296794000.0,9543098000.0,20688148000.0,24758020000.0
2077.0,16947465000.0,10032502000.0,6007943000.0,11676919000.0,9746191000.0,20963103000.0,16294881000.0,9133588000.0,20063480000.0,23684336000.0
2078.0,16244467000.0,9726809000.0,5828538000.0,11202195000.0,9559080000.0,20403400000.0,15927954000.0,8659565000.0,19298136000.0,22660174000.0
2079.0,15346732000.0,9490131000.0,5602239000.0,10827162000.0,9325474000.0,19901776000.0,15289615000.0,8212480000.0,18628760000.0,21342155000.0
2080.0,14754828000.0,9146522000.0,5481285000.0,10451584000.0,8981905000.0,19656212000.0,14491140000.0,7916581000.0,17836368000.0,20275323000.0
2081.0,14243393000.0,8868088000.0,5272576500.0,10111388000.0,8658189000.0,18967802000.0,13701835000.0,7577526300.0,17128202000.0,19572673000.0
2082.0,13609540000.0,8590512000.0,5086273500.0,9785612000.0,8319150600.0,18642055000.0,13084246000.0,7229201400.0,16555439000.0,18935640000.0
2083.0,13031842000.0,8277515300.0,4880803000.0,9441727000.0,8159883000.0,18402836000.0,12672322000.0,6960214500.0,15875222000.0,18298240000.0
2084.0,12410290000.0,8163015700.0,4765244000.0,9184031000.0,7965063000.0,18128212000.0,11968813000.0,6652658000.0,15504016000.0,17465053000.0
2085.0,12020820000.0,7916225000.0,4531953000.0,8938722000.0,7664310300.0,17874020000.0,11357652000.0,6434977000.0,14960445000.0,16805922000.0
2086.0,11538905000.0,7741803000.0,4318499000.0,8670658000.0,7479298600.0,17552814000.0,10938141000.0,6198668300.0,14418735000.0,15914729000.0
2087.0,11057353000.0,7532044300.0,4159031600.0,8454985000.0,7248589000.0,17339623000.0,10576383000.0,5970015700.0,14201720000.0,15456939000.0
2088.0,10761450000.0,7328844300.0,4030603000.0,8226173400.0,7006824400.0,16936506000.0,10135558000.0,5744376000.0,13841249000.0,14654168000.0
2089.0,10406531000.0,7099149300.0,3874175500.0,8018651600.0,6869305300.0,16336174000.0,10002072000.0,5496638000.0,13128712000.0,14074193000.0
2090.0,10063173000.0,6827882500.0,3736028700.0,7741758000.0,6695120000.0,15858735000.0,9589376000.0,5297859000.0,12858056000.0,13482459000.0
2091.0,9708512000.0,6685804000.0,3669584100.0,7494988000.0,6462191000.0,15562503000.0,9165809000.0,5128586000.0,12332561000.0,12874022000.0
2092.0,9520113000.0,6411885000.0,3520612400.0,7250541000.0,6222390000.0,15050547000.0,8775186000.0,4956340000.0,11957507000.0,11992809000.0
2093.0,9258594000.0,6216773000.0,3388788700.0,7087835000.0,6052893000.0,14563588000.0,8436785000.0,4818374700.0,11482732000.0,11355171000.0
2094.0,9015749000.0,6001609000.0,3245553000.0,6869564000.0,5882017300.0,14266178000.0,8088193500.0,4624237000.0,11044114000.0,11037372000.0
2095.0,8714636000.0,5909446700.0,3121426000.0,6675811000.0,5757232000.0,13858348000.0,7839789600.0,4500325000.0,10820037000.0,10646612000.0
2096.0,8496783400.0,5750112000.0,3005860600.0,6613975600.0,5517710000.0,13583558000.0,7595518500.0,4345953000.0,10538986000.0,10099470000.0
2097.0,8378232300.0,5614819300.0,2889325600.0,6345062000.0,5319081500.0,13424258000.0,7340068000.0,4181845200.0,10194463000.0,9680208000.0
2098.0,8052283000.0,5427077000.0,2787401200.0,6137424400.0,5219110000.0,13033015000.0,7066672600.0,4073524200.0,9784900000.0,9327586000.0
2099.0,7864636400.0,5289796600.0,2640287000.0,5958293000.0,5015937000.0,12886263000.0,6792278500.0,3972954600.0,9530481000.0,9060292000.0
2100.0,7665694700.0,5196432400.0,2551937500.0,5699005400.0,4888914400.0,12428038000.0,6618944500.0,3869598200.0,9148016000.0,8884216000.0
