time,CAMS-CSM1-0,ACCESS-ESM1-5,BCC-CSM2-MR,INM-CM4-8,FGOALS-F3-L,EC-EARTH3,TAIESM1,MRI-ESM2-0,INM-CM5-0,CESM2,CESM2-WACCM,EC-EARTH3-VEG,NORESM2-MM,CANESM5,CMCC-CM2-SR5,MPI-ESM1-2-HR,GFDL-ESM4,IPSL-CM6A-LR,ACCESS-CM2
2016.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0
2017.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0
2018.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0
2019.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0
2020.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0
2021.0,4672450500000.0,4659111000000.0,4668148700000.0,4684065500000.0,4655363400000.0,4654888000000.0,4657170000000.0,4675924400000.0,4666416000000.0,4672200400000.0,4647990000000.0,4670047000000.0,4645417000000.0,4682100500000.0,4657410000000.0,4691420000000.0,4659104000000.0,4657658000000.0,4638166000000.0
2022.0,4652736000000.0,4632540000000.0,4632410000000.0,4662004000000.0,4615659600000.0,4628708000000.0,4627575000000.0,4651484700000.0,4649590000000.0,4648917300000.0,4599071600000.0,4647118400000.0,4616533600000.0,4641086000000.0,4645018000000.0,4674911000000.0,4635897000000.0,4624104000000.0,4591678000000.0
2023.0,4626927000000.0,4618098600000.0,4598105400000.0,4637237700000.0,4587112600000.0,4598379000000.0,4581922000000.0,4633896400000.0,4624829400000.0,4617197000000.0,4556008000000.0,4623871000000.0,4603621000000.0,4615197700000.0,4643354600000.0,4652442000000.0,4615823700000.0,4601893000000.0,4572275000000.0
2024.0,4586282000000.0,4590045500000.0,4560775000000.0,4606655000000.0,4555293000000.0,4565479500000.0,4539080000000.0,4629246000000.0,4583317000000.0,4600438500000.0,4516393000000.0,4594796000000.0,4570739600000.0,4573529000000.0,4623018500000.0,4629010600000.0,4582817700000.0,4595270500000.0,4545724300000.0
2025.0,4547269000000.0,4556791000000.0,4530428000000.0,4578316600000.0,4513611600000.0,4555326600000.0,4493931400000.0,4604950000000.0,4561089000000.0,4571187000000.0,4470087000000.0,4558962000000.0,4517257500000.0,4545774000000.0,4607958300000.0,4601543700000.0,4542636000000.0,4565124000000.0,4517561000000.0
2026.0,4514590000000.0,4513063000000.0,4500576300000.0,4547906400000.0,4477327000000.0,4504816000000.0,4456029000000.0,4587337000000.0,4540918000000.0,4554547500000.0,4417404000000.0,4523110700000.0,4452370000000.0,4527874400000.0,4594364600000.0,4589287000000.0,4494773500000.0,4516607400000.0,4486971500000.0
2027.0,4494055700000.0,4473779400000.0,4474410000000.0,4516996000000.0,4460207700000.0,4461045500000.0,4432231000000.0,4572028000000.0,4519706500000.0,4531745700000.0,4400119000000.0,4509125300000.0,4429137300000.0,4483161000000.0,4579040700000.0,4561374000000.0,4447866000000.0,4488669700000.0,4465732600000.0
2028.0,4470611000000.0,4463443000000.0,4450805600000.0,4481179700000.0,4407334300000.0,4409482300000.0,4394012400000.0,4525571000000.0,4485539000000.0,4510804600000.0,4378359200000.0,4484781000000.0,4401687000000.0,4431980000000.0,4548291700000.0,4540037300000.0,4416696000000.0,4466621000000.0,4412436000000.0
2029.0,4457342400000.0,4444795700000.0,4407325400000.0,4440083400000.0,4333864000000.0,4384666200000.0,4350240400000.0,4506611400000.0,4476760500000.0,4476231000000.0,4341498400000.0,4449466000000.0,4390153400000.0,4407295000000.0,4528989500000.0,4516344000000.0,4382176800000.0,4430861000000.0,4361675600000.0
2030.0,4431828000000.0,4402188000000.0,4364343700000.0,4413768000000.0,4295146900000.0,4343050000000.0,4313645300000.0,4478010000000.0,4460473000000.0,4441088500000.0,4318038900000.0,4434595700000.0,4392388400000.0,4398351600000.0,4484542000000.0,4489484000000.0,4343648700000.0,4372428000000.0,4332127500000.0
2031.0,4422940000000.0,4365565300000.0,4312251800000.0,4398091000000.0,4239944800000.0,4309258600000.0,4278392000000.0,4448150600000.0,4437385000000.0,4411345600000.0,4298943500000.0,4422596300000.0,4361246700000.0,4369649000000.0,4456935600000.0,4471631000000.0,4304007600000.0,4338711000000.0,4299794200000.0
2032.0,4390687600000.0,4320753400000.0,4280583000000.0,4370969400000.0,4173769500000.0,4283526000000.0,4242045100000.0,4430277600000.0,4425994000000.0,4400229600000.0,4262667500000.0,4396270200000.0,4308590100000.0,4323123700000.0,4428733600000.0,4441732300000.0,4268982500000.0,4294991400000.0,4244385800000.0
2033.0,4365544600000.0,4285642600000.0,4232834700000.0,4343309000000.0,4143123300000.0,4239600600000.0,4205280200000.0,4423114000000.0,4401405600000.0,4366022700000.0,4234242200000.0,4372961200000.0,4277282000000.0,4294862700000.0,4426482000000.0,4420693000000.0,4230293500000.0,4255494200000.0,4194031400000.0
