time,GFDL-ESM4,EC-EARTH3-VEG,MRI-ESM2-0,CAMS-CSM1-0
2085.0,3739750500000.0,3336204200000.0,3636871300000.0,3687025000000.0
2086.0,3733480800000.0,3331984000000.0,3637695000000.0,3663389800000.0
2087.0,3723702000000.0,3326309800000.0,3633714000000.0,3636584800000.0
2088.0,3712897300000.0,3329019300000.0,3626436700000.0,3635805200000.0
2089.0,3704738500000.0,3317934900000.0,3623242700000.0,3633447000000.0
2090.0,3704247000000.0,3308013000000.0,3620501200000.0,3625868600000.0
2091.0,3705048000000.0,3300265300000.0,3615661500000.0,3609093500000.0
2092.0,3698138500000.0,3301258800000.0,3602310500000.0,3611861000000.0
2093.0,3705069600000.0,3288490300000.0,3599391500000.0,3603263400000.0
2094.0,3709462000000.0,3280793200000.0,3581592200000.0,3600395000000.0
2095.0,3732166100000.0,3265893000000.0,3580978300000.0,3593125800000.0
2096.0,3753876700000.0,3258290500000.0,3571603500000.0,3592044700000.0
2097.0,3751898000000.0,3245021600000.0,3554512700000.0,3591343000000.0
2098.0,3743160000000.0,3221822600000.0,3552876700000.0,3588006300000.0
2099.0,3744484300000.0,3205368600000.0,3550329400000.0,3583202800000.0
2100.0,3748379000000.0,3217220200000.0,3544981200000.0,3584215700000.0
