time,CAMS-CSM1-0,EC-EARTH3-VEG,BCC-CSM2-MR,INM-CM4-8,FGOALS-F3-L,MRI-ESM2-0,MPI-ESM1-2-HR,EC-EARTH3,INM-CM5-0,CESM2,CESM2-WACCM,CMCC-CM2-SR5,GFDL-ESM4,NORESM2-MM
2000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0
2001.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0
2002.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0
2003.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0
2004.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0
2005.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0
2006.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0
2007.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0
2008.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0
2009.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0
2010.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0
2011.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0
2012.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0
2013.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0
2014.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0
2015.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0
2016.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0
2017.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0
2018.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0
2019.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0
2020.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0
2021.0,87786120000.0,88465590000.0,87162950000.0,88227450000.0,86966985000.0,88427500000.0,84923590000.0,86413050000.0,90146420000.0,89042125000.0,87352164000.0,81445950000.0,89525150000.0,84965360000.0
2022.0,86613530000.0,86752250000.0,84799955000.0,85719820000.0,85518975000.0,82373470000.0,80202080000.0,85496136000.0,84728820000.0,84699415000.0,85954600000.0,76676460000.0,86391190000.0,82474880000.0
2023.0,83354520000.0,85862720000.0,81748710000.0,80108300000.0,80892355000.0,78567600000.0,77080710000.0,82444460000.0,80228290000.0,82205565000.0,86777940000.0,77226780000.0,84179870000.0,79735200000.0
2024.0,80060826000.0,82103760000.0,75446260000.0,76384280000.0,80348310000.0,75349610000.0,78715765000.0,78606280000.0,77298610000.0,77375570000.0,84258630000.0,78842340000.0,80281710000.0,76487220000.0
2025.0,81560720000.0,81671040000.0,73803770000.0,71459890000.0,78478295000.0,71327890000.0,77229150000.0,74427830000.0,77083330000.0,73837780000.0,80605190000.0,77323470000.0,79350080000.0,74616095000.0
2026.0,80897790000.0,78637520000.0,71334770000.0,69195880000.0,75659590000.0,66588316000.0,69816860000.0,72014100000.0,74676870000.0,68685320000.0,78477795000.0,76180940000.0,78569220000.0,71769500000.0
2027.0,82242210000.0,76815400000.0,67999110000.0,68563284000.0,71725770000.0,65125323000.0,66795155000.0,68789620000.0,72910340000.0,67469950000.0,76429800000.0,75508500000.0,74735090000.0,70853180000.0
2028.0,78165720000.0,72623490000.0,65912193000.0,67284170000.0,70161280000.0,62560825000.0,63708050000.0,66300015000.0,70115254000.0,66901434000.0,76128630000.0,74808164000.0,76746580000.0,67264487000.0
2029.0,76301990000.0,71702800000.0,63053935000.0,68783194000.0,67824360000.0,59125174000.0,61640050000.0,63463110000.0,67188855000.0,59666604000.0,73896830000.0,75100350000.0,74567220000.0,65115857000.0
2030.0,76455710000.0,66989680000.0,59361240000.0,66389635000.0,65653916000.0,56216800000.0,58812370000.0,62099440000.0,60950733000.0,59994075000.0,71167270000.0,73836020000.0,72179876000.0,61354807000.0
2031.0,74396510000.0,64448745000.0,56382200000.0,61558370000.0,61837400000.0,53390483000.0,57826066000.0,59309797000.0,56562210000.0,57030650000.0,68381123000.0,73276840000.0,69920500000.0,59812418000.0
2032.0,73555350000.0,63650222000.0,52135477000.0,60668120000.0,60511826000.0,52498747000.0,56847990000.0,56004653000.0,54772933000.0,58206642000.0,67854774000.0,70568100000.0,65870630000.0,56988766000.0
2033.0,71664780000.0,61211582000.0,48759720000.0,57649130000.0,58527932000.0,49879480000.0,51934556000.0,54311318000.0,56025650000.0,58456000000.0,64935993000.0,70309370000.0,64470880000.0,52727443000.0
2034.0,72908530000.0,59298734000.0,45409360000.0,55096726000.0,57569583000.0,48110360000.0,50716510000.0,52531184000.0,53336162000.0,58303926000.0,64072626000.0,71241400000.0,63999304000.0,52690260000.0
2035.0,71523350000.0,57498567000.0,44877226000.0,55837850000.0,56175510000.0,46292275000.0,49504070000.0,50936930000.0,49763107000.0,55037415000.0,62057353000.0,66879283000.0,61908673000.0,49451123000.0
2036.0,69275120000.0,56179280000.0,41977650000.0,52458130000.0,53854260000.0,44264858000.0,49393955000.0,48820273000.0,48643826000.0,50866487000.0,57162023000.0,62990385000.0,59437453000.0,47401697000.0
2037.0,68813020000.0,53505958000.0,38896304000.0,49465786000.0,52116620000.0,41779122000.0,49454770000.0,47610950000.0,48033964000.0,49853006000.0,55214776000.0,62830117000.0,58335252000.0,46985753000.0
2038.0,66794435000.0,51895750000.0,38081130000.0,46297133000.0,52016690000.0,40602423000.0,49871990000.0,45938430000.0,46263734000.0,47906300000.0,55260266000.0,61820120000.0,57719340000.0,45583905000.0
2039.0,64177560000.0,52113120000.0,35396493000.0,44978730000.0,49093427000.0,39481250000.0,47038700000.0,45148172000.0,43574020000.0,45840515000.0,54752310000.0,60532330000.0,57720685000.0,44646080000.0
2040.0,60320444000.0,49511617000.0,34468508000.0,42778157000.0,48111178000.0,38386774000.0,45856310000.0,42560508000.0,39595610000.0,43022447000.0,53920944000.0,56567640000.0,55977705000.0,42616775000.0
2041.0,58944872000.0,48534770000.0,33952370000.0,40344060000.0,46164144000.0,36408267000.0,43430710000.0,40238526000.0,39135666000.0,40061174000.0,51345340000.0,54852610000.0,55234690000.0,42138796000.0
2042.0,56866505000.0,46552752000.0,31559020000.0,39143370000.0,42988757000.0,34508510000.0,43010320000.0,37660344000.0,38912270000.0,38218727000.0,49567162000.0,53062463000.0,54354104000.0,40287890000.0
2043.0,56019427000.0,43973980000.0,29020790000.0,36227910000.0,41313690000.0,33143673000.0,39650726000.0,34546790000.0,38127006000.0,36480143000.0,47165608000.0,50195570000.0,54503310000.0,38289195000.0
2044.0,55155470000.0,41428673000.0,27722633000.0,34874315000.0,41068920000.0,31543919000.0,40430110000.0,32916791000.0,37691760000.0,34221367000.0,44238967000.0,49425027000.0,54217114000.0,37692584000.0
2045.0,54905840000.0,39338672000.0,26841151000.0,32493361000.0,38822360000.0,31145570000.0,37473400000.0,32558936000.0,37922430000.0,34516440000.0,43470426000.0,49019396000.0,52675010000.0,34370130000.0
2046.0,52770697000.0,38842270000.0,26513474000.0,31092009000.0,36952470000.0,30076490000.0,36764123000.0,31996813000.0,37247607000.0,33944762000.0,43477710000.0,44830798000.0,51446256000.0,32543162000.0
