time,ACCESS-CM2,CANESM5,CMCC-CM2-SR5,GFDL-ESM4,NORESM2-MM,IPSL-CM6A-LR,CESM2-WACCM,INM-CM5-0,ACCESS-ESM1-5,CESM2,MRI-ESM2-0,MPI-ESM1-2-HR,TAIESM1,EC-EARTH3,INM-CM4-8,FGOALS-F3-L,BCC-CSM2-MR,CAMS-CSM1-0,EC-EARTH3-VEG
2000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0
2001.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0
2002.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0
2003.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0
2004.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0
2005.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0
2006.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0
2007.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0
2008.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0
2009.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0
2010.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0
2011.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0
2012.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0
2013.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0
2014.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0
2015.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0
2016.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0
2017.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0
2018.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0
2019.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0
2020.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0
2021.0,88745030000.0,87049570000.0,90056060000.0,88563350000.0,86619005000.0,89058270000.0,89478136000.0,86713740000.0,86248440000.0,89321090000.0,87667240000.0,91766690000.0,88655910000.0,87833900000.0,87039630000.0,89113730000.0,90176184000.0,88729190000.0,87048040000.0
2022.0,84183700000.0,82611730000.0,89077400000.0,88548060000.0,83071910000.0,83909220000.0,88115520000.0,85173420000.0,82754660000.0,91199140000.0,83817330000.0,90952770000.0,87204720000.0,85406925000.0,83908540000.0,85745530000.0,87301740000.0,87625245000.0,84714275000.0
2023.0,81939020000.0,81025430000.0,89502170000.0,86324190000.0,78722250000.0,83093580000.0,87962300000.0,82813534000.0,83192170000.0,91348210000.0,82347540000.0,86657520000.0,83792265000.0,81761300000.0,82836900000.0,83917350000.0,85344270000.0,85662310000.0,82972760000.0
2024.0,79221280000.0,81578030000.0,85520564000.0,83569480000.0,75521640000.0,78776880000.0,85267685000.0,80274120000.0,78969470000.0,92027450000.0,79542680000.0,84708680000.0,79113260000.0,78287086000.0,81906230000.0,83070390000.0,81319410000.0,85316740000.0,80476850000.0
2025.0,76514180000.0,79268800000.0,84750710000.0,81925520000.0,72788810000.0,78014054000.0,86837440000.0,79525410000.0,75990470000.0,88358070000.0,76435870000.0,80019790000.0,76081170000.0,75799910000.0,77927650000.0,81756460000.0,80213610000.0,86145860000.0,80260960000.0
2026.0,76407366000.0,76697300000.0,82068770000.0,80913270000.0,69915010000.0,75733640000.0,84707790000.0,76547826000.0,74766820000.0,85405060000.0,72815750000.0,81491034000.0,74989520000.0,71304400000.0,76160290000.0,78865700000.0,78116000000.0,87220535000.0,76633960000.0
2027.0,72646880000.0,75365700000.0,80457335000.0,77071980000.0,70020390000.0,72893330000.0,81409490000.0,71923780000.0,73927614000.0,84087456000.0,70415440000.0,78558350000.0,70486010000.0,68134253000.0,74084370000.0,76095660000.0,77975765000.0,88115640000.0,72458306000.0
2028.0,69430200000.0,72043815000.0,78233080000.0,76149465000.0,67143970000.0,71770430000.0,74728055000.0,68667620000.0,71674670000.0,77643880000.0,66515653000.0,77203240000.0,67292150000.0,64903700000.0,72213430000.0,74921520000.0,75447690000.0,85947540000.0,69940180000.0
2029.0,66636796000.0,71087060000.0,76686600000.0,72053826000.0,64620490000.0,70612260000.0,72424220000.0,63014207000.0,69195830000.0,73783050000.0,63664067000.0,74849630000.0,64539680000.0,59528585000.0,67575726000.0,72154370000.0,74925105000.0,83559420000.0,65397772000.0
