time,MIROC6,MRI-ESM2-0,IITM-ESM,KACE-1-0-G,MPI-ESM1-2-HR,CNRM-ESM2-1,UKESM1-0-LL,TAIESM1,IPSL-CM6A-LR,CESM2-WACCM,EC-EARTH3,CNRM-CM6-1,CANESM5,GFDL-ESM4
2000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0
2001.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0
2002.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0
2003.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0
2004.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0
2005.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0
2006.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0
2007.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0
2008.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0
2009.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0
2010.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0
2011.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0
2012.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0
2013.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0
2014.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0
2015.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0
2016.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0
2017.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0
2018.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0
2019.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0
2020.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0
2021.0,13750772000.0,13788293000.0,14504239000.0,13702897000.0,13928684000.0,13709820000.0,13738509000.0,13871453000.0,13749884000.0,13773421000.0,13785793000.0,14058247000.0,13747992000.0,13920455000.0
2022.0,13631772000.0,13762679000.0,14269643000.0,13534747000.0,13771207000.0,13611990000.0,13609274000.0,13652283000.0,13573496000.0,13515606000.0,13593209000.0,13969232000.0,13594105000.0,13898900000.0
2023.0,13585905000.0,13570704000.0,13927449000.0,13294676000.0,13620610000.0,13485800000.0,13351152000.0,13493089000.0,13402670000.0,13319089000.0,13395521000.0,13659395000.0,13423366000.0,13806416000.0
2024.0,13452727000.0,13398855000.0,13681593000.0,12983382000.0,13498436000.0,13344768000.0,13087210000.0,13364345000.0,13246849000.0,13299205000.0,13266066000.0,13571326000.0,13218668000.0,13818541000.0
2025.0,13404390000.0,13070660000.0,14025879000.0,12702685000.0,13354493000.0,13102722000.0,12977759000.0,13185283000.0,13087958000.0,12872707000.0,13588898000.0,13360018000.0,13002385000.0,14247234000.0
2026.0,13183795000.0,12806447000.0,13905670000.0,12137688000.0,13251529000.0,12958407000.0,12628090000.0,13104146000.0,12788877000.0,12630203000.0,12947727000.0,13242278000.0,12756465000.0,13743186000.0
2027.0,13011796000.0,12709895000.0,13488299000.0,11565194000.0,13300995000.0,12785398000.0,12397188000.0,12947701000.0,12592095000.0,12351079000.0,12748245000.0,13136103000.0,12526038000.0,13345757000.0
2028.0,12783157000.0,12438893000.0,14977927000.0,11064017000.0,13072500000.0,12603396000.0,11961711000.0,12605477000.0,12165801000.0,11982636000.0,12520272000.0,12928151000.0,12202090000.0,13207444000.0
2029.0,12511050000.0,12106455000.0,13310548000.0,10526332000.0,12958949000.0,12431227000.0,11555373000.0,12248335000.0,11809097000.0,11546638000.0,12181049000.0,12907932000.0,11794202000.0,13034572000.0
2030.0,12351382000.0,11841136000.0,13859970000.0,9789062000.0,12952152000.0,12121436000.0,11152538000.0,12016311000.0,11364700000.0,11003950000.0,11781238000.0,12474625000.0,11323870000.0,12857640000.0
2031.0,12253513000.0,11440193000.0,13316071000.0,9056899000.0,12575908000.0,12420375000.0,10864987000.0,11564908000.0,10673188000.0,10761993000.0,11454838000.0,12328905000.0,10866310000.0,12716324000.0
2032.0,12710530000.0,11021745000.0,13162702000.0,8051744000.0,12900421000.0,12122659000.0,10462910000.0,11318579000.0,10230092000.0,10442123000.0,11190137000.0,12120784000.0,10251058000.0,12561151000.0
2033.0,11940185000.0,10640809000.0,12958484000.0,7312072000.0,12358325000.0,11802267000.0,9959494000.0,10962245000.0,9922951000.0,9984404000.0,10899302000.0,11878740000.0,9706055000.0,12615767000.0
2034.0,11717474000.0,10593335000.0,13785396000.0,6516900000.0,12285480000.0,11446284000.0,9297379000.0,10263070000.0,10335775000.0,9505283000.0,10726868000.0,11614156000.0,9283043000.0,12291638000.0
2035.0,11455217000.0,10553510000.0,13065735000.0,5852085000.0,12384687000.0,11761168000.0,8710297000.0,10087498000.0,9827794000.0,8893015000.0,10401659000.0,11409457000.0,8928322000.0,12074890000.0
2036.0,11052137000.0,10074132000.0,13054695000.0,5365954600.0,11930870000.0,11209465000.0,8345439000.0,9439329000.0,9334437000.0,8494096000.0,10161347000.0,11110544000.0,8487275500.0,11995991000.0
2037.0,10764516000.0,9808914000.0,13876111000.0,4940079600.0,11566555000.0,10888002000.0,7813047300.0,8942932000.0,8863404000.0,7996295700.0,9864316000.0,10769035000.0,8193919500.0,11770338000.0
2038.0,10561642000.0,9307786000.0,12840457000.0,4607204000.0,11394251000.0,11554158000.0,7476325400.0,8622898000.0,8693658000.0,7639267000.0,9746296000.0,10789641000.0,7658617300.0,11568143000.0
