time,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR,CNRM-ESM2-1,UKESM1-0-LL
2000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0
2001.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0
2002.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0
2003.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0
2004.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0
2005.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0
2006.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0
2007.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0
2008.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0
2009.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0
2010.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0
2011.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0
2012.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0
2013.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0
2014.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0
2015.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0
2016.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0
2017.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0
2018.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0
2019.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0
2020.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0
2021.0,13788293000.0,13747992000.0,13749884000.0,13709820000.0,13738509000.0
2022.0,13762679000.0,13594105000.0,13573496000.0,13611990000.0,13609274000.0
2023.0,13570704000.0,13423366000.0,13402670000.0,13485800000.0,13351152000.0
2024.0,13398855000.0,13218668000.0,13246849000.0,13344768000.0,13087210000.0
2025.0,13070660000.0,13002385000.0,13087958000.0,13102722000.0,12977759000.0
2026.0,12806447000.0,12756465000.0,12788877000.0,12958407000.0,12628090000.0
2027.0,12709895000.0,12526038000.0,12592095000.0,12785398000.0,12397188000.0
2028.0,12438893000.0,12202090000.0,12165801000.0,12603396000.0,11961711000.0
2029.0,12106455000.0,11794202000.0,11809097000.0,12431227000.0,11555373000.0
2030.0,11841136000.0,11323870000.0,11364700000.0,12121436000.0,11152538000.0
2031.0,11440193000.0,10866310000.0,10673188000.0,12420375000.0,10864987000.0
2032.0,11021745000.0,10251058000.0,10230092000.0,12122659000.0,10462910000.0
2033.0,10640809000.0,9706055000.0,9922951000.0,11802267000.0,9959494000.0
2034.0,10593335000.0,9283043000.0,10335775000.0,11446284000.0,9297379000.0
2035.0,10553510000.0,8928322000.0,9827794000.0,11761168000.0,8710297000.0
2036.0,10074132000.0,8487275500.0,9334437000.0,11209465000.0,8345439000.0
2037.0,9808914000.0,8193919500.0,8863404000.0,10888002000.0,7813047300.0
2038.0,9307786000.0,7658617300.0,8693658000.0,11554158000.0,7476325400.0
2039.0,8978221000.0,7327870000.0,8193551000.0,10766750000.0,6974581000.0
2040.0,8512285000.0,6784324000.0,7843293700.0,10407203000.0,6554746000.0
2041.0,8083520500.0,6376511000.0,7905433600.0,9982539000.0,5946382300.0
2042.0,7629869600.0,6025676300.0,7023488000.0,10207001000.0,5488426500.0
2043.0,7392427000.0,5526579700.0,6605035500.0,9674840000.0,5200697000.0
2044.0,7134576000.0,5241270000.0,6154478600.0,10234249000.0,4746411500.0
2045.0,6791808500.0,4960405500.0,5780131000.0,9126929000.0,4705034000.0
2046.0,6491565000.0,4609511000.0,5571063000.0,9162311000.0,4323372500.0
2047.0,6190955000.0,4362412500.0,5258978000.0,8870990000.0,4032815900.0
2048.0,5841094700.0,4161480700.0,5132255700.0,8584330000.0,3669752300.0
2049.0,5538935000.0,3942468000.0,5109027300.0,8305254400.0,3496911600.0
2050.0,5351958500.0,3749236200.0,4671279000.0,8028501000.0,3033448400.0
2051.0,5011447000.0,3546447600.0,4431967000.0,7745986000.0,2822864400.0
2052.0,4825969700.0,3348411000.0,4291867600.0,7676925400.0,2520489000.0
2053.0,4582735400.0,3189945000.0,4193002800.0,7602995000.0,2314860800.0
2054.0,4381462000.0,3037332200.0,3802026500.0,7172211000.0,2103228700.0
2055.0,4152683000.0,2909905700.0,3596712700.0,7043458600.0,1899665800.0
2056.0,3955272200.0,2728193800.0,3499764500.0,6844006000.0,1786252500.0
2057.0,4093542400.0,2565252600.0,3218110200.0,7005131300.0,1667372700.0
2058.0,3716648000.0,2422841600.0,3043924500.0,7524430300.0,1520214900.0
2059.0,3590646300.0,2309344000.0,2918863000.0,6639252000.0,1367674200.0
2060.0,3444763600.0,2155031000.0,2920243700.0,6254085000.0,1237635800.0
2061.0,3344025900.0,2053969400.0,2654926000.0,6167956000.0,1067098700.0
2062.0,3306636500.0,1938156200.0,2573970400.0,5986195000.0,941736060.0
2063.0,3150516700.0,1813489400.0,2414381600.0,5860436000.0,830448700.0
2064.0,3029541600.0,1686351500.0,2281121800.0,5705127400.0,745067400.0
2065.0,3313013500.0,1584470300.0,2189229800.0,6140141000.0,615335800.0
2066.0,2905499000.0,1462162000.0,2106847400.0,5376064500.0,577932600.0
2067.0,2793845200.0,1406463400.0,1963549800.0,6235961300.0,487042980.0
2068.0,3046561800.0,1340372400.0,1870326000.0,5097208000.0,453989340.0
2069.0,2665341200.0,1255961200.0,1791885300.0,4945082000.0,425509120.0
2070.0,2712827000.0,1150724200.0,1748587500.0,4789141000.0,354853220.0
2071.0,2538286000.0,1019224100.0,1669913100.0,4678712300.0,313890000.0
2072.0,2456368000.0,966642370.0,1545955000.0,4577529000.0,240936910.0
2073.0,2340649500.0,899241660.0,1462132000.0,4376802000.0,208318750.0
