time,CNRM-CM6-1,EC-EARTH3,CESM2-WACCM,IPSL-CM6A-LR,TAIESM1,GFDL-ESM4,CANESM5,MIROC6,UKESM1-0-LL,CNRM-ESM2-1,MPI-ESM1-2-HR,KACE-1-0-G,MRI-ESM2-0
2000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0
2001.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0
2002.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0
2003.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0
2004.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0
2005.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0
2006.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0
2007.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0
2008.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0
2009.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0
2010.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0
2011.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0
2012.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0
2013.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0
2014.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0
2015.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0
2016.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0
2017.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0
2018.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0
2019.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0
2020.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0
2021.0,13815537000.0,13759772000.0,13832654000.0,13901383000.0,13891144000.0,13788404000.0,13837557000.0,13876673000.0,13770131000.0,13899623000.0,13916937000.0,13658318000.0,13832110000.0
2022.0,13693966000.0,13559040000.0,13692574000.0,13684953000.0,13756638000.0,13678398000.0,13662425000.0,13741494000.0,13597755000.0,13841248000.0,14334652000.0,13400735000.0,13709976000.0
2023.0,13602434000.0,13359298000.0,13500113000.0,13638137000.0,13538705000.0,13461720000.0,13480368000.0,13464182000.0,13565420000.0,13625169000.0,13916855000.0,13151758000.0,13535417000.0
2024.0,13755131000.0,13082823000.0,13378573000.0,13435417000.0,13642001000.0,13464445000.0,13296604000.0,13531189000.0,13365944000.0,13970049000.0,13710746000.0,12746620000.0,13405592000.0
2025.0,13561934000.0,13159093000.0,13090878000.0,13281464000.0,13331686000.0,13287343000.0,13105307000.0,13457587000.0,13061147000.0,13489893000.0,13503257000.0,12354100000.0,13248586000.0
2026.0,13347094000.0,13023564000.0,12798968000.0,13209208000.0,13140486000.0,13118908000.0,12859318000.0,13485689000.0,12834979000.0,13396783000.0,13372503000.0,11893166000.0,13044643000.0
2027.0,13362541000.0,12650821000.0,12554121000.0,12914675000.0,12799802000.0,12985061000.0,12714075000.0,12976242000.0,12527617000.0,13332240000.0,13315111000.0,11454639000.0,12759831000.0
2028.0,13170808000.0,12227974000.0,12286836000.0,12806409000.0,12458779000.0,12861147000.0,12364273000.0,12727179000.0,12161675000.0,13178940000.0,13110629000.0,10980358000.0,12444935000.0
2029.0,12990402000.0,12168950000.0,11815971000.0,12677007000.0,12110475000.0,13181761000.0,11908276000.0,12772533000.0,11786686000.0,12888480000.0,13298930000.0,10352228000.0,12171979000.0
2030.0,12885901000.0,11961659000.0,11441763000.0,12371818000.0,11648550000.0,12607394000.0,11509452000.0,12517506000.0,11478294000.0,12742880000.0,12903113000.0,9613125000.0,11869775000.0
2031.0,12682591000.0,11868563000.0,11217389000.0,12220891000.0,11274634000.0,12420692000.0,11183787000.0,12204698000.0,11092929000.0,12421817000.0,13233567000.0,9053563000.0,11612306000.0
2032.0,12529111000.0,11446923000.0,10647608000.0,12026935000.0,10940413000.0,12210562000.0,10730086000.0,11846194000.0,10682269000.0,12403214000.0,12784313000.0,8599439000.0,11255309000.0
2033.0,12486597000.0,11577353000.0,10408771000.0,11698495000.0,10562954000.0,12019293000.0,10503076000.0,11830198000.0,10092393000.0,11907768000.0,12698997000.0,7860172000.0,11166197000.0
2034.0,12510836000.0,10873295000.0,10552752000.0,11402551000.0,10163173000.0,11838324000.0,10043195000.0,11625286000.0,9589509000.0,11831436000.0,12277447000.0,7518471000.0,10800778000.0
2035.0,12171829000.0,10542582000.0,10689479000.0,11039186000.0,9828583000.0,11531748000.0,9677759000.0,11440441000.0,9078898000.0,11482026000.0,12122657000.0,7222285300.0,10464518000.0
2036.0,12005274000.0,10730120000.0,10117101000.0,10684154000.0,9374236000.0,11420250000.0,9272682000.0,11266082000.0,8440098300.0,11342109000.0,11900976000.0,6714870000.0,10022064000.0
2037.0,11820857000.0,10298799000.0,9635917000.0,10187914000.0,8976883000.0,10988383000.0,8945657000.0,10836201000.0,7873459000.0,11160557000.0,11631112000.0,6258180600.0,9897292000.0
2038.0,11710299000.0,9905066000.0,9068281000.0,9854773000.0,8784014000.0,10761859000.0,8559656000.0,10513027000.0,7438191600.0,11620633000.0,11466438000.0,5715761700.0,9428388000.0
2039.0,11609810000.0,9712410000.0,8692035000.0,9477488000.0,8421131000.0,10546013000.0,8188997000.0,10259416000.0,6925380600.0,12093702000.0,11532754000.0,5202552300.0,9392265000.0
2040.0,11389476000.0,9298412000.0,8315131400.0,8998702000.0,8013169700.0,10291542000.0,7741573000.0,10027491000.0,6580191000.0,11008951000.0,11085431000.0,4807154700.0,8944231000.0
2041.0,11094223000.0,8881231000.0,8080134700.0,8463854000.0,7588970000.0,10082034000.0,7373853700.0,9829041000.0,5970115600.0,10835728000.0,10902436000.0,4335121000.0,8558265300.0
2042.0,10907847000.0,8599244000.0,7703251500.0,8090832400.0,7294143000.0,9878735000.0,6992551000.0,9589371000.0,5511492000.0,10464445000.0,10601833000.0,3973087200.0,8106018000.0
2043.0,10771575000.0,8230991000.0,7354185700.0,8044934700.0,6880847400.0,9630515000.0,6510326300.0,9402237000.0,5255981000.0,10215000000.0,10509541000.0,3672871400.0,7901751000.0
2044.0,10579688000.0,7919111700.0,7060479000.0,7710448600.0,6444320000.0,9493412000.0,6261920000.0,9213867000.0,4919812000.0,9961987000.0,10118249000.0,3350748200.0,7806908000.0
2045.0,10388092000.0,7711342000.0,6629963300.0,7370147000.0,6028479000.0,9207083000.0,5968624600.0,8911521000.0,4610411500.0,9867318000.0,10054430000.0,3172958200.0,7479932000.0
2046.0,10146430000.0,7166150700.0,6428892700.0,7082830300.0,5598990300.0,8878136000.0,5548738000.0,8677665000.0,4248334000.0,9513522000.0,9832694000.0,2976258800.0,7458096600.0
2047.0,9855630000.0,6887182000.0,6149014500.0,6723289600.0,5320901600.0,8575682000.0,5222512000.0,8410580000.0,3852967400.0,9292150000.0,9577413000.0,2756745000.0,7191380000.0
2048.0,9608836000.0,6598129700.0,5993564000.0,6378208000.0,4987711500.0,8333590500.0,4929549000.0,8275270000.0,3567385900.0,9141873000.0,9350027000.0,2540132900.0,6914824000.0
2049.0,9348119000.0,6404107300.0,5698620000.0,6102558700.0,4774865000.0,8217076000.0,4663776000.0,8039742000.0,3300872400.0,8910431000.0,9084802000.0,2372404700.0,6688981500.0
2050.0,9049893000.0,6187737000.0,5444182000.0,5929832000.0,4546268000.0,7981077500.0,4382245000.0,8009851000.0,3053842200.0,8626295000.0,8880638000.0,2177141500.0,6402923500.0
2051.0,10186445000.0,6582012400.0,5284271000.0,5597556700.0,4399735000.0,7854158000.0,4018850300.0,7666549000.0,2745754000.0,8357487000.0,8603813000.0,2080057100.0,6132790300.0
2052.0,8759081000.0,5863871000.0,4989717000.0,5370250000.0,4173760300.0,7619219000.0,3806130000.0,7217071000.0,2555215400.0,8342416400.0,8372146000.0,1956434200.0,5854951400.0
