time,UKESM1-0-LL,MRI-ESM2-0,GFDL-ESM4,IPSL-CM6A-LR
2000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0
2001.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0
2002.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0
2003.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0
2004.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0
2005.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0
2006.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0
2007.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0
2008.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0
2009.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0
2010.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0
2011.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0
2012.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0
2013.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0
2014.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0
2015.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0
2016.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0
2017.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0
2018.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0
2019.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0
2020.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0
2021.0,13955731000.0,13879597000.0,14154524000.0,13963616000.0
2022.0,13515090000.0,13681309000.0,13763966000.0,13719081000.0
2023.0,13219169000.0,13606026000.0,13575520000.0,13479225000.0
2024.0,12990846000.0,13412796000.0,13416833000.0,13283950000.0
2025.0,12622550000.0,13264720000.0,13304318000.0,13188760000.0
2026.0,12133464000.0,13064280000.0,13173060000.0,12980116000.0
2027.0,11545938000.0,12814342000.0,13063008000.0,12828167000.0
2028.0,11428183000.0,12736816000.0,13140400000.0,12538217000.0
2029.0,10944304000.0,12413378000.0,12982463000.0,12084643000.0
2030.0,10643745000.0,12135835000.0,12922873000.0,11827601000.0
2031.0,9928661000.0,12039419000.0,12788818000.0,11558125000.0
2032.0,10328060000.0,11615830000.0,12441292000.0,11383510000.0
2033.0,10352907000.0,11249512000.0,12046815000.0,11468112000.0
