time,GISS-E2-R,CNRM-CM5,MPI-ESM-LR,GFDL-CM3,IPSL-CM5A-LR,CCSM4,GFDL-ESM2G,CSIRO-MK3-6-0,CESM1-CAM5,NORESM1-M,CANESM2
2044.0,2350181000000.0,2342929000000.0,2420984300000.0,2004682700000.0,2536177400000.0,2350636300000.0,2420221400000.0,2498809800000.0,2251986600000.0,2369880900000.0,2304103200000.0
2045.0,2329310400000.0,2320175000000.0,2403996500000.0,1972469100000.0,2513926400000.0,2340711000000.0,2426255000000.0,2470323400000.0,2226613000000.0,2360390500000.0,2303817400000.0
2046.0,2313584400000.0,2300641000000.0,2369171200000.0,1932896200000.0,2500801600000.0,2329198000000.0,2418063000000.0,2468117000000.0,2193125000000.0,2350272000000.0,2267512800000.0
2047.0,2307203500000.0,2280970500000.0,2355968600000.0,1881826000000.0,2507058700000.0,2308744400000.0,2408451400000.0,2458763000000.0,2161798500000.0,2336456000000.0,2246479700000.0
2048.0,2291381000000.0,2289295200000.0,2356817700000.0,1839563800000.0,2490835700000.0,2282659800000.0,2396269600000.0,2417083500000.0,2158626900000.0,2314520500000.0,2217468800000.0
2049.0,2268598600000.0,2274036000000.0,2321946200000.0,1786606500000.0,2468509600000.0,2255385800000.0,2365820800000.0,2392782800000.0,2152618500000.0,2312601900000.0,2192977700000.0
2050.0,2242023300000.0,2254947500000.0,2303016600000.0,1737239000000.0,2461955000000.0,2239550200000.0,2355032500000.0,2376564000000.0,2124115100000.0,2289766200000.0,2197091400000.0
2051.0,2227482400000.0,2232589000000.0,2282287000000.0,1698102800000.0,2441453200000.0,2240805000000.0,2342666400000.0,2342553600000.0,2100776100000.0,2266864500000.0,2199847200000.0
2052.0,2223115900000.0,2225104700000.0,2266304300000.0,1665910000000.0,2413067000000.0,2232585300000.0,2320634200000.0,2314395200000.0,2090354300000.0,2260164700000.0,2179415000000.0
2053.0,2220524800000.0,2214267700000.0,2243083400000.0,1635984700000.0,2395316200000.0,2221402800000.0,2304026300000.0,2292132000000.0,2084203400000.0,2255412500000.0,2152920400000.0
2054.0,2196500800000.0,2208598600000.0,2226013900000.0,1590168100000.0,2366192700000.0,2200164600000.0,2298997400000.0,2271275600000.0,2061042500000.0,2237547400000.0,2140013300000.0
2055.0,2183647900000.0,2194321600000.0,2199868000000.0,1546023000000.0,2338414000000.0,2188800000000.0,2280585200000.0,2258084800000.0,2023123700000.0,2215942800000.0,2123373900000.0
2056.0,2159084300000.0,2177233500000.0,2198437900000.0,1499959000000.0,2314014800000.0,2168507300000.0,2268520800000.0,2239102000000.0,2004743500000.0,2215995200000.0,2100945700000.0
2057.0,2144356100000.0,2176439700000.0,2185359300000.0,1466880600000.0,2324347500000.0,2160540400000.0,2263204200000.0,2216845400000.0,2012578700000.0,2199356700000.0,2085922100000.0
2058.0,2143961500000.0,2159303700000.0,2174050000000.0,1435825300000.0,2311670200000.0,2154637700000.0,2260632300000.0,2204186200000.0,1980356900000.0,2186204200000.0,2050186300000.0
2059.0,2141848100000.0,2154015200000.0,2152445200000.0,1400514700000.0,2290181500000.0,2133638600000.0,2246663700000.0,2183343500000.0,1963631000000.0,2166336900000.0,2039508500000.0
2060.0,2121265200000.0,2130954800000.0,2143706200000.0,1360622600000.0,2253063200000.0,2129834700000.0,2241993400000.0,2167278300000.0,1949645400000.0,2154791300000.0,2019513100000.0
2061.0,2119877900000.0,2114207200000.0,2126301800000.0,1333525200000.0,2250404000000.0,2129042500000.0,2240571000000.0,2162558000000.0,1931835700000.0,2150945900000.0,1983716900000.0
2062.0,2114844200000.0,2100783500000.0,2128737200000.0,1307521700000.0,2225455800000.0,2123417400000.0,2213555000000.0,2158603500000.0,1921582800000.0,2131471400000.0,1961131000000.0
2063.0,2113729500000.0,2077545300000.0,2128496400000.0,1281704300000.0,2219839800000.0,2115425900000.0,2218203300000.0,2159376000000.0,1906296800000.0,2122050600000.0,1924296300000.0
2064.0,2112839700000.0,2065902900000.0,2134154100000.0,1259068000000.0,2210442500000.0,2110871800000.0,2221854000000.0,2182693500000.0,1880639900000.0,2101549500000.0,1896068400000.0
2065.0,2107651900000.0,2059497600000.0,2117554100000.0,1237448500000.0,2212951200000.0,2098652600000.0,2210704400000.0,2185861100000.0,1872536700000.0,2091371100000.0,1881014500000.0
2066.0,2104035200000.0,2055668400000.0,2111911400000.0,1209197100000.0,2195508600000.0,2084156000000.0,2201323600000.0,2166362000000.0,1854467100000.0,2078791800000.0,1862172000000.0
2067.0,2091841000000.0,2048373000000.0,2105849800000.0,1190166900000.0,2180337800000.0,2092757800000.0,2229505400000.0,2155917000000.0,1861728700000.0,2066196000000.0,1843344800000.0
2068.0,2077713500000.0,2024905800000.0,2099698200000.0,1163770100000.0,2164123000000.0,2081396100000.0,2228735400000.0,2132747100000.0,1843862300000.0,2048752400000.0,1853883400000.0
2069.0,2063582600000.0,2018419800000.0,2107064800000.0,1138848000000.0,2145097100000.0,2083639700000.0,2227166200000.0,2107365700000.0,1835631500000.0,2052805800000.0,1828905700000.0
2070.0,2051628500000.0,2015787000000.0,2084025300000.0,1118287700000.0,2130123600000.0,2084229200000.0,2224064800000.0,2110050500000.0,1823110100000.0,2040674100000.0,1805900200000.0
