time,IPSL-CM6A-LR,GFDL-ESM4,MRI-ESM2-0,UKESM1-0-LL
2000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0
2001.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0
2002.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0
2003.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0
2004.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0
2005.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0
2006.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0
2007.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0
2008.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0
2009.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0
2010.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0
2011.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0
2012.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0
2013.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0
2014.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0
2015.0,771620140000.0,771620140000.0,771620140000.0,771620140000.0
2016.0,766358060000.0,766358060000.0,766358060000.0,766358060000.0
2017.0,756771500000.0,756771500000.0,756771500000.0,756771500000.0
2018.0,748870300000.0,748870300000.0,748870300000.0,748870300000.0
2019.0,737321940000.0,737321940000.0,737321940000.0,737321940000.0
2020.0,729959370000.0,729959370000.0,729959370000.0,729959370000.0
2021.0,705397060000.0,723099100000.0,720784060000.0,718060600000.0
2022.0,696959200000.0,730632500000.0,700885960000.0,689603600000.0
2023.0,676449700000.0,717849600000.0,682457700000.0,673303900000.0
2024.0,649135300000.0,705470400000.0,661881500000.0,661559600000.0
2025.0,632348100000.0,676324970000.0,644522900000.0,640692450000.0
2026.0,606399900000.0,670258800000.0,626508100000.0,619950240000.0
2027.0,594224300000.0,657517800000.0,611949300000.0,604622500000.0
2028.0,590543850000.0,641530900000.0,583826740000.0,588015600000.0
2029.0,570849900000.0,639174050000.0,569335900000.0,568732100000.0
2030.0,546642100000.0,627526660000.0,552048070000.0,551991500000.0
2031.0,527761340000.0,614685400000.0,533644080000.0,536213500000.0
2032.0,515581480000.0,603427200000.0,514841300000.0,516171660000.0
2033.0,513654520000.0,601131700000.0,513085150000.0,509074960000.0
2034.0,512721700000.0,583072100000.0,503398370000.0,496536400000.0
2035.0,507405430000.0,568660400000.0,496477470000.0,483955300000.0
2036.0,499575750000.0,558389000000.0,482395750000.0,465524400000.0
2037.0,491807300000.0,548881900000.0,477914330000.0,441703630000.0
2038.0,475195830000.0,539728100000.0,467346460000.0,424357430000.0
2039.0,460222400000.0,527773760000.0,458443160000.0,407562520000.0
2040.0,440261440000.0,520951500000.0,445535800000.0,387778540000.0
2041.0,424083900000.0,507463240000.0,437448080000.0,374661580000.0
2042.0,410921700000.0,496507780000.0,427378640000.0,357152100000.0
2043.0,399419380000.0,492277500000.0,417591560000.0,342641840000.0
2044.0,386798600000.0,487908280000.0,408029920000.0,331530470000.0
2045.0,373121800000.0,485806830000.0,406106400000.0,324914640000.0
2046.0,360597880000.0,478198500000.0,399959360000.0,322298640000.0
2047.0,353005830000.0,471687400000.0,395271240000.0,318101850000.0
2048.0,342020130000.0,460988120000.0,384222270000.0,308113100000.0
2049.0,339089950000.0,459388500000.0,385779760000.0,297692460000.0
2050.0,338431080000.0,454713670000.0,379184970000.0,292676240000.0
2051.0,334474670000.0,458045700000.0,373317570000.0,288453430000.0
2052.0,330932200000.0,452414050000.0,370638060000.0,283261000000.0
2053.0,314983000000.0,441853020000.0,359956840000.0,276614970000.0
2054.0,308402420000.0,430843820000.0,355779180000.0,268621040000.0
2055.0,306172260000.0,432206940000.0,351968600000.0,264243250000.0
2056.0,303469560000.0,420313560000.0,350576540000.0,264147760000.0
2057.0,300517060000.0,411551730000.0,345845560000.0,254707320000.0
2058.0,295753900000.0,401512070000.0,339703430000.0,253675370000.0
2059.0,288506940000.0,392127700000.0,333322700000.0,249277090000.0
2060.0,283196500000.0,388029780000.0,326340870000.0,251545160000.0
2061.0,275544300000.0,383874370000.0,323394960000.0,256216680000.0
2062.0,267885800000.0,380632630000.0,319129420000.0,259541710000.0
2063.0,267268920000.0,376095280000.0,322205200000.0,254985960000.0
2064.0,260797460000.0,371047300000.0,319930630000.0,251394650000.0
2065.0,256498930000.0,365480200000.0,315625370000.0,251099230000.0
2066.0,264589440000.0,363790860000.0,316963060000.0,248450550000.0
2067.0,264744930000.0,364741600000.0,315811950000.0,248298000000.0
2068.0,262979240000.0,362439280000.0,311283880000.0,248120930000.0
2069.0,265177060000.0,363718600000.0,312977750000.0,244658910000.0
2070.0,259560880000.0,362487120000.0,316459450000.0,239359260000.0
2071.0,257631240000.0,365063050000.0,315705850000.0,243307920000.0
2072.0,256687730000.0,357893600000.0,319132730000.0,236917780000.0
2073.0,259234170000.0,357628580000.0,319335500000.0,232618770000.0
2074.0,255208780000.0,355233730000.0,313851150000.0,234729210000.0
2075.0,251983510000.0,353651900000.0,314382680000.0,232195590000.0
2076.0,257381520000.0,348280230000.0,307329470000.0,230224740000.0
2077.0,261118540000.0,348019060000.0,304957230000.0,223348880000.0
2078.0,261264410000.0,342150640000.0,302541100000.0,218990400000.0
2079.0,257389990000.0,348519860000.0,307508020000.0,217504430000.0
2080.0,254938890000.0,345923260000.0,306778370000.0,220450900000.0
2081.0,257307300000.0,347749350000.0,305704000000.0,218194410000.0
2082.0,264406660000.0,346851280000.0,298987800000.0,213150000000.0
2083.0,272966010000.0,345892980000.0,305240600000.0,211824750000.0
2084.0,276748800000.0,341046530000.0,305290540000.0,210260970000.0
2085.0,278702300000.0,340296040000.0,309997540000.0,208523300000.0
2086.0,278805280000.0,346332900000.0,310235460000.0,205899480000.0
2087.0,291766570000.0,346791400000.0,310920840000.0,205558760000.0
2088.0,291760960000.0,354154500000.0,314852870000.0,206458570000.0
2089.0,297467150000.0,358756650000.0,313312580000.0,204248350000.0
2090.0,294649500000.0,355272850000.0,312420660000.0,205031850000.0
2091.0,289782600000.0,359547100000.0,315893900000.0,206700940000.0
2092.0,291910580000.0,367260340000.0,316126330000.0,204079730000.0
2093.0,291722920000.0,366846540000.0,320454360000.0,207163720000.0
2094.0,289040040000.0,363292700000.0,319100420000.0,207399190000.0
2095.0,294084100000.0,362576300000.0,321962000000.0,205485750000.0
2096.0,298882800000.0,365166600000.0,318347700000.0,207145520000.0
2097.0,298915730000.0,362027200000.0,319848580000.0,207304500000.0
2098.0,304105320000.0,361367140000.0,320370300000.0,210297930000.0
2099.0,300774200000.0,365908100000.0,315609480000.0,212749650000.0
2100.0,303651160000.0,370514760000.0,317145800000.0,212968930000.0
