time,CAMS-CSM1-0,BCC-CSM2-MR,NORESM2-MM,ACCESS-ESM1-5,FGOALS-F3-L,INM-CM4-8,ACCESS-CM2,EC-EARTH3,IPSL-CM6A-LR,INM-CM5-0,MPI-ESM1-2-HR,CESM2-WACCM,CESM2,EC-EARTH3-VEG,CANESM5,GFDL-ESM4,MRI-ESM2-0
2000.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0
2001.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0
2002.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0
2003.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0
2004.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0
2005.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0
2006.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0
2007.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0
2008.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0
2009.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0
2010.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0
2011.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0
2012.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0
2013.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0
2014.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0
2015.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0
2016.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0
2017.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0
