time,MPI-ESM-LR,GISS-E2-R,CCSM4,CANESM2,IPSL-CM5A-LR,CNRM-CM5,GFDL-CM3,CSIRO-MK3-6-0,GFDL-ESM2G,NORESM1-M
2000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0
2001.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0
2002.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0
2003.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0
2004.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0
2005.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0
2006.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0
2007.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0
2008.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0
2009.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0
2010.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0
2011.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0
2012.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0
2013.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0
2014.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0
2015.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0
2016.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0
2017.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0
2018.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0
2019.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0
2020.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0
2021.0,88073630000.0,86711400000.0,82107030000.0,85170250000.0,86288400000.0,87464660000.0,83371330000.0,85353680000.0,89236880000.0,86489530000.0
2022.0,85591695000.0,80907090000.0,78469456000.0,81908310000.0,82620640000.0,85990560000.0,77605490000.0,86490825000.0,83750584000.0,84527750000.0
2023.0,83291090000.0,76732670000.0,73089425000.0,79353000000.0,81473120000.0,84462250000.0,75667866000.0,82243750000.0,85170815000.0,82881995000.0
2024.0,83791530000.0,72398470000.0,71724830000.0,72023835000.0,79911500000.0,79447170000.0,71985320000.0,81371860000.0,82719360000.0,80399730000.0
2025.0,84817530000.0,73023180000.0,68322394000.0,69810070000.0,79368905000.0,76647740000.0,70969120000.0,80790630000.0,78532810000.0,76021555000.0
2026.0,84645890000.0,68650710000.0,66793964000.0,67664360000.0,76652950000.0,72085510000.0,67611652000.0,78086185000.0,74519610000.0,71205350000.0
2027.0,83536904000.0,66751316000.0,65237240000.0,65116060000.0,75784910000.0,68935670000.0,64914430000.0,78014360000.0,73316925000.0,69229175000.0
2028.0,82140865000.0,67286850000.0,65857716000.0,63950710000.0,74673110000.0,66830107000.0,64121520000.0,75947800000.0,71943360000.0,66061083000.0
2029.0,78738100000.0,65057018000.0,60596920000.0,63519180000.0,70607670000.0,61701780000.0,62203450000.0,73057790000.0,69880690000.0,62874026000.0
2030.0,76584395000.0,62979790000.0,59711000000.0,61103223000.0,67334476000.0,58600034000.0,60316830000.0,72009785000.0,66337174000.0,58754040000.0
2031.0,75047076000.0,61881380000.0,56000872000.0,60721020000.0,63690998000.0,59971068000.0,54694180000.0,69901380000.0,66082247000.0,58409046000.0
2032.0,69209040000.0,60818686000.0,54197903000.0,57251172000.0,61386965000.0,58296046000.0,53556322000.0,68124426000.0,64790073000.0,57812554000.0
2033.0,65973748000.0,58769846000.0,52923960000.0,55302693000.0,59402093000.0,57039528000.0,48549183000.0,64244790000.0,63893300000.0,53891500000.0
2034.0,63672173000.0,54790574000.0,50870490000.0,54035930000.0,56025040000.0,53498544000.0,47102310000.0,61580313000.0,64163370000.0,50982840000.0
2035.0,59838440000.0,53608310000.0,51137696000.0,49922666000.0,54036680000.0,53392670000.0,45344110000.0,59858470000.0,62015500000.0,48986510000.0
2036.0,56753185000.0,52861220000.0,49140503000.0,47656477000.0,50807830000.0,51465785000.0,42243043000.0,58307790000.0,60566310000.0,45602275000.0
2037.0,52782494000.0,51749920000.0,47066660000.0,46220796000.0,49884705000.0,50202970000.0,41529110000.0,55042572000.0,58060030000.0,44509532000.0
2038.0,52154130000.0,50322790000.0,46878620000.0,44354940000.0,46483915000.0,48650166000.0,39652120000.0,51562607000.0,56749250000.0,42415860000.0
