time,GFDL-CM3,CESM1-CAM5,NORESM1-M,CSIRO-MK3-6-0,GFDL-ESM2G,GISS-E2-R,IPSL-CM5A-LR,CCSM4
2000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0
2001.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0
2002.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0
2003.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0
2004.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0
2005.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0
2006.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0
2007.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0
2008.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0
2009.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0
2010.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0
2011.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0
2012.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0
2013.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0
2014.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0
2015.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0
2016.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0
2017.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0
2018.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0
2019.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0
2020.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0
2021.0,88160490000.0,86657475000.0,88016160000.0,88261490000.0,87704486000.0,86036020000.0,88411590000.0,87884600000.0
2022.0,87740260000.0,87275320000.0,86095020000.0,85687140000.0,87793480000.0,81937910000.0,82889920000.0,88540970000.0
2023.0,85526045000.0,85829240000.0,81977385000.0,82999600000.0,87032136000.0,80821920000.0,80266790000.0,83756780000.0
2024.0,82481190000.0,86300490000.0,78668640000.0,78784340000.0,85578826000.0,78346530000.0,76378170000.0,82875080000.0
2025.0,79641440000.0,84977960000.0,75875110000.0,75269390000.0,83113976000.0,74457750000.0,77343810000.0,78856740000.0
2026.0,76598330000.0,82094120000.0,75822105000.0,73442310000.0,82163360000.0,71027425000.0,76240290000.0,79516430000.0
2027.0,69036260000.0,80675010000.0,76052580000.0,71722690000.0,80305180000.0,69750096000.0,72238910000.0,76717690000.0
2028.0,65850413000.0,81149860000.0,76959990000.0,70967090000.0,76969165000.0,67905847000.0,69536450000.0,75722555000.0
2029.0,63006960000.0,78827740000.0,78952040000.0,69454630000.0,76397840000.0,66227106000.0,69323740000.0,75599350000.0
2030.0,59636960000.0,78532160000.0,74611830000.0,66179793000.0,74769210000.0,64689738000.0,67657400000.0,74897490000.0
2031.0,56850387000.0,78108254000.0,71127245000.0,62707930000.0,74118500000.0,61948730000.0,66541146000.0,71916210000.0
2032.0,52680884000.0,75067440000.0,68630850000.0,61315510000.0,72579330000.0,59277630000.0,65321726000.0,69691620000.0
2033.0,52299813000.0,73940060000.0,67256700000.0,61040493000.0,72246410000.0,57508550000.0,66076254000.0,69392970000.0
2034.0,49349722000.0,72389210000.0,65078063000.0,57461860000.0,69979460000.0,55466435000.0,66682806000.0,68012280000.0
2035.0,46664930000.0,71602676000.0,64518480000.0,54889940000.0,70114260000.0,56074306000.0,64931844000.0,65563324000.0
2036.0,45296447000.0,71112280000.0,65141790000.0,53398320000.0,68755735000.0,54755570000.0,64466140000.0,63367016000.0
2037.0,45030960000.0,69467110000.0,62450467000.0,53299260000.0,67613168000.0,53511074000.0,64193830000.0,61743990000.0
2038.0,42830570000.0,69186330000.0,60965960000.0,50535215000.0,64164176000.0,52515123000.0,63355660000.0,59634364000.0
2039.0,39778160000.0,65916100000.0,58222380000.0,47285390000.0,62635037000.0,50198065000.0,60512887000.0,58589710000.0
2040.0,38103280000.0,65426215000.0,55125615000.0,47637210000.0,62295350000.0,49738437000.0,58238325000.0,56349704000.0
2041.0,35592610000.0,64234820000.0,53444854000.0,46766250000.0,58516670000.0,48233378000.0,56214430000.0,54337257000.0
2042.0,32819780000.0,63810790000.0,52789993000.0,44508500000.0,58401653000.0,49241340000.0,55423850000.0,52243310000.0
2043.0,30456375000.0,63534980000.0,52091736000.0,41754776000.0,58158604000.0,50172166000.0,52128090000.0,52645863000.0
2044.0,28241535000.0,60868555000.0,51264696000.0,40674468000.0,55759483000.0,48849785000.0,49363624000.0,48658317000.0
