time,NORESM2-MM,CESM2-WACCM,CESM2,EC-EARTH3,INM-CM4-8,BCC-CSM2-MR,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,CAMS-CSM1-0,EC-EARTH3-VEG,FGOALS-F3-L,GFDL-ESM4
2000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0
2001.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0
2002.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0
2003.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0
2004.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0
2005.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0
2006.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0
2007.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0
2008.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0
2009.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0
2010.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0
2011.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0
2012.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0
2013.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0
2014.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0
2015.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0
2016.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0
2017.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0
2018.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0
2019.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0
2020.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0
2021.0,13733253000.0,13785753000.0,13844333000.0,13819170000.0,13814142000.0,13818232000.0,13759009000.0,13826694000.0,13778953000.0,13785930000.0,13825662000.0,13861440000.0,13820189000.0
2022.0,13600724000.0,13645252000.0,13685858000.0,13634538000.0,13727593000.0,13859328000.0,13646687000.0,13695545000.0,13621361000.0,13699686000.0,13807639000.0,13668278000.0,13688082000.0
2023.0,13507556000.0,13500771000.0,13533493000.0,13494349000.0,13599172000.0,13675203000.0,13489000000.0,13581308000.0,13493906000.0,13628800000.0,13635715000.0,13526657000.0,13607839000.0
