time,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0,CESM2-WACCM
2000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0
2001.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0
2002.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0
2003.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0
2004.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0
2005.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0
2006.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0
2007.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0
2008.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0
2009.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0
2010.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0
2011.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0
2012.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0
2013.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0
2014.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0
2015.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0
2016.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0
2017.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0
2018.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0
2019.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0
2020.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0
2021.0,13767788000.0,13764055000.0,13747938000.0,13780488000.0
2022.0,13698303000.0,13789697000.0,13598545000.0,13618461000.0
2023.0,13588054000.0,13589413000.0,13453782000.0,13420387000.0
2024.0,13399961000.0,13402540000.0,13274363000.0,13242210000.0
2025.0,13243729000.0,13377186000.0,13131414000.0,13043490000.0
2026.0,13111547000.0,13112265000.0,12911997000.0,12871602000.0
2027.0,12929741000.0,12904838000.0,12722914000.0,12700568000.0
2028.0,12742808000.0,12674194000.0,12512156000.0,12499256000.0
2029.0,12571175000.0,12499623000.0,12318946000.0,12283976000.0
2030.0,12517647000.0,12293605000.0,12048481000.0,12074490000.0
2031.0,12265243000.0,12044471000.0,11792269000.0,11872040000.0
2032.0,12061296000.0,11845456000.0,11581869000.0,11705257000.0
2033.0,11884660000.0,11542442000.0,11329092000.0,11439535000.0
2034.0,11662981000.0,11322147000.0,11051267000.0,11249156000.0
2035.0,11587430000.0,11000238000.0,10769861000.0,11455958000.0
2036.0,11411710000.0,10779402000.0,10489436000.0,11121427000.0
2037.0,11304417000.0,10573494000.0,10279450000.0,10836289000.0
2038.0,11110200000.0,10264109000.0,10063502000.0,10595380000.0
2039.0,10938621000.0,9974224000.0,9780387000.0,10370399000.0
2040.0,10763793000.0,9967876000.0,9521412000.0,10188923000.0
2041.0,10555132000.0,9574147000.0,9242131000.0,9916623000.0
2042.0,10308753000.0,9276620000.0,9021906000.0,9734148000.0
2043.0,10042100000.0,8979290000.0,8795764000.0,9509963000.0
2044.0,9802450000.0,8737245000.0,8484433400.0,9328595000.0
2045.0,9627706000.0,8461823500.0,8216777000.0,9129659000.0
2046.0,9385981000.0,8300036000.0,7929408500.0,8900911000.0
2047.0,9160223000.0,7982075400.0,7658542000.0,8760142000.0
2048.0,8896819000.0,8260094500.0,7316633000.0,8538367500.0
2049.0,8725038000.0,7569814500.0,7050185000.0,8367830500.0
2050.0,8487137300.0,7328855000.0,6731028000.0,8159288300.0
2051.0,8278491600.0,7219846000.0,6495909400.0,7926537000.0
2052.0,8214268000.0,6882549000.0,6200653000.0,7734503000.0
2053.0,7903133700.0,6663894000.0,5920656400.0,7546938400.0
2054.0,7771909600.0,6568453000.0,5808779000.0,7320932400.0
2055.0,7525693400.0,6424372700.0,5562200600.0,7124442000.0
