time,MRI-ESM2-0
2000.0,14781555000.0
2001.0,14826917000.0
2002.0,14844196000.0
2003.0,14876193000.0
2004.0,14865247000.0
2005.0,14872420000.0
2006.0,14853092000.0
2007.0,14800823000.0
2008.0,14750195000.0
2009.0,14743894000.0
2010.0,14659412000.0
2011.0,14622763000.0
2012.0,14555139000.0
2013.0,14468123000.0
2014.0,14438385000.0
2015.0,14340854000.0
2016.0,14287938000.0
2017.0,14194145000.0
2018.0,14105283000.0
2019.0,13991813000.0
2020.0,13943692000.0
2021.0,13738600000.0
2022.0,13604973000.0
2023.0,13497550000.0
2024.0,13341773000.0
2025.0,13130851000.0
2026.0,12961307000.0
2027.0,12750239000.0
2028.0,12603890000.0
2029.0,12481888000.0
2030.0,12264785000.0
2031.0,12073091000.0
2032.0,11855663000.0
2033.0,11671801000.0
2034.0,11427081000.0
2035.0,11257671000.0
2036.0,11019190000.0
2037.0,10802264000.0
2038.0,10571514000.0
2039.0,10364182000.0
2040.0,10280062000.0
2041.0,9968920000.0
2042.0,9741190000.0
2043.0,9544987000.0
2044.0,9321281000.0
2045.0,9049280000.0
2046.0,8824780000.0
2047.0,8653453000.0
2048.0,8598396000.0
2049.0,8286637000.0
2050.0,8027306500.0
2051.0,7783799000.0
2052.0,7558066700.0
2053.0,7369338400.0
2054.0,7243782700.0
2055.0,7035288000.0
2056.0,6935549000.0
2057.0,6725726700.0
2058.0,6588359700.0
2059.0,6409324500.0
2060.0,6249576000.0
2061.0,6157593600.0
2062.0,6037667000.0
2063.0,5866658000.0
2064.0,5694907400.0
2065.0,5578930700.0
2066.0,5462687000.0
2067.0,5356421600.0
2068.0,5269230000.0
2069.0,5129764400.0
2070.0,5037533700.0
2071.0,4965822500.0
2072.0,4839618600.0
2073.0,4770465300.0
2074.0,4658288600.0
2075.0,4617409500.0
2076.0,4530210300.0
2077.0,4440518700.0
2078.0,4440029000.0
2079.0,4277686800.0
2080.0,4195346000.0
2081.0,4166677200.0
2082.0,4084232700.0
2083.0,4003880400.0
2084.0,3908122000.0
2085.0,3850409200.0
2086.0,3785190000.0
2087.0,3725238000.0
2088.0,3664142300.0
2089.0,3620240100.0
2090.0,3561968600.0
2091.0,3492192300.0
2092.0,3441783000.0
2093.0,3417163500.0
2094.0,3356320300.0
2095.0,3305062700.0
2096.0,3244820200.0
2097.0,3215318300.0
2098.0,3198123800.0
2099.0,3109996300.0
2100.0,3050227000.0
