time,BCC-CSM2-MR,CMCC-CM2-SR5,IPSL-CM6A-LR,INM-CM5-0,MRI-ESM2-0,CAMS-CSM1-0,MPI-ESM1-2-HR,TAIESM1,EC-EARTH3-VEG,FGOALS-F3-L,GFDL-ESM4,CESM2-WACCM,NORESM2-MM,ACCESS-CM2,CESM2,EC-EARTH3,ACCESS-ESM1-5,CANESM5,INM-CM4-8
2011.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0
2012.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0
2013.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0
2014.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0
2015.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0
2016.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0
2017.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0
2018.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0
2019.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0
2020.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0
2021.0,13791342000.0,13779843000.0,13767788000.0,13764375000.0,13747938000.0,13784146000.0,13778249000.0,13835389000.0,13789483000.0,13924335000.0,13785342000.0,13780488000.0,13782862000.0,13769508000.0,13800957000.0,13788317000.0,13767404000.0,13764055000.0,13902690000.0
2022.0,13641605000.0,13638528000.0,13698303000.0,13635801000.0,13598545000.0,13651494000.0,13691952000.0,13668650000.0,13655078000.0,13724909000.0,13687075000.0,13618461000.0,13747631000.0,13791846000.0,13643671000.0,13666317000.0,13660223000.0,13789697000.0,13756588000.0
2023.0,13551003000.0,13469162000.0,13588054000.0,13533151000.0,13453782000.0,13584298000.0,13598306000.0,13534533000.0,13587778000.0,13580456000.0,13568653000.0,13420387000.0,13529955000.0,13586590000.0,13490627000.0,13531940000.0,13498366000.0,13589413000.0,13633957000.0
2024.0,13405441000.0,13349252000.0,13399961000.0,13381630000.0,13274363000.0,13614337000.0,13438022000.0,13442724000.0,13478407000.0,13471750000.0,13353775000.0,13242210000.0,13411745000.0,13423030000.0,13326799000.0,13416840000.0,13336680000.0,13402540000.0,13509172000.0
2025.0,13255236000.0,13193975000.0,13243729000.0,13239720000.0,13131414000.0,13511794000.0,13292146000.0,13231485000.0,13352269000.0,13444616000.0,13210210000.0,13043490000.0,13246804000.0,13378003000.0,13156649000.0,13238231000.0,13173096000.0,13377186000.0,13384258000.0
2026.0,13119221000.0,13125848000.0,13111547000.0,13125486000.0,12911997000.0,13295371000.0,13168770000.0,13101369000.0,13227544000.0,13231242000.0,13042693000.0,12871602000.0,13074895000.0,13454123000.0,12964011000.0,13156742000.0,12981021000.0,13112265000.0,13253762000.0
2027.0,12996962000.0,12937275000.0,12929741000.0,12953181000.0,12722914000.0,13245046000.0,12976360000.0,12891734000.0,13059785000.0,13098285000.0,12926886000.0,12700568000.0,12869106000.0,13212995000.0,12778547000.0,12955794000.0,12746435000.0,12904838000.0,13157954000.0
2028.0,12834548000.0,12769952000.0,12742808000.0,12771920000.0,12512156000.0,13053539000.0,13067012000.0,12699671000.0,12887286000.0,12947498000.0,12747160000.0,12499256000.0,12755830000.0,13074932000.0,12575628000.0,12826419000.0,12534371000.0,12674194000.0,12984351000.0
